context,plausible,implausible
Jesse gets orders from Alex.,Jesse is Alex's subordinate.,Alex is Jesse's subordinate.
Li is Maria's employer.,Maria is Li's subordinate.,Li is Maria's subordinate.
Li is Maria's employee.,Li is Maria's subordinate.,Maria is Li's subordinate.
Mohammed gives orders to Carmen.,Mohammed is Carmen's boss.,Carmen is Mohammed's boss.
Carmen gives orders to Mohammed.,Carmen is Mohammed's boss.,Mohammed is Carmen's boss.
Chao is Yan's employer.,Chao is Yan's boss.,Chao is Yan's subordinate.
Yan is Chao's employer.,Chao is Yan's subordinate.,Chao is Yan's boss.
Yan receives salary from Chao.,Chao is Yan's boss.,Chao is Yan's subordinate.
Chao receives salary from Yan.,Chao is Yan's subordinate.,Chao is Yan's boss.
Alex receives salary from Jesse.,Jesse is Alex's boss.,Jesse is Alex's subordinate.
Jesse receives salary from Alex.,Jesse is Alex's subordinate.,Jesse is Alex's boss.
Chao is Yan's employer.,Chao is Yan's boss.,Yan is Chao's boss.
Yan is Chao's employer.,Yan is Chao's boss.,Chao is Yan's boss.
Alex receives salary from Jesse.,Jesse is Alex's boss.,Alex is Jesse's boss.
Jesse receives salary from Alex.,Alex is Jesse's boss.,Jesse is Alex's boss.
Li is Maria's employer.,Li is Maria's boss.,Maria is Li's boss.
Li is Maria's employee.,Maria is Li's boss.,Li is Maria's boss.
Maria receives salary from Li.,Li is Maria's boss.,Maria is Li's boss.
Li receives salary from Maria.,Maria is Li's boss.,Li is Maria's boss.
Li is Maria's employer.,Li is Maria's boss.,Maria is Li's boss.
Maria is Li's employer.,Maria is Li's boss.,Li is Maria's boss.
Carmen is Mohammed's employee.,Mohammed is Carmen's boss.,Mohammed is Carmen's subordinate.
Mohammed is Carmen's employee.,Mohammed is Carmen's subordinate.,Mohammed is Carmen's boss.
Mohammed has a lot of power over Carmen.,Carmen is Mohammed's subordinate.,Mohammed is Carmen's subordinate.
Mohammed has little power over Carmen.,Mohammed is Carmen's subordinate.,Carmen is Mohammed's subordinate.
Ali gives orders to Wei.,Wei is Ali's subordinate.,Ali is Wei's subordinate.
Wei gives orders to Ali.,Ali is Wei's subordinate.,Wei is Ali's subordinate.
Mohammed has a lot of power over Carmen.,Mohammed is Carmen's boss.,Mohammed is Carmen's subordinate.
Carmen has a lot of power over Mohammed.,Mohammed is Carmen's subordinate.,Mohammed is Carmen's boss.
Ali is at a later career stage than Wei.,Ali is Wei's boss.,Ali is Wei's subordinate.
Ali is at an earlier career stage than Wei.,Ali is Wei's subordinate.,Ali is Wei's boss.
Jesse pays salary to Alex.,Jesse is Alex's boss.,Alex is Jesse's boss.
Jesse receives salary from Alex.,Alex is Jesse's boss.,Jesse is Alex's boss.
Maria is Li's employee.,Maria is Li's subordinate.,Li is Maria's subordinate.
Li is Maria's employee.,Li is Maria's subordinate.,Maria is Li's subordinate.
Mohammed is at a later career stage than Carmen.,Mohammed is Carmen's boss.,Mohammed is Carmen's subordinate.
Mohammed is at an earlier career stage than Carmen.,Mohammed is Carmen's subordinate.,Mohammed is Carmen's boss.
Li has a lot of power over Maria.,Maria is Li's subordinate.,Li is Maria's subordinate.
Li has little power over Maria.,Li is Maria's subordinate.,Maria is Li's subordinate.
Mohammed has a lot of power over Carmen.,Mohammed is Carmen's boss.,Carmen is Mohammed's boss.
Mohammed has little power over Carmen.,Carmen is Mohammed's boss.,Mohammed is Carmen's boss.
Jesse gives orders to Alex.,Alex is Jesse's subordinate.,Jesse is Alex's subordinate.
Alex gives orders to Jesse.,Jesse is Alex's subordinate.,Alex is Jesse's subordinate.
Ali gives orders to Wei.,Ali is Wei's boss.,Wei is Ali's boss.
Ali gets orders from Wei.,Wei is Ali's boss.,Ali is Wei's boss.
Ali is at a later career stage than Wei.,Ali is Wei's boss.,Wei is Ali's boss.
Ali is at an earlier career stage than Wei.,Wei is Ali's boss.,Ali is Wei's boss.
Jesse pays salary to Alex.,Jesse is Alex's boss.,Jesse is Alex's subordinate.
Jesse receives salary from Alex.,Jesse is Alex's subordinate.,Jesse is Alex's boss.
