clean,corrupted,label,corrupted_label
The official language in Mexico is,The official language in Belize is,15506,6498
The official language in Formentera is,The official language in Aracena is,81944,15506
The official language in Djibouti is,The official language in East Kalimantan is,8753,59929
The official language in Luhansk Oblast is,The official language in Royal Society of British Artists is,34725,6498
The official language in Porvoo is,The official language in Donetsk Oblast is,58953,34725
The official language in Brissago is,The official language in Sonvilier is,15155,8753
The official language in Lemi is,The official language in Easter Island is,58953,15506
The official language in Kiruna Municipality is,The official language in VASKhNIL is,31209,8690
The official language in Poland is,The official language in Saskatchewan is,33084,6498
The official language in Espoo is,The official language in Puerto Rico is,58953,15506
The official language in Padasjoki is,The official language in Khorasan Province is,58953,50961
The official language in Surahammar Municipality is,The official language in Luhansk People's Republic is,31209,8690
The official language in Vaasa is,The official language in Haryana is,31209,45080
The official language in Kemi is,The official language in Tamil Nadu is,58953,44883
The official language in Mashhad is,The official language in Meyrin is,50961,8753
The official language in Benelux is,The official language in Joensuu is,24113,58953
The official language in South Carolina is,The official language in Easter Island is,6498,15506
The official language in German-speaking Community of Belgium is,The official language in Republic of Dagestan is,6063,8690
The official language in Nakkila is,The official language in Stockholm Municipality is,58953,31209
The official language in Miss Universe is,The official language in Virrat is,6498,58953
The official language in Netherlands Antilles is,The official language in Chardonne is,24113,8753
The official language in Serbia and Montenegro is,The official language in Nykarleby is,88264,31209
The official language in Eupen is,The official language in Navarre is,6063,15506
The official language in Independent State of Croatia is,The official language in Ilomantsi is,100170,58953
The official language in Democratic Republic of the Congo is,The official language in Union of European Football Associations is,8753,6498
The official language in Kangasniemi is,The official language in Djibouti is,58953,8753
The official language in France is,The official language in Poland is,8753,33084
The official language in Pirkkala is,The official language in Solna Municipality is,58953,31209
The official language in Muonio is,The official language in Lucknow is,58953,45080
The official language in Somero is,The official language in Czech Republic is,58953,34250
The official language in Tuusula is,The official language in Tavannes is,58953,8753
The official language in Provence is,The official language in Vaasa is,8753,31209
The official language in National Film Board of Canada is,The official language in Sigtuna Municipality is,6498,31209
The official language in Keminmaa is,The official language in Nykarleby is,58953,31209
The official language in Lohja is,The official language in Yerevan is,58953,67842
The official language in Romania is,The official language in Bahamas is,74697,6498
The official language in Imatra is,The official language in Renens is,58953,8753
The official language in Spiez is,The official language in Bedano is,6063,15155
The official language in Vantaa is,The official language in French Guiana is,58953,8753
The official language in Kauniainen is,The official language in Mendrisio is,58953,15155
The official language in Vichy France is,The official language in East Kalimantan is,8753,59929
The official language in Jamshedpur is,The official language in Pomarkku is,45080,58953
The official language in Dominica is,The official language in Paraguay is,6498,15506
The official language in Illinois is,The official language in Guinea is,6498,8753
The official language in Hailuoto is,The official language in Kalix Municipality is,58953,31209
The official language in Tolyatti is,The official language in Cologny is,8690,8753
The official language in Mozambique is,The official language in North Korea is,43288,16526
The official language in Scotland is,The official language in Netherlands is,6498,24113
The official language in Versoix is,The official language in Kingdom of Bulgaria is,8753,89724
The official language in Idaho is,The official language in Iran is,6498,50961
The official language in Krasnoyarsk Krai is,The official language in Autonomous Province of Kosovo and Metohija is,8690,88264
The official language in Lutry is,The official language in Brissago is,8753,15155
The official language in World Health Organization is,The official language in State of Brazil is,6498,43288
The official language in Saint Vincent and the Grenadines is,The official language in Chukotka Autonomous Okrug is,6498,8690
The official language in South Sudan is,The official language in Pacific Alliance is,6498,15506
The official language in Outokumpu is,The official language in French Community of Belgium is,58953,8753
The official language in Niue is,The official language in Renens is,6498,8753
The official language in Cayman Islands is,The official language in Joensuu is,6498,58953
The official language in Czechoslovakia is,The official language in Ukrainian Soviet Socialist Republic is,34250,34725
The official language in Germany is,The official language in Niger is,6063,8753
The official language in Mississippi is,The official language in Guatemala is,6498,15506
The official language in Payerne is,The official language in Asikkala is,8753,58953
The official language in Virrat is,The official language in Soviet Union is,58953,8690
The official language in Guyana is,The official language in Vevey is,6498,8753
The official language in Trinidad and Tobago is,The official language in Karijoki is,6498,58953
The official language in Autonomous Republic of Crimea is,The official language in Burkina Faso is,34725,8753
The official language in Stockholm Municipality is,The official language in Equatorial Guinea is,31209,15506
The official language in Aarau is,The official language in Nousiainen is,6063,58953
The official language in Udmurt Republic is,The official language in Trinidad and Tobago is,8690,6498
The official language in First Czechoslovak Republic is,The official language in International Organization for Standardization is,34250,6498
The official language in Chukotka Autonomous Okrug is,The official language in Royal 22e Régiment is,8690,8753
The official language in Ireland is,The official language in Mexico is,6498,15506
The official language in Yalta is,The official language in Nova Scotia is,8690,6498
The official language in North Dakota is,The official language in Meyrin is,6498,8753
The official language in Nebraska is,The official language in Serbia is,6498,88264
The official language in NATO is,The official language in Sweden is,6498,31209
The official language in Liperi is,The official language in Equatorial Guinea is,58953,15506
The official language in Kaskinen is,The official language in Navarre is,58953,15506
The official language in Korpo is,The official language in Biasca is,58953,15155
The official language in East Kalimantan is,The official language in Couto Misto is,59929,43288
The official language in Northern Mariana Islands is,The official language in Kirkkonummi is,6498,58953
The official language in Aargau is,The official language in Laukaa is,6063,58953
The official language in International Academy of Sciences San Marino is,The official language in Surahammar Municipality is,6498,31209
The official language in Akaa is,The official language in Lausanne is,58953,8753
The official language in Naantali is,The official language in Enlightenment in Spain is,58953,15506
The official language in Caribbean Netherlands is,The official language in United Kingdom is,24113,6498
The official language in Mauritius is,The official language in Chiasso is,6498,15155
The official language in North Korea is,The official language in Vihti is,16526,58953
The official language in San Marino is,The official language in Suriname is,15155,24113
The official language in Masku is,The official language in El Salvador is,58953,15506
The official language in Sweden is,The official language in Angola is,31209,43288
The official language in Odessa Oblast is,The official language in Couto Misto is,34725,43288
The official language in Malabo is,The official language in British Columbia is,15506,6498
The official language in South Dakota is,The official language in Iitti is,6498,58953
The official language in Karijoki is,The official language in Bernese Oberland is,58953,6063
The official language in Mykolaiv Oblast is,The official language in First Czechoslovak Republic is,34725,34250
The official language in Savonlinna is,The official language in Canton of Jura is,58953,8753
The official language in Canton of Fribourg is,The official language in Sundbyberg Municipality is,8753,31209
The official language in Bahamas is,The official language in Iceland is,6498,100248
The official language in Virolahti is,The official language in Republic of Karelia is,58953,8690
The official language in Kalix Municipality is,The official language in Keminmaa is,31209,58953
The official language in South Korea is,The official language in South Sudan is,16526,6498
The official language in Japan is,The official language in Finland is,11002,58953
The official language in Stavropol Krai is,The official language in Kyōto Prefecture is,8690,11002
The official language in Savukoski is,The official language in Independent State of Croatia is,58953,100170
The official language in Wetzikon is,The official language in Flemish Region is,6063,24113
The official language in Veyrier is,The official language in South Tyrol is,8753,6063
The official language in Botswana is,The official language in Lugano is,6498,15155
The official language in Dominican Republic is,The official language in Ranua is,15506,58953
The official language in Bernese Jura is,The official language in Haukipudas is,8753,58953
The official language in Humppila is,The official language in Falkland Islands is,58953,6498
The official language in Ilmajoki is,The official language in Bonaire is,58953,24113
The official language in Karachay-Cherkess Republic is,The official language in Army Public School Peshawar is,8690,6498
The official language in New Jersey is,The official language in Meyrin is,6498,8753
The official language in Basel is,The official language in Colorado is,6063,6498
The official language in Church of Greece is,The official language in Akaa is,18341,58953
The official language in French Community of Belgium is,The official language in Hirvensalmi is,8753,58953
The official language in Juankoski is,The official language in Djibouti is,58953,8753
