Unnamed: 0,operation,clean,answer,corrupted,corrupted_answer,answer_idx,corrupted_idx
22076,+,79+184=,263,110+139=,249,15666,14735
22077,+,79+185=,264,195+94=,289,12815,17212
22078,+,79+186=,265,142+117=,259,14374,15537
22079,+,79+187=,266,7+5=,12,15999,717
22080,+,79+188=,267,173+176=,349,16567,18634
22081,+,79+189=,268,76+242=,318,16332,17592
22082,+,79+190=,269,244+78=,322,16955,15805
22083,+,79+191=,270,21+296=,317,10914,16718
22084,+,79+192=,271,237+158=,395,15828,19498
22085,+,79+193=,272,32+118=,150,15741,3965
22086,+,79+194=,273,197+196=,393,15451,18252
22087,+,79+195=,274,157+73=,230,16590,9870
22088,+,79+196=,275,12+229=,241,14417,13341
22089,+,79+197=,276,48+254=,302,16660,13121
22090,+,79+198=,277,204+111=,315,16367,15189
22091,+,79+199=,278,70+180=,250,16949,5154
22092,+,79+200=,279,136+14=,150,17267,3965
22093,+,79+201=,280,228+94=,322,11209,15805
22094,+,79+202=,281,86+48=,134,15282,9565
22095,+,79+203=,282,57+21=,78,16544,2495
22096,+,79+204=,283,215+6=,221,16085,12425
22097,+,79+205=,284,128+94=,222,17058,9716
22098,+,79+206=,285,122+107=,229,15935,14378
22099,+,79+207=,286,287+107=,394,17361,20077
22100,+,79+208=,287,114+185=,299,17897,15531
22101,+,79+209=,288,67+102=,169,15287,11739
22102,+,79+210=,289,157+15=,172,17212,10861
22103,+,79+211=,290,205+150=,355,13754,17306
22104,+,79+212=,291,155+270=,425,17335,17837
22105,+,79+213=,292,28+148=,176,16443,10967
22106,+,79+214=,293,67+165=,232,17313,12338
22107,+,79+215=,294,154+59=,213,17168,11702
22108,+,79+216=,295,179+258=,437,16780,18318
22109,+,79+217=,296,66+4=,70,17408,2031
22110,+,79+218=,297,134+182=,316,18163,15340
22111,+,79+219=,298,173+283=,456,17690,10961
22112,+,79+220=,299,7+47=,54,15531,4370
22113,+,79+221=,300,190+191=,381,3101,19162
22114,+,79+222=,301,260+271=,531,12405,20823
22115,+,79+223=,302,17+79=,96,13121,4161
22116,+,79+224=,303,151+127=,278,13236,16949
22117,+,79+225=,304,268+223=,491,12166,21824
22118,+,79+226=,305,180+71=,251,13364,13860
22119,+,79+227=,306,55+100=,155,12879,9992
22120,+,79+228=,307,239+156=,395,14777,19498
22121,+,79+229=,308,172+116=,288,14498,15287
22122,+,79+230=,309,288+290=,578,15500,22915
22123,+,79+231=,310,239+79=,318,12226,17592
22124,+,79+232=,311,151+238=,389,15134,20422
22125,+,79+233=,312,113+172=,285,13384,15935
22126,+,79+234=,313,70+203=,273,15231,15451
22127,+,79+235=,314,260+224=,484,16104,20339
22128,+,79+236=,315,180+43=,223,15189,12533
22129,+,79+237=,316,8+118=,126,15340,9390
22130,+,79+238=,317,202+3=,205,16718,10866
22131,+,79+239=,318,162+266=,428,17592,19140
22132,+,79+240=,319,213+232=,445,16874,19697
22133,+,79+241=,320,137+85=,222,9588,9716
22134,+,79+242=,321,264+49=,313,14423,15231
22135,+,79+243=,322,265+287=,552,15805,21478
22136,+,79+244=,323,13+159=,172,15726,10861
22137,+,79+245=,324,295+110=,405,16723,16408
22138,+,79+246=,325,74+15=,89,15257,4578
22139,+,79+247=,326,55+81=,136,17470,9795
22140,+,79+248=,327,288+68=,356,13817,18349
22141,+,79+249=,328,142+299=,441,16884,18495
22142,+,79+250=,329,170+274=,444,18196,14870
22143,+,79+251=,330,30+34=,64,10568,1227
22144,+,79+252=,331,256+30=,286,16707,17361
22145,+,79+253=,332,239+36=,275,17079,14417
22146,+,79+254=,333,40+170=,210,8765,8848
22147,+,79+255=,334,182+111=,293,17153,17313
22148,+,79+256=,335,234+282=,516,16596,20571
22149,+,79+257=,336,20+210=,230,17014,9870
22150,+,79+258=,337,192+78=,270,17609,10914
22151,+,79+259=,338,48+204=,252,18633,12326
22152,+,79+260=,339,214+184=,398,17887,19838
22153,+,79+261=,340,83+167=,250,13679,5154
22154,+,79+262=,341,217+228=,445,16546,19697
22155,+,79+263=,342,25+108=,133,17590,9423
22156,+,79+264=,343,164+48=,212,16522,11227
22157,+,79+265=,344,141+9=,150,17451,3965
22158,+,79+266=,345,214+219=,433,12901,20153
22159,+,79+267=,346,295+280=,575,18061,21228
22160,+,79+268=,347,159+299=,458,17678,21209
22161,+,79+269=,348,18+211=,229,19746,14378
22162,+,79+270=,349,13+38=,51,18634,3971
22163,+,79+271=,350,280+210=,490,8652,18518
22164,+,79+273=,352,171+289=,460,16482,16551
22165,+,79+274=,353,6+96=,102,17228,4278
22166,+,79+275=,354,179+177=,356,18384,18349
22167,+,79+276=,355,20+68=,88,17306,2421
22168,+,79+277=,356,75+117=,192,18349,5926
22169,+,79+278=,357,267+53=,320,18520,9588
22170,+,79+279=,358,276+236=,512,17112,8358
22171,+,79+280=,359,273+136=,409,19192,12378
22172,+,79+281=,360,215+197=,412,6843,17574
22173,+,79+283=,362,133+267=,400,18509,3443
22174,+,79+284=,363,149+2=,151,18199,9690
22175,+,79+286=,365,230+246=,476,12676,22191
22176,+,79+287=,366,229+103=,332,18044,17079
22177,+,79+288=,367,100+44=,144,18775,8929
22178,+,79+289=,368,109+145=,254,19057,12375
22179,+,79+291=,370,162+165=,327,14648,13817
22180,+,79+293=,372,280+39=,319,17662,16874
22181,+,79+295=,374,3+166=,169,18265,11739
22182,+,79+297=,376,232+153=,385,18322,18695
22183,+,80+0=,80,77+83=,160,1490,6330
22184,+,80+1=,81,277+45=,322,5932,15805
22185,+,80+2=,82,269+213=,482,6086,21984
22186,+,80+3=,83,120+142=,262,6069,14274
22187,+,80+4=,84,91+120=,211,5833,11483
22188,+,80+5=,85,59+38=,97,5313,3534
22189,+,80+6=,86,121+32=,153,4218,9800
22190,+,80+7=,87,267+21=,288,4044,15287
22191,+,80+8=,88,158+187=,345,2421,12901
22192,+,80+9=,89,235+17=,252,4578,12326
22193,+,80+10=,90,5+177=,182,1954,10828
22194,+,80+11=,91,213+120=,333,5925,8765
22195,+,80+12=,92,57+76=,133,6083,9423
22196,+,80+13=,93,162+145=,307,6365,14777
22197,+,80+14=,94,124+65=,189,6281,9378
22198,+,80+15=,95,160+180=,340,2721,13679
22199,+,80+16=,96,135+152=,287,4161,17897
22200,+,80+17=,97,37+152=,189,3534,9378
22201,+,80+18=,98,173+253=,426,3264,20363
22202,+,80+19=,99,286+56=,342,1484,17590
22203,+,80+20=,100,204+56=,260,1041,11387
22204,+,80+21=,101,58+292=,350,4645,8652
22205,+,80+22=,102,147+239=,386,4278,16481
22206,+,80+23=,103,281+57=,338,6889,18633
22207,+,80+24=,104,138+236=,374,6849,18265
22208,+,80+25=,105,151+32=,183,6550,10750
22209,+,80+26=,106,123+284=,407,7461,18501
22210,+,80+27=,107,289+113=,402,7699,16496
22211,+,80+28=,108,38+197=,235,6640,12422
22212,+,80+29=,109,147+49=,196,7743,5162
22213,+,80+30=,110,193+225=,418,5120,19770
22214,+,80+31=,111,106+58=,164,5037,10513
22215,+,80+32=,112,274+291=,565,7261,20943
22216,+,80+33=,113,196+82=,278,8190,16949
22217,+,80+34=,114,176+38=,214,8011,11584
22218,+,80+35=,115,205+278=,483,7322,21884
22219,+,80+36=,116,117+279=,396,8027,19615
22220,+,80+37=,117,136+32=,168,8546,8953
22221,+,80+38=,118,119+138=,257,8899,15574
22222,+,80+39=,119,56+195=,251,9079,13860
22223,+,80+40=,120,113+279=,392,4364,19695
22224,+,80+41=,121,13+110=,123,7994,4513
22225,+,80+42=,122,92+102=,194,8259,6393
22226,+,80+43=,123,131+94=,225,4513,11057
22227,+,80+44=,124,73+174=,247,8874,14125
22228,+,80+45=,125,144+287=,431,6549,19852
22229,+,80+46=,126,295+80=,375,9390,12935
22230,+,80+47=,127,90+133=,223,6804,12533
22231,+,80+48=,128,243+144=,387,4386,20062
22232,+,80+49=,129,136+148=,284,9748,17058
22233,+,80+50=,130,77+102=,179,5894,11128
22234,+,80+51=,131,235+118=,353,9263,17228
22235,+,80+52=,132,101+240=,341,9413,16546
22236,+,80+53=,133,110+5=,115,9423,7322
22237,+,80+54=,134,97+135=,232,9565,12338
22238,+,80+55=,135,283+283=,566,8878,23477
22239,+,80+56=,136,200+155=,355,9795,17306
22240,+,80+57=,137,283+5=,288,10148,15287
22241,+,80+58=,138,8+41=,49,10350,2491
22242,+,80+59=,139,230+32=,262,10125,14274
22243,+,80+60=,140,12+244=,256,6860,4146
22244,+,80+61=,141,268+245=,513,9335,21164
22245,+,80+62=,142,154+55=,209,10239,12652
22246,+,80+63=,143,204+261=,465,10290,19988
22247,+,80+64=,144,137+51=,188,8929,9367
22248,+,80+65=,145,29+16=,45,9591,1774
22249,+,80+66=,146,233+209=,442,10465,20502
22250,+,80+67=,147,257+23=,280,10288,11209
22251,+,80+68=,148,294+278=,572,10410,22468
22252,+,80+69=,149,262+129=,391,10161,19631
22253,+,80+70=,150,151+129=,280,3965,11209
22254,+,80+71=,151,119+132=,251,9690,13860
22255,+,80+72=,152,68+174=,242,9756,12754
22256,+,80+73=,153,15+278=,293,9800,17313
22257,+,80+74=,154,174+17=,191,10559,7529
22258,+,80+75=,155,67+224=,291,9992,17335
22259,+,80+76=,156,253+63=,316,10132,15340
22260,+,80+77=,157,212+46=,258,10895,15966
22261,+,80+78=,158,52+164=,216,11286,12463
22262,+,80+79=,159,149+167=,316,11068,15340
22263,+,80+80=,160,280+6=,286,6330,17361
22264,+,80+81=,161,44+225=,269,10718,16955
22265,+,80+82=,162,270+127=,397,10674,20698
22266,+,80+83=,163,54+187=,241,9892,13341
22267,+,80+84=,164,143+32=,175,10513,10005
22268,+,80+85=,165,149+220=,369,10680,19929
22269,+,80+86=,166,181+271=,452,11247,21098
22270,+,80+87=,167,102+286=,388,11515,19081
22271,+,80+88=,168,255+35=,290,8953,13754
22272,+,80+89=,169,120+201=,321,11739,14423
22273,+,80+90=,170,144+62=,206,8258,11056
22274,+,80+91=,171,274+205=,479,11123,21848
22275,+,80+92=,172,1+23=,24,10861,1187
22276,+,80+93=,173,116+191=,307,11908,14777
22277,+,80+94=,174,158+73=,231,11771,12245
22278,+,80+95=,175,279+173=,452,10005,21098
22279,+,80+96=,176,214+54=,268,10967,16332
22280,+,80+97=,177,70+213=,283,11242,16085
22281,+,80+98=,178,124+299=,423,11256,19711
22282,+,80+99=,179,80+176=,256,11128,4146
22283,+,80+100=,180,196+176=,372,5245,17662
22284,+,80+101=,181,92+59=,151,10562,9690
22285,+,80+102=,182,183+123=,306,10828,12879
22286,+,80+103=,183,288+183=,471,10750,20617
22287,+,80+104=,184,148+189=,337,10336,17609
22288,+,80+105=,185,253+201=,454,9741,20555
22289,+,80+106=,186,226+181=,407,9714,18501
22290,+,80+107=,187,49+259=,308,9674,14498
22291,+,80+108=,188,249+75=,324,9367,16723
22292,+,80+109=,189,126+239=,365,9378,12676
22293,+,80+110=,190,76+247=,323,7028,15726
22294,+,80+111=,191,230+107=,337,7529,17609
22295,+,80+112=,192,77+257=,334,5926,17153
22296,+,80+113=,193,101+261=,362,7285,18509
22297,+,80+114=,194,226+0=,226,6393,14057
22298,+,80+115=,195,278+207=,485,6280,19773
22299,+,80+116=,196,74+170=,244,5162,13719
22300,+,80+117=,197,17+258=,275,4468,14417
22301,+,80+118=,198,92+159=,251,3753,13860
22302,+,80+119=,199,190+107=,297,2550,18163
22303,+,80+120=,200,270+85=,355,1049,17306
22304,+,80+121=,201,273+8=,281,679,15282
22305,+,80+122=,202,21+161=,182,2366,10828
22306,+,80+123=,203,249+267=,516,9639,20571
22307,+,80+124=,204,290+295=,585,7854,21535
22308,+,80+125=,205,44+14=,58,10866,2970
22309,+,80+126=,206,288+108=,396,11056,19615
22310,+,80+127=,207,115+211=,326,12060,17470
22311,+,80+128=,208,291+35=,326,12171,17470
22312,+,80+129=,209,15+199=,214,12652,11584
22313,+,80+130=,210,50+259=,309,8848,15500
22314,+,80+131=,211,246+155=,401,11483,10841
22315,+,80+132=,212,150+206=,356,11227,18349
22316,+,80+133=,213,19+132=,151,11702,9690
22317,+,80+134=,214,74+78=,152,11584,9756
22318,+,80+135=,215,0+34=,34,12112,1958
22319,+,80+136=,216,246+24=,270,12463,10914
22320,+,80+137=,217,178+229=,407,13460,18501
22321,+,80+138=,218,117+208=,325,13302,15257
22322,+,80+139=,219,27+51=,78,13762,2495
22323,+,80+140=,220,246+33=,279,8610,17267
22324,+,80+141=,221,37+32=,69,12425,3076
22325,+,80+142=,222,176+239=,415,9716,18136
22326,+,80+143=,223,210+152=,362,12533,18509
22327,+,80+144=,224,230+289=,519,10697,21851
22328,+,80+145=,225,271+15=,286,11057,17361
22329,+,80+146=,226,211+206=,417,14057,19561
22330,+,80+147=,227,124+41=,165,14206,10680
22331,+,80+148=,228,131+185=,316,14261,15340
22332,+,80+149=,229,56+243=,299,14378,15531
22333,+,80+150=,230,43+253=,296,9870,17408
22334,+,80+151=,231,235+275=,510,12245,15633
22335,+,80+152=,232,216+144=,360,12338,6843
22336,+,80+153=,233,175+200=,375,12994,12935
22337,+,80+154=,234,250+205=,455,11727,20325
22338,+,80+155=,235,264+243=,507,12422,20068
22339,+,80+156=,236,245+166=,411,14087,17337
22340,+,80+157=,237,226+37=,263,14590,15666
22341,+,80+158=,238,43+197=,240,13895,8273
22342,+,80+159=,239,100+213=,313,14815,15231
22343,+,80+160=,240,103+226=,329,8273,18196
22344,+,80+161=,241,287+186=,473,13341,21505
22345,+,80+162=,242,247+84=,331,12754,16707
22346,+,80+163=,243,239+198=,437,14052,18318
22347,+,80+164=,244,45+120=,165,13719,10680
22348,+,80+165=,245,202+153=,355,13078,17306
22349,+,80+166=,246,94+14=,108,14205,6640
22350,+,80+167=,247,212+158=,370,14125,14648
22351,+,80+168=,248,251+99=,350,14185,8652
22352,+,80+169=,249,115+158=,273,14735,15451
22353,+,80+170=,250,295+172=,467,5154,20419
22354,+,80+171=,251,120+81=,201,13860,679
22355,+,80+172=,252,56+240=,296,12326,17408
22356,+,80+173=,253,35+283=,318,14022,17592
22357,+,80+174=,254,253+291=,544,12375,21239
22358,+,80+175=,255,50+39=,89,3192,4578
22359,+,80+176=,256,293+247=,540,4146,17048
22360,+,80+177=,257,140+17=,157,15574,10895
22361,+,80+178=,258,279+167=,446,15966,20385
22362,+,80+179=,259,41+52=,93,15537,6365
22363,+,80+180=,260,27+276=,303,11387,13236
22364,+,80+181=,261,289+47=,336,15602,17014
22365,+,80+182=,262,157+68=,225,14274,11057
22366,+,80+183=,263,81+179=,260,15666,11387
22367,+,80+184=,264,163+166=,329,12815,18196
22368,+,80+185=,265,28+26=,54,14374,4370
22369,+,80+186=,266,215+243=,458,15999,21209
22370,+,80+187=,267,132+227=,359,16567,19192
22371,+,80+188=,268,158+132=,290,16332,13754
22372,+,80+189=,269,262+297=,559,16955,22424
22373,+,80+190=,270,156+275=,431,10914,19852
22374,+,80+191=,271,62+196=,258,15828,15966
22375,+,80+192=,272,199+48=,247,15741,14125
22376,+,80+193=,273,128+164=,292,15451,16443
22377,+,80+194=,274,191+51=,242,16590,12754
22378,+,80+195=,275,21+135=,156,14417,10132
22379,+,80+196=,276,109+135=,244,16660,13719
22380,+,80+197=,277,90+210=,300,16367,3101
22381,+,80+198=,278,124+162=,286,16949,17361
22382,+,80+199=,279,11+257=,268,17267,16332
22383,+,80+200=,280,122+234=,356,11209,18349
22384,+,80+201=,281,151+239=,390,15282,15515
22385,+,80+202=,282,242+265=,507,16544,20068
22386,+,80+203=,283,140+294=,434,16085,20165
22387,+,80+204=,284,203+190=,393,17058,18252
22388,+,80+205=,285,125+139=,264,15935,12815
22389,+,80+206=,286,152+276=,428,17361,19140
22390,+,80+207=,287,280+53=,333,17897,8765
22391,+,80+208=,288,275+148=,423,15287,19711
22392,+,80+209=,289,114+208=,322,17212,15805
22393,+,80+210=,290,182+66=,248,13754,14185
22394,+,80+211=,291,16+292=,308,17335,14498
22395,+,80+212=,292,228+204=,432,16443,16739
22396,+,80+213=,293,176+90=,266,17313,15999
22397,+,80+214=,294,100+128=,228,17168,14261
22398,+,80+215=,295,129+46=,175,16780,10005
22399,+,80+216=,296,148+43=,191,17408,7529
22400,+,80+217=,297,187+222=,409,18163,12378
22401,+,80+218=,298,129+170=,299,17690,15531
22402,+,80+219=,299,59+180=,239,15531,14815
22403,+,80+220=,300,210+12=,222,3101,9716
22404,+,80+221=,301,44+15=,59,12405,2946
22405,+,80+222=,302,124+36=,160,13121,6330
22406,+,80+223=,303,265+281=,546,13236,22048
22407,+,80+224=,304,99+211=,310,12166,12226
22408,+,80+225=,305,284+295=,579,13364,24847
22409,+,80+226=,306,131+98=,229,12879,14378
22410,+,80+227=,307,153+195=,348,14777,19746
22411,+,80+228=,308,46+166=,212,14498,11227
22412,+,80+229=,309,1+75=,76,15500,4767
22413,+,80+230=,310,198+55=,253,12226,14022
22414,+,80+231=,311,88+208=,296,15134,17408
22415,+,80+232=,312,75+83=,158,13384,11286
22416,+,80+233=,313,43+148=,191,15231,7529
22417,+,80+234=,314,293+56=,349,16104,18634
22418,+,80+235=,315,218+129=,347,15189,17678
22419,+,80+236=,316,279+98=,377,15340,10898
22420,+,80+237=,317,236+256=,492,16718,21776
22421,+,80+238=,318,261+134=,395,17592,19498
22422,+,80+239=,319,168+289=,457,16874,21675
22423,+,80+240=,320,94+48=,142,9588,10239
22424,+,80+241=,321,129+267=,396,14423,19615
22425,+,80+242=,322,271+238=,509,15805,12448
22426,+,80+243=,323,224+47=,271,15726,15828
22427,+,80+244=,324,234+262=,496,16723,19447
22428,+,80+246=,326,173+169=,342,17470,17590
22429,+,80+247=,327,22+19=,41,13817,3174
22430,+,80+248=,328,127+284=,411,16884,17337
22431,+,80+249=,329,3+109=,112,18196,7261
22432,+,80+250=,330,117+217=,334,10568,17153
22433,+,80+251=,331,250+28=,278,16707,16949
22434,+,80+252=,332,96+203=,299,17079,15531
22435,+,80+253=,333,99+111=,210,8765,8848
22436,+,80+254=,334,207+251=,458,17153,21209
22437,+,80+255=,335,224+240=,464,16596,21033
22438,+,80+257=,337,201+153=,354,17609,18384
22439,+,80+258=,338,78+275=,353,18633,17228
22440,+,80+259=,339,45+26=,71,17887,6028
22441,+,80+260=,340,133+245=,378,13679,19166
22442,+,80+261=,341,261+140=,401,16546,10841
22443,+,80+262=,342,120+92=,212,17590,11227
22444,+,80+263=,343,111+99=,210,16522,8848
22445,+,80+264=,344,84+134=,218,17451,13302
22446,+,80+265=,345,22+192=,214,12901,11584
22447,+,80+266=,346,264+251=,515,18061,19633
22448,+,80+267=,347,31+231=,262,17678,14274
22449,+,80+268=,348,238+33=,271,19746,15828
22450,+,80+269=,349,297+51=,348,18634,19746
22451,+,80+270=,350,69+83=,152,8652,9756
22452,+,80+271=,351,256+9=,265,18113,14374
22453,+,80+272=,352,34+190=,224,16482,10697
22454,+,80+273=,353,235+251=,486,17228,21511
22455,+,80+274=,354,124+268=,392,18384,19695
22456,+,80+275=,355,248+23=,271,17306,15828
22457,+,80+276=,356,90+57=,147,18349,10288
22458,+,80+277=,357,14+140=,154,18520,10559
22459,+,80+278=,358,46+156=,202,17112,2366
22460,+,80+279=,359,138+243=,381,19192,19162
22461,+,80+280=,360,1+72=,73,6843,5958
22462,+,80+281=,361,17+20=,37,18277,1806
22463,+,80+282=,362,241+37=,278,18509,16949
22464,+,80+283=,363,261+212=,473,18199,21505
22465,+,80+284=,364,54+177=,231,15951,12245
22466,+,80+285=,365,163+286=,449,12676,21125
22467,+,80+286=,366,55+74=,129,18044,9748
22468,+,80+287=,367,178+194=,372,18775,17662
22469,+,80+288=,368,23+252=,275,19057,14417
22470,+,80+289=,369,20+158=,178,19929,11256
22471,+,80+290=,370,284+88=,372,14648,17662
22472,+,80+291=,371,49+49=,98,18650,3264
22473,+,80+292=,372,235+86=,321,17662,14423
22474,+,80+293=,373,51+126=,177,18017,11242
22475,+,80+294=,374,171+129=,300,18265,3101
22476,+,80+295=,375,60+242=,302,12935,13121
22477,+,80+296=,376,267+153=,420,18322,12819
22478,+,80+297=,377,220+69=,289,10898,17212
22479,+,80+298=,378,251+211=,462,19166,20911
22480,+,81+0=,81,150+193=,343,5932,16522
22481,+,81+1=,82,64+0=,64,6086,1227
22482,+,81+2=,83,266+6=,272,6069,15741
22483,+,81+3=,84,293+211=,504,5833,18048
22484,+,81+4=,85,224+100=,324,5313,16723
22485,+,81+5=,86,158+51=,209,4218,12652
22486,+,81+6=,87,150+75=,225,4044,11057
22487,+,81+7=,88,135+85=,220,2421,8610
22488,+,81+8=,89,173+33=,206,4578,11056
22489,+,81+9=,90,178+134=,312,1954,13384
22490,+,81+10=,91,197+239=,436,5925,21299
22491,+,81+11=,92,147+30=,177,6083,11242
22492,+,81+12=,93,299+268=,567,6365,19282
22493,+,81+13=,94,218+277=,495,6281,21038
22494,+,81+14=,95,162+143=,305,2721,13364
22495,+,81+15=,96,118+186=,304,4161,12166
22496,+,81+16=,97,34+41=,75,3534,2075
22497,+,81+17=,98,158+6=,164,3264,10513
22498,+,81+18=,99,109+194=,303,1484,13236
22499,+,81+19=,100,279+56=,335,1041,16596
22500,+,81+20=,101,135+30=,165,4645,10680
22501,+,81+21=,102,231+122=,353,4278,17228
22502,+,81+22=,103,32+127=,159,6889,11068
22503,+,81+23=,104,172+120=,292,6849,16443
22504,+,81+24=,105,115+171=,286,6550,17361
22505,+,81+25=,106,34+163=,197,7461,4468
22506,+,81+26=,107,97+221=,318,7699,17592
22507,+,81+27=,108,41+11=,52,6640,4103
22508,+,81+28=,109,287+28=,315,7743,15189
22509,+,81+29=,110,29+258=,287,5120,17897
22510,+,81+30=,111,183+151=,334,5037,17153
22511,+,81+31=,112,279+201=,480,7261,11738
22512,+,81+32=,113,241+173=,414,8190,17448
22513,+,81+33=,114,107+141=,248,8011,14185
22514,+,81+34=,115,64+273=,337,7322,17609
22515,+,81+35=,116,230+24=,254,8027,12375
22516,+,81+36=,117,37+121=,158,8546,11286
22517,+,81+37=,118,57+128=,185,8899,9741
22518,+,81+38=,119,26+29=,55,9079,2131
22519,+,81+39=,120,114+132=,246,4364,14205
22520,+,81+40=,121,158+272=,430,7994,14245
22521,+,81+41=,122,110+15=,125,8259,6549
22522,+,81+42=,123,251+69=,320,4513,9588
22523,+,81+43=,124,69+50=,119,8874,9079
22524,+,81+44=,125,26+48=,74,6549,5728
22525,+,81+45=,126,70+85=,155,9390,9992
22526,+,81+46=,127,222+142=,364,6804,15951
22527,+,81+47=,128,122+10=,132,4386,9413
22528,+,81+48=,129,236+217=,453,9748,20235
22529,+,81+49=,130,87+212=,299,5894,15531
22530,+,81+50=,131,248+186=,434,9263,20165
22531,+,81+51=,132,25+266=,291,9413,17335
22532,+,81+52=,133,127+44=,171,9423,11123
22533,+,81+53=,134,242+259=,501,9565,14408
22534,+,81+54=,135,184+104=,288,8878,15287
22535,+,81+55=,136,237+197=,434,9795,20165
22536,+,81+56=,137,155+123=,278,10148,16949
22537,+,81+57=,138,220+251=,471,10350,20617
22538,+,81+58=,139,60+28=,88,10125,2421
22539,+,81+59=,140,205+198=,403,6860,13074
22540,+,81+60=,141,264+287=,551,9335,21860
22541,+,81+61=,142,57+184=,241,10239,13341
22542,+,81+62=,143,296+267=,563,10290,21789
22543,+,81+63=,144,43+217=,260,8929,11387
22544,+,81+64=,145,63+177=,240,9591,8273
22545,+,81+65=,146,202+78=,280,10465,11209
22546,+,81+66=,147,60+184=,244,10288,13719
22547,+,81+67=,148,23+223=,246,10410,14205
22548,+,81+68=,149,190+280=,470,10161,17711
22549,+,81+69=,150,226+75=,301,3965,12405
22550,+,81+70=,151,299+291=,590,9690,20615
22551,+,81+71=,152,165+289=,454,9756,20555
22552,+,81+72=,153,272+136=,408,9800,18058
22553,+,81+73=,154,155+269=,424,10559,18517
22554,+,81+74=,155,52+4=,56,9992,3487
22555,+,81+75=,156,198+284=,482,10132,21984
22556,+,81+76=,157,191+227=,418,10895,19770
22557,+,81+77=,158,67+152=,219,11286,13762
22558,+,81+78=,159,87+54=,141,11068,9335
22559,+,81+79=,160,212+58=,270,6330,10914
22560,+,81+80=,161,154+234=,388,10718,19081
22561,+,81+81=,162,238+3=,241,10674,13341
22562,+,81+82=,163,6+61=,67,9892,3080
22563,+,81+83=,164,9+33=,42,10513,2983
22564,+,81+84=,165,230+176=,406,10680,17264
22565,+,81+85=,166,274+258=,532,11247,20711
22566,+,81+86=,167,165+111=,276,11515,16660
22567,+,81+87=,168,142+228=,370,8953,14648
22568,+,81+88=,169,49+38=,87,11739,4044
22569,+,81+89=,170,120+168=,288,8258,15287
22570,+,81+90=,171,64+38=,102,11123,4278
22571,+,81+91=,172,142+30=,172,10861,10861
22572,+,81+92=,173,272+210=,482,11908,21984
22573,+,81+93=,174,209+151=,360,11771,6843
22574,+,81+94=,175,138+56=,194,10005,6393
22575,+,81+95=,176,136+4=,140,10967,6860
22576,+,81+96=,177,232+254=,486,11242,21511
22577,+,81+97=,178,111+172=,283,11256,16085
22578,+,81+98=,179,198+260=,458,11128,21209
22579,+,81+99=,180,15+41=,56,5245,3487
22580,+,81+100=,181,268+261=,529,10562,21618
22581,+,81+101=,182,175+282=,457,10828,21675
22582,+,81+102=,183,159+100=,259,10750,15537
22583,+,81+103=,184,156+259=,415,10336,18136
22584,+,81+104=,185,133+89=,222,9741,9716
22585,+,81+105=,186,31+15=,46,9714,2790
22586,+,81+106=,187,158+5=,163,9674,9892
22587,+,81+107=,188,250+56=,306,9367,12879
22588,+,81+108=,189,235+67=,302,9378,13121
22589,+,81+109=,190,99+78=,177,7028,11242
22590,+,81+110=,191,281+124=,405,7529,16408
22591,+,81+111=,192,53+209=,262,5926,14274
22592,+,81+112=,193,298+85=,383,7285,19230
22593,+,81+113=,194,43+112=,155,6393,9992
22594,+,81+114=,195,257+117=,374,6280,18265
22595,+,81+115=,196,215+21=,236,5162,14087
22596,+,81+116=,197,172+95=,267,4468,16567
22597,+,81+117=,198,62+99=,161,3753,10718
22598,+,81+118=,199,256+221=,477,2550,21144
22599,+,81+119=,200,202+295=,497,1049,22640
22600,+,81+120=,201,125+237=,362,679,18509
22601,+,81+121=,202,208+274=,482,2366,21984
22602,+,81+122=,203,262+35=,297,9639,18163
22603,+,81+123=,204,242+83=,325,7854,15257
22604,+,81+124=,205,190+57=,247,10866,14125
22605,+,81+125=,206,99+292=,391,11056,19631
22606,+,81+126=,207,118+52=,170,12060,8258
22607,+,81+127=,208,181+33=,214,12171,11584
22608,+,81+128=,209,27+12=,39,12652,2137
22609,+,81+129=,210,281+154=,435,8848,19305
22610,+,81+130=,211,52+64=,116,11483,8027
22611,+,81+131=,212,254+273=,527,11227,22369
22612,+,81+132=,213,79+240=,319,11702,16874
22613,+,81+133=,214,218+153=,371,11584,18650
22614,+,81+134=,215,118+65=,183,12112,10750
22615,+,81+135=,216,46+62=,108,12463,6640
22616,+,81+136=,217,85+133=,218,13460,13302
22617,+,81+137=,218,92+185=,277,13302,16367
22618,+,81+138=,219,141+23=,164,13762,10513
22619,+,81+139=,220,104+248=,352,8610,16482
22620,+,81+140=,221,136+68=,204,12425,7854
22621,+,81+141=,222,127+209=,336,9716,17014
22622,+,81+142=,223,213+153=,366,12533,18044
22623,+,81+143=,224,110+286=,396,10697,19615
22624,+,81+144=,225,56+130=,186,11057,9714
22625,+,81+145=,226,161+39=,200,14057,1049
22626,+,81+146=,227,174+49=,223,14206,12533
22627,+,81+147=,228,154+297=,451,14261,20360
22628,+,81+148=,229,155+252=,407,14378,18501
22629,+,81+149=,230,138+71=,209,9870,12652
22630,+,81+150=,231,297+175=,472,12245,21757
22631,+,81+151=,232,163+295=,458,12338,21209
22632,+,81+152=,233,161+194=,355,12994,17306
22633,+,81+153=,234,153+134=,287,11727,17897
