clean,corrupted,correct_idx
The competition lasted from the year 1156 to the year 11,The competition lasted from the year 1101 to the year 11,56
The case lasted from the year 1371 to the year 13,The case lasted from the year 1301 to the year 13,71
The exchange lasted from the year 1446 to the year 14,The exchange lasted from the year 1401 to the year 14,46
The assessment lasted from the year 1335 to the year 13,The assessment lasted from the year 1301 to the year 13,35
The fall lasted from the year 1336 to the year 13,The fall lasted from the year 1301 to the year 13,36
The contact lasted from the year 1166 to the year 11,The contact lasted from the year 1101 to the year 11,66
The development lasted from the year 1674 to the year 16,The development lasted from the year 1601 to the year 16,74
The exchange lasted from the year 1267 to the year 12,The exchange lasted from the year 1201 to the year 12,67
The rule lasted from the year 1495 to the year 14,The rule lasted from the year 1401 to the year 14,95
The testing lasted from the year 1656 to the year 16,The testing lasted from the year 1601 to the year 16,56
The riot lasted from the year 1202 to the year 12,The riot lasted from the year 1201 to the year 12,2
The test lasted from the year 1725 to the year 17,The test lasted from the year 1701 to the year 17,25
The assessment lasted from the year 1126 to the year 11,The assessment lasted from the year 1101 to the year 11,26
The fall lasted from the year 1430 to the year 14,The fall lasted from the year 1401 to the year 14,30
The effect lasted from the year 1305 to the year 13,The effect lasted from the year 1301 to the year 13,5
The employment lasted from the year 1381 to the year 13,The employment lasted from the year 1301 to the year 13,81
The rise lasted from the year 1114 to the year 11,The rise lasted from the year 1101 to the year 11,14
The trial lasted from the year 1255 to the year 12,The trial lasted from the year 1201 to the year 12,55
The test lasted from the year 1219 to the year 12,The test lasted from the year 1201 to the year 12,19
The assessment lasted from the year 1778 to the year 17,The assessment lasted from the year 1701 to the year 17,78
The quest lasted from the year 1152 to the year 11,The quest lasted from the year 1101 to the year 11,52
The campaign lasted from the year 1275 to the year 12,The campaign lasted from the year 1201 to the year 12,75
The tour lasted from the year 1476 to the year 14,The tour lasted from the year 1401 to the year 14,76
The therapy lasted from the year 1771 to the year 17,The therapy lasted from the year 1701 to the year 17,71
The practice lasted from the year 1276 to the year 12,The practice lasted from the year 1201 to the year 12,76
The testing lasted from the year 1567 to the year 15,The testing lasted from the year 1501 to the year 15,67
The therapy lasted from the year 1237 to the year 12,The therapy lasted from the year 1201 to the year 12,37
The impact lasted from the year 1795 to the year 17,The impact lasted from the year 1701 to the year 17,95
The rise lasted from the year 1658 to the year 16,The rise lasted from the year 1601 to the year 16,58
The contract lasted from the year 1289 to the year 12,The contract lasted from the year 1201 to the year 12,89
The rule lasted from the year 1310 to the year 13,The rule lasted from the year 1301 to the year 13,10
The practice lasted from the year 1626 to the year 16,The practice lasted from the year 1601 to the year 16,26
The challenge lasted from the year 1153 to the year 11,The challenge lasted from the year 1101 to the year 11,53
The project lasted from the year 1419 to the year 14,The project lasted from the year 1401 to the year 14,19
The study lasted from the year 1416 to the year 14,The study lasted from the year 1401 to the year 14,16
The construction lasted from the year 1183 to the year 11,The construction lasted from the year 1101 to the year 11,83
The tests lasted from the year 1389 to the year 13,The tests lasted from the year 1301 to the year 13,89
The attack lasted from the year 1115 to the year 11,The attack lasted from the year 1101 to the year 11,15
The exchange lasted from the year 1654 to the year 16,The exchange lasted from the year 1601 to the year 16,54
The evaluation lasted from the year 1221 to the year 12,The evaluation lasted from the year 1201 to the year 12,21
The trip lasted from the year 1192 to the year 11,The trip lasted from the year 1101 to the year 11,92
The outcome lasted from the year 1653 to the year 16,The outcome lasted from the year 1601 to the year 16,53
The exchange lasted from the year 1553 to the year 15,The exchange lasted from the year 1501 to the year 15,53
The rise lasted from the year 1115 to the year 11,The rise lasted from the year 1101 to the year 11,15
The attack lasted from the year 1434 to the year 14,The attack lasted from the year 1401 to the year 14,34
The exchange lasted from the year 1157 to the year 11,The exchange lasted from the year 1101 to the year 11,57
The rise lasted from the year 1656 to the year 16,The rise lasted from the year 1601 to the year 16,56
The plan lasted from the year 1522 to the year 15,The plan lasted from the year 1501 to the year 15,22
The effect lasted from the year 1687 to the year 16,The effect lasted from the year 1601 to the year 16,87
The employment lasted from the year 1785 to the year 17,The employment lasted from the year 1701 to the year 17,85
The competition lasted from the year 1586 to the year 15,The competition lasted from the year 1501 to the year 15,86
The case lasted from the year 1427 to the year 14,The case lasted from the year 1401 to the year 14,27
The growth lasted from the year 1266 to the year 12,The growth lasted from the year 1201 to the year 12,66
The challenge lasted from the year 1137 to the year 11,The challenge lasted from the year 1101 to the year 11,37
The testing lasted from the year 1594 to the year 15,The testing lasted from the year 1501 to the year 15,94
The fall lasted from the year 1768 to the year 17,The fall lasted from the year 1701 to the year 17,68
The operation lasted from the year 1419 to the year 14,The operation lasted from the year 1401 to the year 14,19
The assessment lasted from the year 1444 to the year 14,The assessment lasted from the year 1401 to the year 14,44
The progress lasted from the year 1724 to the year 17,The progress lasted from the year 1701 to the year 17,24
The tests lasted from the year 1178 to the year 11,The tests lasted from the year 1101 to the year 11,78
The contract lasted from the year 1124 to the year 11,The contract lasted from the year 1101 to the year 11,24
The impact lasted from the year 1575 to the year 15,The impact lasted from the year 1501 to the year 15,75
The campaign lasted from the year 1705 to the year 17,The campaign lasted from the year 1701 to the year 17,5
The challenge lasted from the year 1565 to the year 15,The challenge lasted from the year 1501 to the year 15,65
The deal lasted from the year 1286 to the year 12,The deal lasted from the year 1201 to the year 12,86
The relationship lasted from the year 1407 to the year 14,The relationship lasted from the year 1401 to the year 14,7
The deal lasted from the year 1234 to the year 12,The deal lasted from the year 1201 to the year 12,34
The rise lasted from the year 1631 to the year 16,The rise lasted from the year 1601 to the year 16,31
The impact lasted from the year 1768 to the year 17,The impact lasted from the year 1701 to the year 17,68
The employment lasted from the year 1398 to the year 13,The employment lasted from the year 1301 to the year 13,98
The relationship lasted from the year 1554 to the year 15,The relationship lasted from the year 1501 to the year 15,54
The outcome lasted from the year 1466 to the year 14,The outcome lasted from the year 1401 to the year 14,66
The order lasted from the year 1152 to the year 11,The order lasted from the year 1101 to the year 11,52
The process lasted from the year 1623 to the year 16,The process lasted from the year 1601 to the year 16,23
The trial lasted from the year 1526 to the year 15,The trial lasted from the year 1501 to the year 15,26
The exchange lasted from the year 1195 to the year 11,The exchange lasted from the year 1101 to the year 11,95
The test lasted from the year 1218 to the year 12,The test lasted from the year 1201 to the year 12,18
The employment lasted from the year 1119 to the year 11,The employment lasted from the year 1101 to the year 11,19
The exchange lasted from the year 1722 to the year 17,The exchange lasted from the year 1701 to the year 17,22
The plan lasted from the year 1313 to the year 13,The plan lasted from the year 1301 to the year 13,13
The operation lasted from the year 1297 to the year 12,The operation lasted from the year 1201 to the year 12,97
The testing lasted from the year 1134 to the year 11,The testing lasted from the year 1101 to the year 11,34
The increase lasted from the year 1146 to the year 11,The increase lasted from the year 1101 to the year 11,46
The rise lasted from the year 1635 to the year 16,The rise lasted from the year 1601 to the year 16,35
The attack lasted from the year 1509 to the year 15,The attack lasted from the year 1501 to the year 15,9
The deal lasted from the year 1173 to the year 11,The deal lasted from the year 1101 to the year 11,73
The contract lasted from the year 1243 to the year 12,The contract lasted from the year 1201 to the year 12,43
The fall lasted from the year 1306 to the year 13,The fall lasted from the year 1301 to the year 13,6
The plan lasted from the year 1158 to the year 11,The plan lasted from the year 1101 to the year 11,58
The project lasted from the year 1448 to the year 14,The project lasted from the year 1401 to the year 14,48
The fall lasted from the year 1171 to the year 11,The fall lasted from the year 1101 to the year 11,71
The challenge lasted from the year 1440 to the year 14,The challenge lasted from the year 1401 to the year 14,40
The challenge lasted from the year 1321 to the year 13,The challenge lasted from the year 1301 to the year 13,21
The fall lasted from the year 1587 to the year 15,The fall lasted from the year 1501 to the year 15,87
The fall lasted from the year 1668 to the year 16,The fall lasted from the year 1601 to the year 16,68
The evaluation lasted from the year 1485 to the year 14,The evaluation lasted from the year 1401 to the year 14,85
The case lasted from the year 1623 to the year 16,The case lasted from the year 1601 to the year 16,23
The progress lasted from the year 1310 to the year 13,The progress lasted from the year 1301 to the year 13,10
The attack lasted from the year 1124 to the year 11,The attack lasted from the year 1101 to the year 11,24
The practice lasted from the year 1428 to the year 14,The practice lasted from the year 1401 to the year 14,28
The rise lasted from the year 1102 to the year 11,The rise lasted from the year 1101 to the year 11,2
The existence lasted from the year 1422 to the year 14,The existence lasted from the year 1401 to the year 14,22
The campaign lasted from the year 1648 to the year 16,The campaign lasted from the year 1601 to the year 16,48
The rise lasted from the year 1742 to the year 17,The rise lasted from the year 1701 to the year 17,42
The test lasted from the year 1541 to the year 15,The test lasted from the year 1501 to the year 15,41
The coma lasted from the year 1738 to the year 17,The coma lasted from the year 1701 to the year 17,38
The assessment lasted from the year 1381 to the year 13,The assessment lasted from the year 1301 to the year 13,81
The contact lasted from the year 1751 to the year 17,The contact lasted from the year 1701 to the year 17,51
The process lasted from the year 1336 to the year 13,The process lasted from the year 1301 to the year 13,36
The effect lasted from the year 1111 to the year 11,The effect lasted from the year 1101 to the year 11,11
The relationship lasted from the year 1421 to the year 14,The relationship lasted from the year 1401 to the year 14,21
The contact lasted from the year 1384 to the year 13,The contact lasted from the year 1301 to the year 13,84
The outcome lasted from the year 1128 to the year 11,The outcome lasted from the year 1101 to the year 11,28
The impact lasted from the year 1544 to the year 15,The impact lasted from the year 1501 to the year 15,44
The study lasted from the year 1257 to the year 12,The study lasted from the year 1201 to the year 12,57
The effect lasted from the year 1155 to the year 11,The effect lasted from the year 1101 to the year 11,55
The coma lasted from the year 1151 to the year 11,The coma lasted from the year 1101 to the year 11,51
The development lasted from the year 1616 to the year 16,The development lasted from the year 1601 to the year 16,16
The testing lasted from the year 1675 to the year 16,The testing lasted from the year 1601 to the year 16,75
The growth lasted from the year 1140 to the year 11,The growth lasted from the year 1101 to the year 11,40
The contract lasted from the year 1672 to the year 16,The contract lasted from the year 1601 to the year 16,72
The testing lasted from the year 1692 to the year 16,The testing lasted from the year 1601 to the year 16,92
The development lasted from the year 1146 to the year 11,The development lasted from the year 1101 to the year 11,46
The relationship lasted from the year 1462 to the year 14,The relationship lasted from the year 1401 to the year 14,62
The outcome lasted from the year 1565 to the year 15,The outcome lasted from the year 1501 to the year 15,65
The competition lasted from the year 1636 to the year 16,The competition lasted from the year 1601 to the year 16,36
The case lasted from the year 1129 to the year 11,The case lasted from the year 1101 to the year 11,29
The practice lasted from the year 1116 to the year 11,The practice lasted from the year 1101 to the year 11,16
The existence lasted from the year 1653 to the year 16,The existence lasted from the year 1601 to the year 16,53
The plan lasted from the year 1288 to the year 12,The plan lasted from the year 1201 to the year 12,88
The quest lasted from the year 1674 to the year 16,The quest lasted from the year 1601 to the year 16,74
The impact lasted from the year 1264 to the year 12,The impact lasted from the year 1201 to the year 12,64
The contract lasted from the year 1175 to the year 11,The contract lasted from the year 1101 to the year 11,75
The exchange lasted from the year 1632 to the year 16,The exchange lasted from the year 1601 to the year 16,32
The employment lasted from the year 1284 to the year 12,The employment lasted from the year 1201 to the year 12,84
The existence lasted from the year 1356 to the year 13,The existence lasted from the year 1301 to the year 13,56
The increase lasted from the year 1797 to the year 17,The increase lasted from the year 1701 to the year 17,97
The trial lasted from the year 1766 to the year 17,The trial lasted from the year 1701 to the year 17,66
The operation lasted from the year 1157 to the year 11,The operation lasted from the year 1101 to the year 11,57
The rule lasted from the year 1275 to the year 12,The rule lasted from the year 1201 to the year 12,75
The deal lasted from the year 1461 to the year 14,The deal lasted from the year 1401 to the year 14,61
The existence lasted from the year 1185 to the year 11,The existence lasted from the year 1101 to the year 11,85
The tests lasted from the year 1748 to the year 17,The tests lasted from the year 1701 to the year 17,48
The employment lasted from the year 1636 to the year 16,The employment lasted from the year 1601 to the year 16,36
The relationship lasted from the year 1144 to the year 11,The relationship lasted from the year 1101 to the year 11,44
The quest lasted from the year 1567 to the year 15,The quest lasted from the year 1501 to the year 15,67
The increase lasted from the year 1439 to the year 14,The increase lasted from the year 1401 to the year 14,39
The assessment lasted from the year 1326 to the year 13,The assessment lasted from the year 1301 to the year 13,26
The case lasted from the year 1122 to the year 11,The case lasted from the year 1101 to the year 11,22
The rise lasted from the year 1107 to the year 11,The rise lasted from the year 1101 to the year 11,7
The fall lasted from the year 1360 to the year 13,The fall lasted from the year 1301 to the year 13,60
The exchange lasted from the year 1282 to the year 12,The exchange lasted from the year 1201 to the year 12,82
The rise lasted from the year 1294 to the year 12,The rise lasted from the year 1201 to the year 12,94
The trip lasted from the year 1143 to the year 11,The trip lasted from the year 1101 to the year 11,43
The project lasted from the year 1595 to the year 15,The project lasted from the year 1501 to the year 15,95
The order lasted from the year 1174 to the year 11,The order lasted from the year 1101 to the year 11,74
The rise lasted from the year 1139 to the year 11,The rise lasted from the year 1101 to the year 11,39
The shift lasted from the year 1339 to the year 13,The shift lasted from the year 1301 to the year 13,39
The tests lasted from the year 1682 to the year 16,The tests lasted from the year 1601 to the year 16,82
The quest lasted from the year 1262 to the year 12,The quest lasted from the year 1201 to the year 12,62
The process lasted from the year 1342 to the year 13,The process lasted from the year 1301 to the year 13,42
The quest lasted from the year 1235 to the year 12,The quest lasted from the year 1201 to the year 12,35
The program lasted from the year 1232 to the year 12,The program lasted from the year 1201 to the year 12,32
The project lasted from the year 1237 to the year 12,The project lasted from the year 1201 to the year 12,37
The impact lasted from the year 1660 to the year 16,The impact lasted from the year 1601 to the year 16,60
The relationship lasted from the year 1429 to the year 14,The relationship lasted from the year 1401 to the year 14,29
The case lasted from the year 1520 to the year 15,The case lasted from the year 1501 to the year 15,20
The riot lasted from the year 1526 to the year 15,The riot lasted from the year 1501 to the year 15,26
The study lasted from the year 1462 to the year 14,The study lasted from the year 1401 to the year 14,62
The trip lasted from the year 1159 to the year 11,The trip lasted from the year 1101 to the year 11,59
The project lasted from the year 1296 to the year 12,The project lasted from the year 1201 to the year 12,96
The exchange lasted from the year 1471 to the year 14,The exchange lasted from the year 1401 to the year 14,71
The fall lasted from the year 1515 to the year 15,The fall lasted from the year 1501 to the year 15,15
The progress lasted from the year 1178 to the year 11,The progress lasted from the year 1101 to the year 11,78
The trial lasted from the year 1210 to the year 12,The trial lasted from the year 1201 to the year 12,10
The evaluation lasted from the year 1214 to the year 12,The evaluation lasted from the year 1201 to the year 12,14
The testing lasted from the year 1447 to the year 14,The testing lasted from the year 1401 to the year 14,47
The trip lasted from the year 1519 to the year 15,The trip lasted from the year 1501 to the year 15,19
The shift lasted from the year 1241 to the year 12,The shift lasted from the year 1201 to the year 12,41
The tests lasted from the year 1187 to the year 11,The tests lasted from the year 1101 to the year 11,87
The attack lasted from the year 1165 to the year 11,The attack lasted from the year 1101 to the year 11,65
The outcome lasted from the year 1257 to the year 12,The outcome lasted from the year 1201 to the year 12,57
The development lasted from the year 1694 to the year 16,The development lasted from the year 1601 to the year 16,94
The outcome lasted from the year 1657 to the year 16,The outcome lasted from the year 1601 to the year 16,57
The work lasted from the year 1363 to the year 13,The work lasted from the year 1301 to the year 13,63
The attack lasted from the year 1329 to the year 13,The attack lasted from the year 1301 to the year 13,29
The construction lasted from the year 1213 to the year 12,The construction lasted from the year 1201 to the year 12,13
The order lasted from the year 1685 to the year 16,The order lasted from the year 1601 to the year 16,85
The progress lasted from the year 1595 to the year 15,The progress lasted from the year 1501 to the year 15,95
The process lasted from the year 1516 to the year 15,The process lasted from the year 1501 to the year 15,16
The study lasted from the year 1121 to the year 11,The study lasted from the year 1101 to the year 11,21
The exchange lasted from the year 1347 to the year 13,The exchange lasted from the year 1301 to the year 13,47
The outcome lasted from the year 1444 to the year 14,The outcome lasted from the year 1401 to the year 14,44
The relationship lasted from the year 1468 to the year 14,The relationship lasted from the year 1401 to the year 14,68
The increase lasted from the year 1304 to the year 13,The increase lasted from the year 1301 to the year 13,4
The plan lasted from the year 1753 to the year 17,The plan lasted from the year 1701 to the year 17,53
The program lasted from the year 1282 to the year 12,The program lasted from the year 1201 to the year 12,82
The trip lasted from the year 1728 to the year 17,The trip lasted from the year 1701 to the year 17,28
The increase lasted from the year 1405 to the year 14,The increase lasted from the year 1401 to the year 14,5
The fall lasted from the year 1730 to the year 17,The fall lasted from the year 1701 to the year 17,30
The test lasted from the year 1666 to the year 16,The test lasted from the year 1601 to the year 16,66
The case lasted from the year 1603 to the year 16,The case lasted from the year 1601 to the year 16,3
The process lasted from the year 1754 to the year 17,The process lasted from the year 1701 to the year 17,54
The operation lasted from the year 1422 to the year 14,The operation lasted from the year 1401 to the year 14,22
The contract lasted from the year 1435 to the year 14,The contract lasted from the year 1401 to the year 14,35
The employment lasted from the year 1491 to the year 14,The employment lasted from the year 1401 to the year 14,91
The coma lasted from the year 1315 to the year 13,The coma lasted from the year 1301 to the year 13,15
The case lasted from the year 1247 to the year 12,The case lasted from the year 1201 to the year 12,47
The rule lasted from the year 1378 to the year 13,The rule lasted from the year 1301 to the year 13,78
The growth lasted from the year 1356 to the year 13,The growth lasted from the year 1301 to the year 13,56
The contract lasted from the year 1303 to the year 13,The contract lasted from the year 1301 to the year 13,3
The case lasted from the year 1291 to the year 12,The case lasted from the year 1201 to the year 12,91
The campaign lasted from the year 1138 to the year 11,The campaign lasted from the year 1101 to the year 11,38
The campaign lasted from the year 1413 to the year 14,The campaign lasted from the year 1401 to the year 14,13
The employment lasted from the year 1697 to the year 16,The employment lasted from the year 1601 to the year 16,97
The project lasted from the year 1761 to the year 17,The project lasted from the year 1701 to the year 17,61
The program lasted from the year 1254 to the year 12,The program lasted from the year 1201 to the year 12,54
The study lasted from the year 1398 to the year 13,The study lasted from the year 1301 to the year 13,98
The construction lasted from the year 1389 to the year 13,The construction lasted from the year 1301 to the year 13,89
The existence lasted from the year 1579 to the year 15,The existence lasted from the year 1501 to the year 15,79
The exchange lasted from the year 1102 to the year 11,The exchange lasted from the year 1101 to the year 11,2
The employment lasted from the year 1409 to the year 14,The employment lasted from the year 1401 to the year 14,9
The process lasted from the year 1331 to the year 13,The process lasted from the year 1301 to the year 13,31
The riot lasted from the year 1513 to the year 15,The riot lasted from the year 1501 to the year 15,13
The trip lasted from the year 1291 to the year 12,The trip lasted from the year 1201 to the year 12,91
The shift lasted from the year 1358 to the year 13,The shift lasted from the year 1301 to the year 13,58
The tour lasted from the year 1139 to the year 11,The tour lasted from the year 1101 to the year 11,39
The deal lasted from the year 1670 to the year 16,The deal lasted from the year 1601 to the year 16,70
The growth lasted from the year 1272 to the year 12,The growth lasted from the year 1201 to the year 12,72
The coma lasted from the year 1229 to the year 12,The coma lasted from the year 1201 to the year 12,29
The tour lasted from the year 1562 to the year 15,The tour lasted from the year 1501 to the year 15,62
The therapy lasted from the year 1486 to the year 14,The therapy lasted from the year 1401 to the year 14,86
The relationship lasted from the year 1438 to the year 14,The relationship lasted from the year 1401 to the year 14,38
The tour lasted from the year 1447 to the year 14,The tour lasted from the year 1401 to the year 14,47
The growth lasted from the year 1757 to the year 17,The growth lasted from the year 1701 to the year 17,57
The campaign lasted from the year 1239 to the year 12,The campaign lasted from the year 1201 to the year 12,39
The plan lasted from the year 1403 to the year 14,The plan lasted from the year 1401 to the year 14,3
The competition lasted from the year 1191 to the year 11,The competition lasted from the year 1101 to the year 11,91
The employment lasted from the year 1378 to the year 13,The employment lasted from the year 1301 to the year 13,78
The therapy lasted from the year 1459 to the year 14,The therapy lasted from the year 1401 to the year 14,59
The riot lasted from the year 1161 to the year 11,The riot lasted from the year 1101 to the year 11,61
The assessment lasted from the year 1653 to the year 16,The assessment lasted from the year 1601 to the year 16,53
The shift lasted from the year 1233 to the year 12,The shift lasted from the year 1201 to the year 12,33
The deal lasted from the year 1261 to the year 12,The deal lasted from the year 1201 to the year 12,61
The coma lasted from the year 1385 to the year 13,The coma lasted from the year 1301 to the year 13,85
The program lasted from the year 1729 to the year 17,The program lasted from the year 1701 to the year 17,29
The development lasted from the year 1627 to the year 16,The development lasted from the year 1601 to the year 16,27
The therapy lasted from the year 1642 to the year 16,The therapy lasted from the year 1601 to the year 16,42
The plan lasted from the year 1390 to the year 13,The plan lasted from the year 1301 to the year 13,90
The study lasted from the year 1725 to the year 17,The study lasted from the year 1701 to the year 17,25
The employment lasted from the year 1466 to the year 14,The employment lasted from the year 1401 to the year 14,66
The contract lasted from the year 1393 to the year 13,The contract lasted from the year 1301 to the year 13,93
The program lasted from the year 1714 to the year 17,The program lasted from the year 1701 to the year 17,14
The exchange lasted from the year 1764 to the year 17,The exchange lasted from the year 1701 to the year 17,64
The tour lasted from the year 1755 to the year 17,The tour lasted from the year 1701 to the year 17,55
The outcome lasted from the year 1351 to the year 13,The outcome lasted from the year 1301 to the year 13,51
The riot lasted from the year 1331 to the year 13,The riot lasted from the year 1301 to the year 13,31
The contract lasted from the year 1614 to the year 16,The contract lasted from the year 1601 to the year 16,14
The campaign lasted from the year 1584 to the year 15,The campaign lasted from the year 1501 to the year 15,84
The study lasted from the year 1530 to the year 15,The study lasted from the year 1501 to the year 15,30
The employment lasted from the year 1106 to the year 11,The employment lasted from the year 1101 to the year 11,6
The evaluation lasted from the year 1361 to the year 13,The evaluation lasted from the year 1301 to the year 13,61
The deal lasted from the year 1194 to the year 11,The deal lasted from the year 1101 to the year 11,94
The quest lasted from the year 1565 to the year 15,The quest lasted from the year 1501 to the year 15,65
The order lasted from the year 1613 to the year 16,The order lasted from the year 1601 to the year 16,13
The program lasted from the year 1229 to the year 12,The program lasted from the year 1201 to the year 12,29
The competition lasted from the year 1424 to the year 14,The competition lasted from the year 1401 to the year 14,24
The practice lasted from the year 1246 to the year 12,The practice lasted from the year 1201 to the year 12,46
The testing lasted from the year 1434 to the year 14,The testing lasted from the year 1401 to the year 14,34
The study lasted from the year 1367 to the year 13,The study lasted from the year 1301 to the year 13,67
The existence lasted from the year 1150 to the year 11,The existence lasted from the year 1101 to the year 11,50
The order lasted from the year 1116 to the year 11,The order lasted from the year 1101 to the year 11,16
The process lasted from the year 1779 to the year 17,The process lasted from the year 1701 to the year 17,79
The relationship lasted from the year 1475 to the year 14,The relationship lasted from the year 1401 to the year 14,75
The work lasted from the year 1557 to the year 15,The work lasted from the year 1501 to the year 15,57
The employment lasted from the year 1442 to the year 14,The employment lasted from the year 1401 to the year 14,42
The plan lasted from the year 1686 to the year 16,The plan lasted from the year 1601 to the year 16,86
The tour lasted from the year 1645 to the year 16,The tour lasted from the year 1601 to the year 16,45
The deal lasted from the year 1797 to the year 17,The deal lasted from the year 1701 to the year 17,97
The trip lasted from the year 1572 to the year 15,The trip lasted from the year 1501 to the year 15,72
The operation lasted from the year 1796 to the year 17,The operation lasted from the year 1701 to the year 17,96
The work lasted from the year 1264 to the year 12,The work lasted from the year 1201 to the year 12,64
The testing lasted from the year 1369 to the year 13,The testing lasted from the year 1301 to the year 13,69
The contract lasted from the year 1326 to the year 13,The contract lasted from the year 1301 to the year 13,26
The therapy lasted from the year 1724 to the year 17,The therapy lasted from the year 1701 to the year 17,24
The attack lasted from the year 1243 to the year 12,The attack lasted from the year 1201 to the year 12,43
The contract lasted from the year 1346 to the year 13,The contract lasted from the year 1301 to the year 13,46
The riot lasted from the year 1506 to the year 15,The riot lasted from the year 1501 to the year 15,6
The operation lasted from the year 1453 to the year 14,The operation lasted from the year 1401 to the year 14,53
The case lasted from the year 1510 to the year 15,The case lasted from the year 1501 to the year 15,10
The campaign lasted from the year 1483 to the year 14,The campaign lasted from the year 1401 to the year 14,83
The employment lasted from the year 1429 to the year 14,The employment lasted from the year 1401 to the year 14,29
The contact lasted from the year 1759 to the year 17,The contact lasted from the year 1701 to the year 17,59
The tests lasted from the year 1120 to the year 11,The tests lasted from the year 1101 to the year 11,20
The increase lasted from the year 1250 to the year 12,The increase lasted from the year 1201 to the year 12,50
The competition lasted from the year 1468 to the year 14,The competition lasted from the year 1401 to the year 14,68
The contract lasted from the year 1110 to the year 11,The contract lasted from the year 1101 to the year 11,10
The therapy lasted from the year 1262 to the year 12,The therapy lasted from the year 1201 to the year 12,62
The rule lasted from the year 1489 to the year 14,The rule lasted from the year 1401 to the year 14,89
The increase lasted from the year 1142 to the year 11,The increase lasted from the year 1101 to the year 11,42
The coma lasted from the year 1194 to the year 11,The coma lasted from the year 1101 to the year 11,94
The deal lasted from the year 1434 to the year 14,The deal lasted from the year 1401 to the year 14,34
The rule lasted from the year 1328 to the year 13,The rule lasted from the year 1301 to the year 13,28
The contact lasted from the year 1388 to the year 13,The contact lasted from the year 1301 to the year 13,88
The increase lasted from the year 1694 to the year 16,The increase lasted from the year 1601 to the year 16,94
The construction lasted from the year 1120 to the year 11,The construction lasted from the year 1101 to the year 11,20
The tour lasted from the year 1519 to the year 15,The tour lasted from the year 1501 to the year 15,19
The construction lasted from the year 1668 to the year 16,The construction lasted from the year 1601 to the year 16,68
The outcome lasted from the year 1620 to the year 16,The outcome lasted from the year 1601 to the year 16,20
The effect lasted from the year 1768 to the year 17,The effect lasted from the year 1701 to the year 17,68
The fall lasted from the year 1745 to the year 17,The fall lasted from the year 1701 to the year 17,45
The coma lasted from the year 1596 to the year 15,The coma lasted from the year 1501 to the year 15,96
The competition lasted from the year 1153 to the year 11,The competition lasted from the year 1101 to the year 11,53
The assessment lasted from the year 1376 to the year 13,The assessment lasted from the year 1301 to the year 13,76
The increase lasted from the year 1483 to the year 14,The increase lasted from the year 1401 to the year 14,83
The trip lasted from the year 1779 to the year 17,The trip lasted from the year 1701 to the year 17,79
The test lasted from the year 1738 to the year 17,The test lasted from the year 1701 to the year 17,38
The trip lasted from the year 1656 to the year 16,The trip lasted from the year 1601 to the year 16,56
The evaluation lasted from the year 1514 to the year 15,The evaluation lasted from the year 1501 to the year 15,14
The campaign lasted from the year 1706 to the year 17,The campaign lasted from the year 1701 to the year 17,6
The relationship lasted from the year 1463 to the year 14,The relationship lasted from the year 1401 to the year 14,63
The effect lasted from the year 1136 to the year 11,The effect lasted from the year 1101 to the year 11,36
The therapy lasted from the year 1425 to the year 14,The therapy lasted from the year 1401 to the year 14,25
The work lasted from the year 1606 to the year 16,The work lasted from the year 1601 to the year 16,6
The process lasted from the year 1739 to the year 17,The process lasted from the year 1701 to the year 17,39
The fall lasted from the year 1337 to the year 13,The fall lasted from the year 1301 to the year 13,37
The development lasted from the year 1363 to the year 13,The development lasted from the year 1301 to the year 13,63
The construction lasted from the year 1455 to the year 14,The construction lasted from the year 1401 to the year 14,55
The program lasted from the year 1614 to the year 16,The program lasted from the year 1601 to the year 16,14
The rise lasted from the year 1368 to the year 13,The rise lasted from the year 1301 to the year 13,68
The evaluation lasted from the year 1545 to the year 15,The evaluation lasted from the year 1501 to the year 15,45
The quest lasted from the year 1453 to the year 14,The quest lasted from the year 1401 to the year 14,53
The test lasted from the year 1768 to the year 17,The test lasted from the year 1701 to the year 17,68
The plan lasted from the year 1289 to the year 12,The plan lasted from the year 1201 to the year 12,89
The growth lasted from the year 1691 to the year 16,The growth lasted from the year 1601 to the year 16,91
The work lasted from the year 1767 to the year 17,The work lasted from the year 1701 to the year 17,67
The rule lasted from the year 1716 to the year 17,The rule lasted from the year 1701 to the year 17,16
The deal lasted from the year 1423 to the year 14,The deal lasted from the year 1401 to the year 14,23
The plan lasted from the year 1725 to the year 17,The plan lasted from the year 1701 to the year 17,25
The growth lasted from the year 1570 to the year 15,The growth lasted from the year 1501 to the year 15,70
The assessment lasted from the year 1184 to the year 11,The assessment lasted from the year 1101 to the year 11,84
The fall lasted from the year 1120 to the year 11,The fall lasted from the year 1101 to the year 11,20
The challenge lasted from the year 1249 to the year 12,The challenge lasted from the year 1201 to the year 12,49
The challenge lasted from the year 1559 to the year 15,The challenge lasted from the year 1501 to the year 15,59
The fall lasted from the year 1702 to the year 17,The fall lasted from the year 1701 to the year 17,2
The increase lasted from the year 1484 to the year 14,The increase lasted from the year 1401 to the year 14,84
The outcome lasted from the year 1611 to the year 16,The outcome lasted from the year 1601 to the year 16,11
The exchange lasted from the year 1404 to the year 14,The exchange lasted from the year 1401 to the year 14,4
