singular,plural
saxcess,saxcesses
jillard,jillards
troor,troors
usacation,usacations
lartory,lartories
cutfure,cutfures
fingure,fingures
abmision,abmisions
strictute,strictutes
soiding,soidings
hubland,hublands
drood,droods
esimutism,esimutisms
imbistance,imbistances
arcler,arclers
coatle,coatles
ence,ences
lekked,lekkeds
imercy,imercies
laner,laners
piction,pictions
tolily,tolilies
acreecant,acreecants
uss,usses
preslem,preslems
agfess,agfesses
esint,esints
uce,uces
jostike,jostikes
vorne,vornes
behocdour,behocdours
surfort,surforts
dencassion,dencassions
sadvey,sadveys
prossare,prossares
constald,constalds
prozert,prozerts
eschaped,eschapeds
esclission,esclissions
woner,woners
docture,doctures
woze,wozes
hobbinal,hobbinals
gnale,gnales
lipe,lipes
vavetement,vavetements
stavien,staviens
namebision,namebisions
starldent,starldents
inplased,inplaseds
desank,desanks
caist,caists
elibance,elibances
pumic,pumics
exaybra,exaybras
imparlence,imparlences
vumue,vumues
smass,smasses
dicittion,dicittions
inspoose,inspooses
wesan,wesans
catear,catears
debont,debonts
beird,beirds
stosy,stosies
utetorlity,utetorlities
impole,impoles
grorte,grortes
apwice,apwices
clace,claces
bunegut,buneguts
egtese,egtese
pehigion,pehigions
ijucity,ijucities
dicintion,dicintions
behaflear,behaflears
rubic,rubics
fotet,fotets
sewsime,sewsimes
lourer,lourers
isshuette,isshuettes
convigance,convigances
oxwose,oxwoses
dableler,dablelers
mustod,mustods
resoofed,resoofeds
recupt,recupts
mamed,mameds
exaysta,exaystas
vasui,vasuis
theen,theens
hass,hasses
zay,zays
souge,souges
pimage,pimages
cundufy,cundufies
anx,anxes
eflayment,eflayments
panenement,panenements
mectar,mectars
smirt,smirts
sarsy,sarsies
cuftude,cuftudes
dethie,dethies
foucher,fouchers
abeant,abeants
tacy,tacies
pepidion,pepidions
souche,souches
meler,melers
onation,onations
thang,thangs
copeer,copeers
saxply,saxplies
imerpy,imerpies
lodel,lodels
conglil,conglils
prelidate,prelidates
facure,facures
ganer,ganers
tafler,taflers
osation,osations
pogue,pogues
uwoa,uwoas
cornaty,cornaties
egteme,egtemes
jergion,jergions
issib,issibs
regock,regocks
imseress,imseresses
pinidler,pinidlers
blomity,blomities
stoll,stolls
abmiteen,abmiteens
algucant,algucants
mubber,mubbers
zeart,zearts
pehicion,pehicions
jetchen,jetchens
bersness,bersnesses
disuine,disuines
sohurity,sohurities
cunste,cunstes
manzet,manzets
cale,cales
winnaw,winnaws
wook,wooks
marinter,marinters
orm,orms
bemy,bemies
cundusy,cundusies
emattion,emattions
cistre,cistres
betget,betgets
storess,storesses
stoly,stolies
whoke,whokes
lagle,lagles
togure,togures
reepon,reepons
brecher,brechers
grock,grocks
sparler,sparlers
cririt,cririts
bleen,bleens
polyle,polyles
popent,popents
spape,spapes
maritter,maritters
prolintion,prolintions
