clean,h1,hypernym,answers,answers_idx,corrupted,c1,corrupted_hypernym,corrupted_answers,corrupted_answers_idx,clean2,corrupted2,prob_diff
", nectarines and other",nectarines,fruit,"['fruits', 'fruit']","[15921, 8234]",", condominiums and other",condominiums,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",nectarines are a type of,condominiums are a type of,0.05092058330774307
", papayas and other",papayas,fruit,"['fruits', 'fruit']","[15921, 8234]",", carpenters and other",carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",papayas are a type of,carpenters are a type of,0.02709231711924076
", apricots and other",apricots,fruit,"['fruits', 'fruit']","[15921, 8234]",", carpenters and other",carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",apricots are a type of,carpenters are a type of,0.057595185935497284
", starfruits and other",starfruits,fruit,"['fruits', 'fruit']","[15921, 8234]",", carpenters and other",carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",starfruits are a type of,carpenters are a type of,0.1473105400800705
", guns and other",guns,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", spinach and other",spinach,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",guns are a type of,spinach is a type of,0.19445377588272095
", knives and other",knives,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", rulers and other",rulers,tool,['tools'],[4899],knives are a type of,rulers are a type of,0.06843361258506775
", swords and other",swords,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", flies and other",flies,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",swords are a type of,flies are a type of,0.19646066427230835
", bombs and other",bombs,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", presidents and other",presidents,politician,"['elected', 'politicians']","[7018, 7602]",bombs are a type of,presidents are a type of,0.14656218886375427
", rifles and other",rifles,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", bankers and other",bankers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",rifles are a type of,bankers are a type of,0.2099706381559372
", maces and other",maces,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", treasurers and other",treasurers,politician,"['elected', 'politicians']","[7018, 7602]",maces are a type of,treasurers are a type of,0.23634301126003265
", axes and other",axes,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", heels and other",heels,footwear,['footwear'],[43463],axes are a type of,heels are a type of,0.010530618019402027
", grenades and other",grenades,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", weeks and other",weeks,time,"['time', 'units']","[640, 4991]",grenades are a type of,weeks are a type of,0.17594760656356812
", missiles and other",missiles,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", strawberries and other",strawberries,fruit,"['fruits', 'fruit']","[15921, 8234]",missiles are a type of,strawberries are a type of,0.21674351394176483
", handguns and other",handguns,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", bras and other",bras,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",handguns are a type of,bras are a type of,0.2123030722141266
", brass knuckles and other",brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", flip flops and other",flip flops,footwear,['footwear'],[43463],brass knuckles are a type of,flip flops are a type of,0.01950436644256115
", clubs and other",clubs,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", soul and other",soul,music,['music'],[2647],clubs are a type of,soul is a type of,-5.1397109928075224e-05
", nunchuckss and other",nunchuckss,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", seagulls and other",seagulls,bird,"['birds', 'bird']","[10087, 6512]",nunchuckss are a type of,seagulls are a type of,0.0013266943860799074
", bazookas and other",bazookas,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", nanoseconds and other",nanoseconds,time,"['time', 'units']","[640, 4991]",bazookas are a type of,nanoseconds are a type of,0.0067610847763717175
", blades and other",blades,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", jackets and other",jackets,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",blades are a type of,jackets are a type of,0.014620459638535976
", spears and other",spears,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", apples and other",apples,fruit,"['fruits', 'fruit']","[15921, 8234]",spears are a type of,apples are a type of,0.10620614141225815
", presidents and other",presidents,politician,"['elected', 'politicians']","[7018, 7602]",", hurricanes and other",hurricanes,weather,"['weather', 'natural']","[6193, 3288]",presidents are a type of,hurricanes are a type of,0.028020163998007774
", senators and other",senators,politician,"['elected', 'politicians']","[7018, 7602]",", oranges and other",oranges,fruit,"['fruits', 'fruit']","[15921, 8234]",senators are a type of,oranges are a type of,0.026841459795832634
", vice presidents and other",vice presidents,politician,"['elected', 'politicians']","[7018, 7602]",", bluegrass and other",bluegrass,music,['music'],[2647],vice presidents are a type of,bluegrass is a type of,0.004934019409120083
", governors and other",governors,politician,"['elected', 'politicians']","[7018, 7602]",", trailers and other",trailers,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",governors are a type of,trailers are a type of,0.054568659514188766
", mayors and other",mayors,politician,"['elected', 'politicians']","[7018, 7602]",", opera and other",opera,music,['music'],[2647],mayors are a type of,opera is a type of,0.08430057018995285
", representatives and other",representatives,politician,"['elected', 'politicians']","[7018, 7602]",", bananas and other",bananas,fruit,"['fruits', 'fruit']","[15921, 8234]",representatives are a type of,bananas are a type of,0.0013857240555807948
", treasurers and other",treasurers,politician,"['elected', 'politicians']","[7018, 7602]",", field hockey and other",field hockey,sport,['sports'],[5701],treasurers are a type of,field hockey is a type of,4.430543049238622e-05
", congressmen and other",congressmen,politician,"['elected', 'politicians']","[7018, 7602]",", maples and other",maples,tree,['trees'],[7150],congressmen are a type of,maples are a type of,0.04067910462617874
", congresswomen and other",congresswomen,politician,"['elected', 'politicians']","[7018, 7602]",", elk and other",elk,animal,['animals'],[4695],congresswomen are a type of,elk are a type of,0.026067102327942848
", secretaries of state and other",secretaries of state,politician,"['elected', 'politicians']","[7018, 7602]",", liras and other",liras,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",secretaries of state are a type of,liras are a type of,0.016955643892288208
", houses and other",houses,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", grapes and other",grapes,fruit,"['fruits', 'fruit']","[15921, 8234]",houses are a type of,grapes are a type of,0.06983685493469238
", apartments and other",apartments,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", dresses and other",dresses,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",apartments are a type of,dresses are a type of,0.08301141113042831
", mansions and other",mansions,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", wasps and other",wasps,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",mansions are a type of,wasps are a type of,0.03593393787741661
", condominiums and other",condominiums,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", secretaries of state and other",secretaries of state,politician,"['elected', 'politicians']","[7018, 7602]",condominiums are a type of,secretaries of state are a type of,0.10927358269691467
", caves and other",caves,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", cod and other",cod,fish,"['fish', 'fishes']","[5916, 49765]",caves are a type of,cod are a type of,0.04986250028014183
", shacks and other",shacks,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", flutes and other",flutes,instrument,"['musical', 'instruments']","[10530, 12834]",shacks are a type of,flutes are a type of,0.020450828596949577
", huts and other",huts,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", thunderstorms and other",thunderstorms,weather,"['weather', 'natural']","[6193, 3288]",huts are a type of,thunderstorms are a type of,0.050901781767606735
", tents and other",tents,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", cars and other",cars,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",tents are a type of,cars are a type of,0.019127730280160904
", dormitories and other",dormitories,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", daisies and other",daisies,flower,"['flowers', 'flowering']","[12734, 48573]",dormitories are a type of,daisies are a type of,0.022884702309966087
", townhouses and other",townhouses,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", uncles and other",uncles,relative,"['relatives', 'family']","[12772, 1641]",townhouses are a type of,uncles are a type of,0.0677129477262497
", trailers and other",trailers,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", hats and other",hats,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",trailers are a type of,hats are a type of,6.512898107757792e-05
", tepees and other",tepees,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", garnets and other",garnets,gem,"['gem', 'gems']","[16840, 23685]",tepees are a type of,garnets are a type of,0.0007190703763626516
", cabins and other",cabins,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", congressmen and other",congressmen,politician,"['elected', 'politicians']","[7018, 7602]",cabins are a type of,congressmen are a type of,0.07690174132585526
", hotels and other",hotels,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", months and other",months,time,"['time', 'units']","[640, 4991]",hotels are a type of,months are a type of,0.020053807646036148
", igloos and other",igloos,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", dandelions and other",dandelions,flower,"['flowers', 'flowering']","[12734, 48573]",igloos are a type of,dandelions are a type of,-0.00041185104055330157
", America and other",America,country,"['countries', 'country']","[2678, 1499]",", milliseconds and other",milliseconds,time,"['time', 'units']","[640, 4991]",America is a type of,milliseconds are a type of,0.11087878793478012
", Canada and other",Canada,country,"['countries', 'country']","[2678, 1499]",", heels and other",heels,footwear,['footwear'],[43463],Canada is a type of,heels are a type of,0.22683168947696686
", France and other",France,country,"['countries', 'country']","[2678, 1499]",", techno and other",techno,music,['music'],[2647],France is a type of,techno is a type of,0.25320738554000854
", Mexico and other",Mexico,country,"['countries', 'country']","[2678, 1499]",", screws and other",screws,tool,['tools'],[4899],Mexico is a type of,screws are a type of,0.23039522767066956
", England and other",England,country,"['countries', 'country']","[2678, 1499]",", potatoes and other",potatoes,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",England is a type of,potatoes are a type of,0.18079090118408203
", Germany and other",Germany,country,"['countries', 'country']","[2678, 1499]",", fathers and other",fathers,relative,"['relatives', 'family']","[12772, 1641]",Germany is a type of,fathers are a type of,0.24854852259159088
", Spain and other",Spain,country,"['countries', 'country']","[2678, 1499]",", wind and other",wind,weather,"['weather', 'natural']","[6193, 3288]",Spain is a type of,wind is a type of,0.23505020141601562
", Italy and other",Italy,country,"['countries', 'country']","[2678, 1499]",", mothers and other",mothers,relative,"['relatives', 'family']","[12772, 1641]",Italy is a type of,mothers are a type of,0.2602030336856842
", China and other",China,country,"['countries', 'country']","[2678, 1499]",", carp and other",carp,fish,"['fish', 'fishes']","[5916, 49765]",China is a type of,carp are a type of,0.16580873727798462
", Japan and other",Japan,country,"['countries', 'country']","[2678, 1499]",", rape and other",rape,crime,"['crimes', 'crime']","[6741, 4065]",Japan is a type of,rape is a type of,0.17042599618434906
", Russia and other",Russia,country,"['countries', 'country']","[2678, 1499]",", spears and other",spears,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",Russia is a type of,spears are a type of,0.14467152953147888
", Brazil and other",Brazil,country,"['countries', 'country']","[2678, 1499]",", rape and other",rape,crime,"['crimes', 'crime']","[6741, 4065]",Brazil is a type of,rape is a type of,0.25300708413124084
", Ireland and other",Ireland,country,"['countries', 'country']","[2678, 1499]",", cod and other",cod,fish,"['fish', 'fishes']","[5916, 49765]",Ireland is a type of,cod are a type of,0.18208332359790802
", Australia and other",Australia,country,"['countries', 'country']","[2678, 1499]",", officers and other",officers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",Australia is a type of,officers are a type of,0.24940794706344604
", Iraq and other",Iraq,country,"['countries', 'country']","[2678, 1499]",", guns and other",guns,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",Iraq is a type of,guns are a type of,0.15929417312145233
", Afghanistan and other",Afghanistan,country,"['countries', 'country']","[2678, 1499]",", representatives and other",representatives,politician,"['elected', 'politicians']","[7018, 7602]",Afghanistan is a type of,representatives are a type of,0.19687527418136597
", Argentina and other",Argentina,country,"['countries', 'country']","[2678, 1499]",", trailers and other",trailers,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",Argentina is a type of,trailers are a type of,0.2612690329551697
", India and other",India,country,"['countries', 'country']","[2678, 1499]",", jackets and other",jackets,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",India is a type of,jackets are a type of,0.19608880579471588
", Switzerland and other",Switzerland,country,"['countries', 'country']","[2678, 1499]",", fathers and other",fathers,relative,"['relatives', 'family']","[12772, 1641]",Switzerland is a type of,fathers are a type of,0.2748340666294098
", Sweden and other",Sweden,country,"['countries', 'country']","[2678, 1499]",", miles and other",miles,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",Sweden is a type of,miles are a type of,0.23839962482452393
", Africa and other",Africa,country,"['countries', 'country']","[2678, 1499]",", turtles and other",turtles,animal,['animals'],[4695],Africa is a type of,turtles are a type of,0.04903480038046837
", Chile and other",Chile,country,"['countries', 'country']","[2678, 1499]",", clouds and other",clouds,weather,"['weather', 'natural']","[6193, 3288]",Chile is a type of,clouds are a type of,0.2122706025838852
", Britain and other",Britain,country,"['countries', 'country']","[2678, 1499]",", rifles and other",rifles,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",Britain is a type of,rifles are a type of,0.172819122672081
", Iran and other",Iran,country,"['countries', 'country']","[2678, 1499]",", blues and other",blues,music,['music'],[2647],Iran is a type of,blues is a type of,0.13339002430438995
", Portugal and other",Portugal,country,"['countries', 'country']","[2678, 1499]",", governors and other",governors,politician,"['elected', 'politicians']","[7018, 7602]",Portugal is a type of,governors are a type of,0.23556597530841827
", Europe and other",Europe,country,"['countries', 'country']","[2678, 1499]",", pumps and other",pumps,footwear,['footwear'],[43463],Europe is a type of,pumps are a type of,0.08717052638530731
", Greece and other",Greece,country,"['countries', 'country']","[2678, 1499]",", soccer and other",soccer,sport,['sports'],[5701],Greece is a type of,soccer is a type of,0.13111625611782074
", Scotland and other",Scotland,country,"['countries', 'country']","[2678, 1499]",", metal and other",metal,music,['music'],[2647],Scotland is a type of,metal is a type of,0.11301521956920624
", Egypt and other",Egypt,country,"['countries', 'country']","[2678, 1499]",", volleyball and other",volleyball,sport,['sports'],[5701],Egypt is a type of,volleyball is a type of,0.1991424709558487
", Israel and other",Israel,country,"['countries', 'country']","[2678, 1499]",", years and other",years,time,"['time', 'units']","[640, 4991]",Israel is a type of,years are a type of,0.1626850813627243
", Peru and other",Peru,country,"['countries', 'country']","[2678, 1499]",", blues and other",blues,music,['music'],[2647],Peru is a type of,blues is a type of,0.2003997564315796
", South africa and other",South africa,country,"['countries', 'country']","[2678, 1499]",", racquetball and other",racquetball,sport,['sports'],[5701],South africa is a type of,racquetball is a type of,0.0726303830742836
", robbery and other",robbery,crime,"['crimes', 'crime']","[6741, 4065]",", Africa and other",Africa,country,"['countries', 'country']","[2678, 1499]",robbery is a type of,Africa is a type of,0.2584141790866852
", homicide and other",homicide,crime,"['crimes', 'crime']","[6741, 4065]",", boots and other",boots,footwear,['footwear'],[43463],homicide is a type of,boots are a type of,0.22658491134643555
", rape and other",rape,crime,"['crimes', 'crime']","[6741, 4065]",", bras and other",bras,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",rape is a type of,bras are a type of,0.07990912348031998
", assault and other",assault,crime,"['crimes', 'crime']","[6741, 4065]",", apples and other",apples,fruit,"['fruits', 'fruit']","[15921, 8234]",assault is a type of,apples are a type of,0.08308248221874237
", burglary and other",burglary,crime,"['crimes', 'crime']","[6741, 4065]",", centuries and other",centuries,time,"['time', 'units']","[640, 4991]",burglary is a type of,centuries are a type of,0.25403523445129395
", arson and other",arson,crime,"['crimes', 'crime']","[6741, 4065]",", Australia and other",Australia,country,"['countries', 'country']","[2678, 1499]",arson is a type of,Australia is a type of,0.16967804729938507
", speeding and other",speeding,crime,"['crimes', 'crime']","[6741, 4065]",", chickens and other",chickens,bird,"['birds', 'bird']","[10087, 6512]",speeding is a type of,chickens are a type of,0.01831398718059063
", breaking and entering and other",breaking and entering,crime,"['crimes', 'crime']","[6741, 4065]",", great uncles and other",great uncles,relative,"['relatives', 'family']","[12772, 1641]",breaking and entering is a type of,great uncles are a type of,0.0008279944304376841
", drug use and other",drug use,crime,"['crimes', 'crime']","[6741, 4065]",", millimeters and other",millimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",drug use is a type of,millimeters are a type of,0.003584617981687188
", drunk driving and other",drunk driving,crime,"['crimes', 'crime']","[6741, 4065]",", light years and other",light years,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",drunk driving is a type of,light years are a type of,0.06504332274198532
", larceny and other",larceny,crime,"['crimes', 'crime']","[6741, 4065]",", carpenters and other",carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",larceny is a type of,carpenters are a type of,0.16771702468395233
", kidnapping and other",kidnapping,crime,"['crimes', 'crime']","[6741, 4065]",", weeks and other",weeks,time,"['time', 'units']","[640, 4991]",kidnapping is a type of,weeks are a type of,0.23508179187774658
", vandalism and other",vandalism,crime,"['crimes', 'crime']","[6741, 4065]",", drums and other",drums,instrument,"['musical', 'instruments']","[10530, 12834]",vandalism is a type of,drums are a type of,0.079774409532547
", battery and other",battery,crime,"['crimes', 'crime']","[6741, 4065]",", inches and other",inches,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",battery is a type of,inches are a type of,-0.0009879928547888994
", drug smuggling and other",drug smuggling,crime,"['crimes', 'crime']","[6741, 4065]",", skateboards and other",skateboards,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",drug smuggling is a type of,skateboards are a type of,0.14926744997501373
", grand theft auto and other",grand theft auto,crime,"['crimes', 'crime']","[6741, 4065]",", carpenters and other",carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",grand theft auto is a type of,carpenters are a type of,0.07897017151117325
", hammers and other",hammers,tool,['tools'],[4899],", sweaters and other",sweaters,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",hammers are a type of,sweaters are a type of,0.07144662737846375
", nails and other",nails,tool,['tools'],[4899],", punk and other",punk,music,['music'],[2647],nails are a type of,punk is a type of,0.013739305548369884
", saws and other",saws,tool,['tools'],[4899],", millenniums and other",millenniums,time,"['time', 'units']","[640, 4991]",saws are a type of,millenniums are a type of,0.02285243757069111
", screwdrivers and other",screwdrivers,tool,['tools'],[4899],", garnets and other",garnets,gem,"['gem', 'gems']","[16840, 23685]",screwdrivers are a type of,garnets are a type of,0.07473154366016388
", drills and other",drills,tool,['tools'],[4899],", captains and other",captains,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",drills are a type of,captains are a type of,0.020367281511425972
", wrenches and other",wrenches,tool,['tools'],[4899],", rowboats and other",rowboats,boat,"['boats', 'vessels', 'ships', 'boat']","[16659, 14891, 7937, 8848]",wrenches are a type of,rowboats are a type of,0.16760128736495972
", screws and other",screws,tool,['tools'],[4899],", palms and other",palms,tree,['trees'],[7150],screws are a type of,palms are a type of,0.03339847922325134
", rulers and other",rulers,tool,['tools'],[4899],", handguns and other",handguns,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",rulers are a type of,handguns are a type of,0.0001818894816096872
", tape measures and other",tape measures,tool,['tools'],[4899],", harmonicas and other",harmonicas,instrument,"['musical', 'instruments']","[10530, 12834]",tape measures are a type of,harmonicas are a type of,0.021892521530389786
", sanders and other",sanders,tool,['tools'],[4899],", hip hop and other",hip hop,music,['music'],[2647],sanders are a type of,hip hop is a type of,0.014173977077007294
", measuring sticks and other",measuring sticks,tool,['tools'],[4899],", mangoes and other",mangoes,fruit,"['fruits', 'fruit']","[15921, 8234]",measuring sticks are a type of,mangoes are a type of,0.05436331033706665
", sandpapers and other",sandpapers,tool,['tools'],[4899],", foxes and other",foxes,animal,['animals'],[4695],sandpapers are a type of,foxes are a type of,0.008795895613729954
", nail guns and other",nail guns,tool,['tools'],[4899],", sweaters and other",sweaters,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",nail guns are a type of,sweaters are a type of,0.016224142163991928
", pliers and other",pliers,tool,['tools'],[4899],", end tables and other",end tables,furniture,['furniture'],[13091],pliers are a type of,end tables are a type of,0.20861995220184326
", doctors and other",doctors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", dance and other",dance,music,['music'],[2647],doctors are a type of,dance is a type of,0.11116606742143631
", teachers and other",teachers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", cars and other",cars,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",teachers are a type of,cars are a type of,0.06837429851293564
", lawyers and other",lawyers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", inches and other",inches,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",lawyers are a type of,inches are a type of,0.08295045047998428
", nurses and other",nurses,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", broccoli and other",broccoli,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",nurses are a type of,broccoli is a type of,0.09349723905324936
", firefighters and other",firefighters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", minutes and other",minutes,time,"['time', 'units']","[640, 4991]",firefighters are a type of,minutes are a type of,0.04176275059580803
", professors and other",professors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", hail and other",hail,weather,"['weather', 'natural']","[6193, 3288]",professors are a type of,hail is a type of,0.05948329716920853
", accountants and other",accountants,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", coffee tables and other",coffee tables,furniture,['furniture'],[13091],accountants are a type of,coffee tables are a type of,0.21945933997631073
", psychologists and other",psychologists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", storms and other",storms,weather,"['weather', 'natural']","[6193, 3288]",psychologists are a type of,storms are a type of,0.05348736420273781
", dentists and other",dentists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", eons and other",eons,time,"['time', 'units']","[640, 4991]",dentists are a type of,eons are a type of,0.17642216384410858
", engineers and other",engineers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", motorcycles and other",motorcycles,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",engineers are a type of,motorcycles are a type of,0.1139925941824913
", secretaries and other",secretaries,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", shorts and other",shorts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",secretaries are a type of,shorts are a type of,0.022359957918524742
", managers and other",managers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", centimeters and other",centimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",managers are a type of,centimeters are a type of,0.051907796412706375
", cooks and other",cooks,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", chickens and other",chickens,bird,"['birds', 'bird']","[10087, 6512]",cooks are a type of,chickens are a type of,0.08185134828090668
", policemen and other",policemen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", potatoes and other",potatoes,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",policemen are a type of,potatoes are a type of,0.03114493191242218
", athletes and other",athletes,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", oranges and other",oranges,fruit,"['fruits', 'fruit']","[15921, 8234]",athletes are a type of,oranges are a type of,0.06653855741024017
", bankers and other",bankers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", screws and other",screws,tool,['tools'],[4899],bankers are a type of,screws are a type of,0.04723048955202103
", businessmen and other",businessmen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", Greece and other",Greece,country,"['countries', 'country']","[2678, 1499]",businessmen are a type of,Greece is a type of,0.0867176502943039
", businesswomen and other",businesswomen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", rupees and other",rupees,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",businesswomen are a type of,rupees are a type of,0.07962529361248016
", carpenters and other",carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", South africa and other",South africa,country,"['countries', 'country']","[2678, 1499]",carpenters are a type of,South africa is a type of,0.0813857689499855
", janitors and other",janitors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", irides and other",irides,flower,"['flowers', 'flowering']","[12734, 48573]",janitors are a type of,irides are a type of,0.12356949597597122
", physical therapists and other",physical therapists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", sandpapers and other",sandpapers,tool,['tools'],[4899],physical therapists are a type of,sandpapers are a type of,0.16160930693149567
", police officers and other",police officers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", mangoes and other",mangoes,fruit,"['fruits', 'fruit']","[15921, 8234]",police officers are a type of,mangoes are a type of,0.031817805022001266
", scientists and other",scientists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", chickens and other",chickens,bird,"['birds', 'bird']","[10087, 6512]",scientists are a type of,chickens are a type of,0.05209190025925636
", football and other",football,sport,['sports'],[5701],", drums and other",drums,instrument,"['musical', 'instruments']","[10530, 12834]",football is a type of,drums are a type of,0.20984001457691193
", basketball and other",basketball,sport,['sports'],[5701],", minutes and other",minutes,time,"['time', 'units']","[640, 4991]",basketball is a type of,minutes are a type of,0.35216224193573
", soccer and other",soccer,sport,['sports'],[5701],", blades and other",blades,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",soccer is a type of,blades are a type of,0.2628348469734192
", baseball and other",baseball,sport,['sports'],[5701],", nurses and other",nurses,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",baseball is a type of,nurses are a type of,0.3806282579898834
", tennis and other",tennis,sport,['sports'],[5701],", dollars and other",dollars,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",tennis is a type of,dollars are a type of,0.3430749773979187
", hockey and other",hockey,sport,['sports'],[5701],", daughters and other",daughters,relative,"['relatives', 'family']","[12772, 1641]",hockey is a type of,daughters are a type of,0.350765585899353
", swimming and other",swimming,sport,['sports'],[5701],", tuna and other",tuna,fish,"['fish', 'fishes']","[5916, 49765]",swimming is a type of,tuna are a type of,0.03349889814853668
", golf and other",golf,sport,['sports'],[5701],", beetles and other",beetles,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",golf is a type of,beetles are a type of,0.2034035325050354
", volleyball and other",volleyball,sport,['sports'],[5701],", months and other",months,time,"['time', 'units']","[640, 4991]",volleyball is a type of,months are a type of,0.3343394696712494
", lacrosse and other",lacrosse,sport,['sports'],[5701],", elk and other",elk,animal,['animals'],[4695],lacrosse is a type of,elk are a type of,0.40731173753738403
", track and other",track,sport,['sports'],[5701],", meters and other",meters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",track is a type of,meters are a type of,-0.0002531662175897509
", rugby and other",rugby,sport,['sports'],[5701],", captains and other",captains,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",rugby is a type of,captains are a type of,0.28647512197494507
", softball and other",softball,sport,['sports'],[5701],", melons and other",melons,fruit,"['fruits', 'fruit']","[15921, 8234]",softball is a type of,melons are a type of,0.2612247169017792
