clean,h1,h2,hypernym,answers,answers_idx,corrupted,c1,c2,corrupted_hypernym,corrupted_answers,corrupted_answers_idx
 majors and admirals are two types of,majors,admirals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", clouds and monsoons are two types of,clouds,monsoons,weather,"['weather', 'natural']","[6193, 3288]"
 majors and chiefs are two types of,majors,chiefs,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", chickens and ducks are two types of,chickens,ducks,bird,"['birds', 'bird']","[10087, 6512]"
 majors and soldiers are two types of,majors,soldiers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", chickens and ducks are two types of,chickens,ducks,bird,"['birds', 'bird']","[10087, 6512]"
 majors and cadets are two types of,majors,cadets,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", diamonds and opals are two types of,diamonds,opals,gem,"['gem', 'gems']","[16840, 23685]"
 corporals and sergeants are two types of,corporals,sergeants,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", grandfathers and great aunts are two types of,grandfathers,great aunts,relative,"['relatives', 'family']","[12772, 1641]"
 corporals and generals are two types of,corporals,generals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", subways and ships are two types of,subways,ships,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]"
 corporals and lieutenants are two types of,corporals,lieutenants,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", sweaters and boxer shortss are two types of,sweaters,boxer shortss,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]"
 corporals and captains are two types of,corporals,captains,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", stools and shelves are two types of,stools,shelves,furniture,['furniture'],[13091]
 corporals and privates are two types of,corporals,privates,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", blice and sweaters are two types of,blice,sweaters,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]"
 corporals and colonels are two types of,corporals,colonels,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", redwoods and oaks are two types of,redwoods,oaks,tree,['trees'],[7150]
 corporals and majors are two types of,corporals,majors,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", elk and rats are two types of,elk,rats,animal,['animals'],[4695]
 corporals and officers are two types of,corporals,officers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", maces and blades are two types of,maces,blades,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 corporals and commanders are two types of,corporals,commanders,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", oaks and palms are two types of,oaks,palms,tree,['trees'],[7150]
 corporals and admirals are two types of,corporals,admirals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", jeanss and sweatshirts are two types of,jeanss,sweatshirts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]"
 corporals and chiefs are two types of,corporals,chiefs,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", sandals and pumps are two types of,sandals,pumps,footwear,['footwear'],[43463]
 corporals and soldiers are two types of,corporals,soldiers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", drug smuggling and battery are two types of,drug smuggling,battery,crime,"['crimes', 'crime']","[6741, 4065]"
 corporals and cadets are two types of,corporals,cadets,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", second cousins and uncles are two types of,second cousins,uncles,relative,"['relatives', 'family']","[12772, 1641]"
 officers and sergeants are two types of,officers,sergeants,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", jackets and boxer shortss are two types of,jackets,boxer shortss,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]"
 officers and generals are two types of,officers,generals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", homicide and battery are two types of,homicide,battery,crime,"['crimes', 'crime']","[6741, 4065]"
 officers and lieutenants are two types of,officers,lieutenants,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", lawyers and carpenters are two types of,lawyers,carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]"
 officers and captains are two types of,officers,captains,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", spears and rifles are two types of,spears,rifles,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 officers and privates are two types of,officers,privates,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", tents and townhouses are two types of,tents,townhouses,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 officers and colonels are two types of,officers,colonels,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", bankers and janitors are two types of,bankers,janitors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]"
 officers and majors are two types of,officers,majors,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", ants and spiders are two types of,ants,spiders,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 officers and corporals are two types of,officers,corporals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", carp and pike are two types of,carp,pike,fish,"['fish', 'fishes']","[5916, 49765]"
 officers and commanders are two types of,officers,commanders,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", mosquitoes and bees are two types of,mosquitoes,bees,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 officers and admirals are two types of,officers,admirals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", scientists and carpenters are two types of,scientists,carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]"
 officers and chiefs are two types of,officers,chiefs,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", days and centuries are two types of,days,centuries,time,"['time', 'units']","[640, 4991]"
 officers and soldiers are two types of,officers,soldiers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", blades and spears are two types of,blades,spears,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 officers and cadets are two types of,officers,cadets,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", diamonds and rubies are two types of,diamonds,rubies,gem,"['gem', 'gems']","[16840, 23685]"
 commanders and sergeants are two types of,commanders,sergeants,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", sneakers and flip flops are two types of,sneakers,flip flops,footwear,['footwear'],[43463]
 commanders and generals are two types of,commanders,generals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", tomatoes and lettuce are two types of,tomatoes,lettuce,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 commanders and lieutenants are two types of,commanders,lieutenants,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", salmon and flounder are two types of,salmon,flounder,fish,"['fish', 'fishes']","[5916, 49765]"
 commanders and captains are two types of,commanders,captains,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", burglary and battery are two types of,burglary,battery,crime,"['crimes', 'crime']","[6741, 4065]"
 commanders and privates are two types of,commanders,privates,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", blues and heavy metal are two types of,blues,heavy metal,music,['music'],[2647]
 commanders and colonels are two types of,commanders,colonels,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", football and field hockey are two types of,football,field hockey,sport,['sports'],[5701]
 commanders and majors are two types of,commanders,majors,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", apples and grapes are two types of,apples,grapes,fruit,"['fruits', 'fruit']","[15921, 8234]"
 commanders and corporals are two types of,commanders,corporals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", robbery and drug use are two types of,robbery,drug use,crime,"['crimes', 'crime']","[6741, 4065]"
 commanders and officers are two types of,commanders,officers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", bass and carp are two types of,bass,carp,fish,"['fish', 'fishes']","[5916, 49765]"
 commanders and admirals are two types of,commanders,admirals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", cricket and badminton are two types of,cricket,badminton,sport,['sports'],[5701]
 commanders and chiefs are two types of,commanders,chiefs,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", professors and managers are two types of,professors,managers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]"
 commanders and soldiers are two types of,commanders,soldiers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", organs and horns are two types of,organs,horns,instrument,"['musical', 'instruments']","[10530, 12834]"
 commanders and cadets are two types of,commanders,cadets,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", miles and decimeters are two types of,miles,decimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]"
 admirals and sergeants are two types of,admirals,sergeants,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", blizzards and monsoons are two types of,blizzards,monsoons,weather,"['weather', 'natural']","[6193, 3288]"
 admirals and generals are two types of,admirals,generals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", praying mantis and bees are two types of,praying mantis,bees,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 admirals and lieutenants are two types of,admirals,lieutenants,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", foot stools and loveseats are two types of,foot stools,loveseats,furniture,['furniture'],[13091]
 admirals and captains are two types of,admirals,captains,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", armoires and desks are two types of,armoires,desks,furniture,['furniture'],[13091]
 admirals and privates are two types of,admirals,privates,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", amethysts and jades are two types of,amethysts,jades,gem,"['gem', 'gems']","[16840, 23685]"
 admirals and colonels are two types of,admirals,colonels,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", sofas and coffee tables are two types of,sofas,coffee tables,furniture,['furniture'],[13091]
 admirals and majors are two types of,admirals,majors,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", liras and quarters are two types of,liras,quarters,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 admirals and corporals are two types of,admirals,corporals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", underwears and tank tops are two types of,underwears,tank tops,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]"
 admirals and officers are two types of,admirals,officers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", armoires and chairs are two types of,armoires,chairs,furniture,['furniture'],[13091]
 admirals and commanders are two types of,admirals,commanders,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", micrometers and inches are two types of,micrometers,inches,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]"
 admirals and chiefs are two types of,admirals,chiefs,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", blizzards and drought are two types of,blizzards,drought,weather,"['weather', 'natural']","[6193, 3288]"
 admirals and soldiers are two types of,admirals,soldiers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", aspens and palms are two types of,aspens,palms,tree,['trees'],[7150]
 admirals and cadets are two types of,admirals,cadets,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", topazs and quartzs are two types of,topazs,quartzs,gem,"['gem', 'gems']","[16840, 23685]"
 chiefs and sergeants are two types of,chiefs,sergeants,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", firefighters and carpenters are two types of,firefighters,carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]"
 chiefs and generals are two types of,chiefs,generals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", oranges and strawberries are two types of,oranges,strawberries,fruit,"['fruits', 'fruit']","[15921, 8234]"
 chiefs and lieutenants are two types of,chiefs,lieutenants,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", chickens and sparrows are two types of,chickens,sparrows,bird,"['birds', 'bird']","[10087, 6512]"
 chiefs and captains are two types of,chiefs,captains,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", pop and gospel are two types of,pop,gospel,music,['music'],[2647]
 chiefs and privates are two types of,chiefs,privates,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", mosquitoes and moths are two types of,mosquitoes,moths,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 chiefs and colonels are two types of,chiefs,colonels,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", butterflies and hornets are two types of,butterflies,hornets,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 chiefs and majors are two types of,chiefs,majors,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", tigers and rabbits are two types of,tigers,rabbits,animal,['animals'],[4695]
 chiefs and corporals are two types of,chiefs,corporals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", centuries and secs are two types of,centuries,secs,time,"['time', 'units']","[640, 4991]"
 chiefs and officers are two types of,chiefs,officers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", jackets and dresses are two types of,jackets,dresses,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]"
 chiefs and commanders are two types of,chiefs,commanders,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", presidents and governors are two types of,presidents,governors,politician,"['elected', 'politicians']","[7018, 7602]"
 chiefs and admirals are two types of,chiefs,admirals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", Greece and South africa are two types of,Greece,South africa,country,"['countries', 'country']","[2678, 1499]"
 chiefs and soldiers are two types of,chiefs,soldiers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", decades and years are two types of,decades,years,time,"['time', 'units']","[640, 4991]"
 chiefs and cadets are two types of,chiefs,cadets,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", palms and dogwoods are two types of,palms,dogwoods,tree,['trees'],[7150]
 soldiers and sergeants are two types of,soldiers,sergeants,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", Australia and South africa are two types of,Australia,South africa,country,"['countries', 'country']","[2678, 1499]"
 soldiers and generals are two types of,soldiers,generals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", cod and carp are two types of,cod,carp,fish,"['fish', 'fishes']","[5916, 49765]"
 soldiers and lieutenants are two types of,soldiers,lieutenants,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", mayors and secretaries of state are two types of,mayors,secretaries of state,politician,"['elected', 'politicians']","[7018, 7602]"
 soldiers and captains are two types of,soldiers,captains,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", dresses and jackets are two types of,dresses,jackets,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]"
 soldiers and privates are two types of,soldiers,privates,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", diamonds and opals are two types of,diamonds,opals,gem,"['gem', 'gems']","[16840, 23685]"
 soldiers and colonels are two types of,soldiers,colonels,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", lettuce and celery are two types of,lettuce,celery,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 soldiers and majors are two types of,soldiers,majors,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", sneakers and boots are two types of,sneakers,boots,footwear,['footwear'],[43463]
 soldiers and corporals are two types of,soldiers,corporals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", drills and nail guns are two types of,drills,nail guns,tool,['tools'],[4899]
 soldiers and officers are two types of,soldiers,officers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", mosquitoes and butterflies are two types of,mosquitoes,butterflies,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 soldiers and commanders are two types of,soldiers,commanders,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", cents and quarters are two types of,cents,quarters,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 soldiers and admirals are two types of,soldiers,admirals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", shirts and boxer shortss are two types of,shirts,boxer shortss,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]"
 soldiers and chiefs are two types of,soldiers,chiefs,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", trout and cod are two types of,trout,cod,fish,"['fish', 'fishes']","[5916, 49765]"
 soldiers and cadets are two types of,soldiers,cadets,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", spiders and hornets are two types of,spiders,hornets,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 cadets and sergeants are two types of,cadets,sergeants,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", garnets and amethysts are two types of,garnets,amethysts,gem,"['gem', 'gems']","[16840, 23685]"
 cadets and generals are two types of,cadets,generals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", sleet and lightning are two types of,sleet,lightning,weather,"['weather', 'natural']","[6193, 3288]"
 cadets and lieutenants are two types of,cadets,lieutenants,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", canaries and bluejays are two types of,canaries,bluejays,bird,"['birds', 'bird']","[10087, 6512]"
 cadets and captains are two types of,cadets,captains,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", maces and bombs are two types of,maces,bombs,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 cadets and privates are two types of,cadets,privates,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", cheerleading and gymnastics are two types of,cheerleading,gymnastics,sport,['sports'],[5701]
 cadets and colonels are two types of,cadets,colonels,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", paddleboats and cruises are two types of,paddleboats,cruises,boat,"['boats', 'vessels', 'ships', 'boat']","[16659, 14891, 7937, 8848]"
 cadets and majors are two types of,cadets,majors,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", buss and vans are two types of,buss,vans,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]"
 cadets and corporals are two types of,cadets,corporals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", new age and reggae are two types of,new age,reggae,music,['music'],[2647]
 cadets and officers are two types of,cadets,officers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", lilacs and roses are two types of,lilacs,roses,flower,"['flowers', 'flowering']","[12734, 48573]"
 cadets and commanders are two types of,cadets,commanders,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", tidal waves and floods are two types of,tidal waves,floods,weather,"['weather', 'natural']","[6193, 3288]"
 cadets and admirals are two types of,cadets,admirals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", congressmen and secretaries of state are two types of,congressmen,secretaries of state,politician,"['elected', 'politicians']","[7018, 7602]"
 cadets and chiefs are two types of,cadets,chiefs,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", drug use and assault are two types of,drug use,assault,crime,"['crimes', 'crime']","[6741, 4065]"
 cadets and soldiers are two types of,cadets,soldiers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]", pines and palms are two types of,pines,palms,tree,['trees'],[7150]
 dogs and cats are two types of,dogs,cats,animal,['animals'],[4695], mayors and presidents are two types of,mayors,presidents,politician,"['elected', 'politicians']","[7018, 7602]"
 dogs and horses are two types of,dogs,horses,animal,['animals'],[4695], ties and shorts are two types of,ties,shorts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]"
 dogs and lions are two types of,dogs,lions,animal,['animals'],[4695], spinach and potatoes are two types of,spinach,potatoes,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 dogs and bears are two types of,dogs,bears,animal,['animals'],[4695], thunder and wind are two types of,thunder,wind,weather,"['weather', 'natural']","[6193, 3288]"
 dogs and tigers are two types of,dogs,tigers,animal,['animals'],[4695], tables and cabinets are two types of,tables,cabinets,furniture,['furniture'],[13091]
 dogs and kine are two types of,dogs,kine,animal,['animals'],[4695], trout and marlin are two types of,trout,marlin,fish,"['fish', 'fishes']","[5916, 49765]"
 dogs and elephants are two types of,dogs,elephants,animal,['animals'],[4695], alternative and gospel are two types of,alternative,gospel,music,['music'],[2647]
 dogs and deer are two types of,dogs,deer,animal,['animals'],[4695], earthquakes and snow are two types of,earthquakes,snow,weather,"['weather', 'natural']","[6193, 3288]"
 dogs and mice are two types of,dogs,mice,animal,['animals'],[4695], pounds and quarters are two types of,pounds,quarters,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 dogs and pigs are two types of,dogs,pigs,animal,['animals'],[4695], spiders and flies are two types of,spiders,flies,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 dogs and rats are two types of,dogs,rats,animal,['animals'],[4695], fathers and brethren are two types of,fathers,brethren,relative,"['relatives', 'family']","[12772, 1641]"
 dogs and giraffes are two types of,dogs,giraffes,animal,['animals'],[4695], palms and spruces are two types of,palms,spruces,tree,['trees'],[7150]
 dogs and squirrels are two types of,dogs,squirrels,animal,['animals'],[4695], diamonds and opals are two types of,diamonds,opals,gem,"['gem', 'gems']","[16840, 23685]"
 dogs and rabbits are two types of,dogs,rabbits,animal,['animals'],[4695], floods and thunder are two types of,floods,thunder,weather,"['weather', 'natural']","[6193, 3288]"
 dogs and goats are two types of,dogs,goats,animal,['animals'],[4695], desks and cabinets are two types of,desks,cabinets,furniture,['furniture'],[13091]
 dogs and zebras are two types of,dogs,zebras,animal,['animals'],[4695], tennis and water polo are two types of,tennis,water polo,sport,['sports'],[5701]
 dogs and mooses are two types of,dogs,mooses,animal,['animals'],[4695], mosquitoes and crickets are two types of,mosquitoes,crickets,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 dogs and sheep are two types of,dogs,sheep,animal,['animals'],[4695], brethren and sons are two types of,brethren,sons,relative,"['relatives', 'family']","[12772, 1641]"
 dogs and cheetahs are two types of,dogs,cheetahs,animal,['animals'],[4695], butterflies and caterpillars are two types of,butterflies,caterpillars,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 dogs and raccoons are two types of,dogs,raccoons,animal,['animals'],[4695], keyboards and trombones are two types of,keyboards,trombones,instrument,"['musical', 'instruments']","[10530, 12834]"
 dogs and wolves are two types of,dogs,wolves,animal,['animals'],[4695], grapes and strawberries are two types of,grapes,strawberries,fruit,"['fruits', 'fruit']","[15921, 8234]"
 dogs and foxes are two types of,dogs,foxes,animal,['animals'],[4695], baseball and field hockey are two types of,baseball,field hockey,sport,['sports'],[5701]
 dogs and hamsters are two types of,dogs,hamsters,animal,['animals'],[4695], sneakers and clogs are two types of,sneakers,clogs,footwear,['footwear'],[43463]
 dogs and donkeys are two types of,dogs,donkeys,animal,['animals'],[4695], apartments and mansions are two types of,apartments,mansions,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 dogs and elk are two types of,dogs,elk,animal,['animals'],[4695], diamonds and gemstones are two types of,diamonds,gemstones,gem,"['gem', 'gems']","[16840, 23685]"
 dogs and lizards are two types of,dogs,lizards,animal,['animals'],[4695], kidnapping and drug smuggling are two types of,kidnapping,drug smuggling,crime,"['crimes', 'crime']","[6741, 4065]"
 dogs and turtles are two types of,dogs,turtles,animal,['animals'],[4695], hockey and soccer are two types of,hockey,soccer,sport,['sports'],[5701]
 cats and dogs are two types of,cats,dogs,animal,['animals'],[4695], presidents and mayors are two types of,presidents,mayors,politician,"['elected', 'politicians']","[7018, 7602]"
 cats and horses are two types of,cats,horses,animal,['animals'],[4695], guitars and keyboards are two types of,guitars,keyboards,instrument,"['musical', 'instruments']","[10530, 12834]"
 cats and lions are two types of,cats,lions,animal,['animals'],[4695], techno and alternative are two types of,techno,alternative,music,['music'],[2647]
 cats and bears are two types of,cats,bears,animal,['animals'],[4695], hours and years are two types of,hours,years,time,"['time', 'units']","[640, 4991]"
 cats and tigers are two types of,cats,tigers,animal,['animals'],[4695], cars and ships are two types of,cars,ships,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]"
 cats and kine are two types of,cats,kine,animal,['animals'],[4695], sisters and second cousins are two types of,sisters,second cousins,relative,"['relatives', 'family']","[12772, 1641]"
 cats and elephants are two types of,cats,elephants,animal,['animals'],[4695], apples and oranges are two types of,apples,oranges,fruit,"['fruits', 'fruit']","[15921, 8234]"
 cats and deer are two types of,cats,deer,animal,['animals'],[4695], hail and drought are two types of,hail,drought,weather,"['weather', 'natural']","[6193, 3288]"
 cats and mice are two types of,cats,mice,animal,['animals'],[4695], knives and bombs are two types of,knives,bombs,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 cats and pigs are two types of,cats,pigs,animal,['animals'],[4695], homicide and vandalism are two types of,homicide,vandalism,crime,"['crimes', 'crime']","[6741, 4065]"
 cats and rats are two types of,cats,rats,animal,['animals'],[4695], bass and trout are two types of,bass,trout,fish,"['fish', 'fishes']","[5916, 49765]"
 cats and giraffes are two types of,cats,giraffes,animal,['animals'],[4695], floods and blizzards are two types of,floods,blizzards,weather,"['weather', 'natural']","[6193, 3288]"
 cats and squirrels are two types of,cats,squirrels,animal,['animals'],[4695], fathers and grandmothers are two types of,fathers,grandmothers,relative,"['relatives', 'family']","[12772, 1641]"
 cats and rabbits are two types of,cats,rabbits,animal,['animals'],[4695], ducks and chickens are two types of,ducks,chickens,bird,"['birds', 'bird']","[10087, 6512]"
 cats and goats are two types of,cats,goats,animal,['animals'],[4695], battery and rape are two types of,battery,rape,crime,"['crimes', 'crime']","[6741, 4065]"
 cats and zebras are two types of,cats,zebras,animal,['animals'],[4695], tomatoes and asparagus are two types of,tomatoes,asparagus,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 cats and mooses are two types of,cats,mooses,animal,['animals'],[4695], scientists and accountants are two types of,scientists,accountants,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]"
 cats and sheep are two types of,cats,sheep,animal,['animals'],[4695], dollars and cents are two types of,dollars,cents,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 cats and cheetahs are two types of,cats,cheetahs,animal,['animals'],[4695], palms and cedars are two types of,palms,cedars,tree,['trees'],[7150]
 cats and raccoons are two types of,cats,raccoons,animal,['animals'],[4695], roses and petunias are two types of,roses,petunias,flower,"['flowers', 'flowering']","[12734, 48573]"
 cats and wolves are two types of,cats,wolves,animal,['animals'],[4695], Australia and Iran are two types of,Australia,Iran,country,"['countries', 'country']","[2678, 1499]"
 cats and foxes are two types of,cats,foxes,animal,['animals'],[4695], pumps and loafers are two types of,pumps,loafers,footwear,['footwear'],[43463]
 cats and hamsters are two types of,cats,hamsters,animal,['animals'],[4695], peas and cauliflower are two types of,peas,cauliflower,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 cats and donkeys are two types of,cats,donkeys,animal,['animals'],[4695], tuna and blowfish are two types of,tuna,blowfish,fish,"['fish', 'fishes']","[5916, 49765]"
 cats and elk are two types of,cats,elk,animal,['animals'],[4695], battery and drug smuggling are two types of,battery,drug smuggling,crime,"['crimes', 'crime']","[6741, 4065]"
 cats and lizards are two types of,cats,lizards,animal,['animals'],[4695], broccoli and beets are two types of,broccoli,beets,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 cats and turtles are two types of,cats,turtles,animal,['animals'],[4695], officers and commanders are two types of,officers,commanders,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]"
 horses and dogs are two types of,horses,dogs,animal,['animals'],[4695], planes and bicycles are two types of,planes,bicycles,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]"
