clean,h,hypernym,answers,answers_idx,corrupted,c,corrupted_hypernym,corrupted_answers,corrupted_answers_idx
 tepees are a type of,tepees,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]", millenniums are a type of,millenniums,time,"['time', 'units']","[892, 8316]"
 cabins are a type of,cabins,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]", screws are a type of,screws,tool,['tools'],[7526]
 hotels are a type of,hotels,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]", volleyball is a type of,volleyball,sport,['sports'],[10034]
 igloos are a type of,igloos,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]", great grandpas are a type of,great grandpas,relative,"['relatives', 'family']","[29658, 3070]"
 America is a type of,America,country,"['countries', 'country']","[5961, 3224]", quarters are a type of,quarters,money,"['currency', 'money', 'currencies']","[11667, 3300, 36702]"
 Canada is a type of,Canada,country,"['countries', 'country']","[5961, 3224]", rulers are a type of,rulers,tool,['tools'],[7526]
 France is a type of,France,country,"['countries', 'country']","[5961, 3224]", belts are a type of,belts,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]"
 Mexico is a type of,Mexico,country,"['countries', 'country']","[5961, 3224]", rulers are a type of,rulers,tool,['tools'],[7526]
 England is a type of,England,country,"['countries', 'country']","[5961, 3224]", rifles are a type of,rifles,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"
 Germany is a type of,Germany,country,"['countries', 'country']","[5961, 3224]", metal is a type of,metal,music,['music'],[4731]
 Spain is a type of,Spain,country,"['countries', 'country']","[5961, 3224]", skirts are a type of,skirts,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]"
 Italy is a type of,Italy,country,"['countries', 'country']","[5961, 3224]", representatives are a type of,representatives,politician,"['elected', 'politicians']","[16689, 19287]"
 China is a type of,China,country,"['countries', 'country']","[5961, 3224]", athletes are a type of,athletes,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
 Japan is a type of,Japan,country,"['countries', 'country']","[5961, 3224]", skiing is a type of,skiing,sport,['sports'],[10034]
 Russia is a type of,Russia,country,"['countries', 'country']","[5961, 3224]", carrots are a type of,carrots,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
 Brazil is a type of,Brazil,country,"['countries', 'country']","[5961, 3224]", wind is a type of,wind,weather,"['weather', 'natural']","[9282, 5933]"
 Ireland is a type of,Ireland,country,"['countries', 'country']","[5961, 3224]", bankers are a type of,bankers,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
 Australia is a type of,Australia,country,"['countries', 'country']","[5961, 3224]", quarters are a type of,quarters,money,"['currency', 'money', 'currencies']","[11667, 3300, 36702]"
 Iraq is a type of,Iraq,country,"['countries', 'country']","[5961, 3224]", rugby is a type of,rugby,sport,['sports'],[10034]
 Afghanistan is a type of,Afghanistan,country,"['countries', 'country']","[5961, 3224]", businessmen are a type of,businessmen,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
 Argentina is a type of,Argentina,country,"['countries', 'country']","[5961, 3224]", lightning is a type of,lightning,weather,"['weather', 'natural']","[9282, 5933]"
 India is a type of,India,country,"['countries', 'country']","[5961, 3224]", soccer is a type of,soccer,sport,['sports'],[10034]
 Switzerland is a type of,Switzerland,country,"['countries', 'country']","[5961, 3224]", trailers are a type of,trailers,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]"
 Sweden is a type of,Sweden,country,"['countries', 'country']","[5961, 3224]", weeks are a type of,weeks,time,"['time', 'units']","[892, 8316]"
 Africa is a type of,Africa,country,"['countries', 'country']","[5961, 3224]", shoes are a type of,shoes,footwear,['footwear'],[68172]
 Chile is a type of,Chile,country,"['countries', 'country']","[5961, 3224]", techno is a type of,techno,music,['music'],[4731]
 Britain is a type of,Britain,country,"['countries', 'country']","[5961, 3224]", classical is a type of,classical,music,['music'],[4731]
 Iran is a type of,Iran,country,"['countries', 'country']","[5961, 3224]", deer are a type of,deer,animal,['animals'],[10099]
 Portugal is a type of,Portugal,country,"['countries', 'country']","[5961, 3224]", sneakers are a type of,sneakers,footwear,['footwear'],[68172]
 Europe is a type of,Europe,country,"['countries', 'country']","[5961, 3224]", psychologists are a type of,psychologists,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
 Greece is a type of,Greece,country,"['countries', 'country']","[5961, 3224]", butterflies are a type of,butterflies,bug,"['insects', 'insect', 'bugs']","[41911, 27080, 23367]"
 Scotland is a type of,Scotland,country,"['countries', 'country']","[5961, 3224]", techno is a type of,techno,music,['music'],[4731]
 Egypt is a type of,Egypt,country,"['countries', 'country']","[5961, 3224]", blues is a type of,blues,music,['music'],[4731]
 Israel is a type of,Israel,country,"['countries', 'country']","[5961, 3224]", speeding is a type of,speeding,crime,"['crimes', 'crime']","[17073, 9977]"
 Peru is a type of,Peru,country,"['countries', 'country']","[5961, 3224]", lamps are a type of,lamps,furniture,['furniture'],[14891]
 South africa is a type of,South africa,country,"['countries', 'country']","[5961, 3224]", slippers are a type of,slippers,footwear,['footwear'],[68172]
 robbery is a type of,robbery,crime,"['crimes', 'crime']","[17073, 9977]", hockey is a type of,hockey,sport,['sports'],[10034]
 homicide is a type of,homicide,crime,"['crimes', 'crime']","[17073, 9977]", mice are a type of,mice,animal,['animals'],[10099]
 rape is a type of,rape,crime,"['crimes', 'crime']","[17073, 9977]", cars are a type of,cars,vehicle,"['vehicles', 'transportation', 'transport']","[11731, 18386, 7710]"
 assault is a type of,assault,crime,"['crimes', 'crime']","[17073, 9977]", tables are a type of,tables,furniture,['furniture'],[14891]
 burglary is a type of,burglary,crime,"['crimes', 'crime']","[17073, 9977]", decades are a type of,decades,time,"['time', 'units']","[892, 8316]"
 arson is a type of,arson,crime,"['crimes', 'crime']","[17073, 9977]", minutes are a type of,minutes,time,"['time', 'units']","[892, 8316]"
 speeding is a type of,speeding,crime,"['crimes', 'crime']","[17073, 9977]", diamonds are a type of,diamonds,gem,"['gem', 'gems']","[19269, 43258]"
 breaking and entering is a type of,breaking and entering,crime,"['crimes', 'crime']","[17073, 9977]", watermelons are a type of,watermelons,fruit,"['fruits', 'fruit']","[26390, 14098]"
 drug use is a type of,drug use,crime,"['crimes', 'crime']","[17073, 9977]", pianoes are a type of,pianoes,instrument,"['musical', 'instruments']","[18273, 24198]"
 drunk driving is a type of,drunk driving,crime,"['crimes', 'crime']","[17073, 9977]", paddleboats are a type of,paddleboats,boat,"['boats', 'vessels', 'ships', 'boat']","[32731, 31080, 18198, 15688]"
 larceny is a type of,larceny,crime,"['crimes', 'crime']","[17073, 9977]", cabbages are a type of,cabbages,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
 kidnapping is a type of,kidnapping,crime,"['crimes', 'crime']","[17073, 9977]", hockey is a type of,hockey,sport,['sports'],[10034]
 vandalism is a type of,vandalism,crime,"['crimes', 'crime']","[17073, 9977]", tomatoes are a type of,tomatoes,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
 battery is a type of,battery,crime,"['crimes', 'crime']","[17073, 9977]", running is a type of,running,sport,['sports'],[10034]
 drug smuggling is a type of,drug smuggling,crime,"['crimes', 'crime']","[17073, 9977]", nightstands are a type of,nightstands,furniture,['furniture'],[14891]
 grand theft auto is a type of,grand theft auto,crime,"['crimes', 'crime']","[17073, 9977]", tangerines are a type of,tangerines,fruit,"['fruits', 'fruit']","[26390, 14098]"
 hammers are a type of,hammers,tool,['tools'],[7526], rainbow trout are a type of,rainbow trout,fish,"['fish', 'fishes']","[7795, 95461]"
 nails are a type of,nails,tool,['tools'],[7526], psychologists are a type of,psychologists,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
 saws are a type of,saws,tool,['tools'],[7526], firs are a type of,firs,tree,['trees'],[12690]
 screwdrivers are a type of,screwdrivers,tool,['tools'],[7526], pike are a type of,pike,fish,"['fish', 'fishes']","[7795, 95461]"
 drills are a type of,drills,tool,['tools'],[7526], soul is a type of,soul,music,['music'],[4731]
 wrenches are a type of,wrenches,tool,['tools'],[7526], battleships are a type of,battleships,boat,"['boats', 'vessels', 'ships', 'boat']","[32731, 31080, 18198, 15688]"
 screws are a type of,screws,tool,['tools'],[7526], bears are a type of,bears,animal,['animals'],[10099]
 rulers are a type of,rulers,tool,['tools'],[7526], Portugal is a type of,Portugal,country,"['countries', 'country']","[5961, 3224]"
 tape measures are a type of,tape measures,tool,['tools'],[7526], reggae is a type of,reggae,music,['music'],[4731]
 sanders are a type of,sanders,tool,['tools'],[7526], fleas are a type of,fleas,bug,"['insects', 'insect', 'bugs']","[41911, 27080, 23367]"
 measuring sticks are a type of,measuring sticks,tool,['tools'],[7526], foot stools are a type of,foot stools,furniture,['furniture'],[14891]
 sandpapers are a type of,sandpapers,tool,['tools'],[7526], cross country is a type of,cross country,sport,['sports'],[10034]
 nail guns are a type of,nail guns,tool,['tools'],[7526], nieces are a type of,nieces,relative,"['relatives', 'family']","[29658, 3070]"
 pliers are a type of,pliers,tool,['tools'],[7526], nephews are a type of,nephews,relative,"['relatives', 'family']","[29658, 3070]"
 doctors are a type of,doctors,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]", deer are a type of,deer,animal,['animals'],[10099]
 teachers are a type of,teachers,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]", guitars are a type of,guitars,instrument,"['musical', 'instruments']","[18273, 24198]"
 lawyers are a type of,lawyers,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]", cabinets are a type of,cabinets,furniture,['furniture'],[14891]
 nurses are a type of,nurses,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]", presidents are a type of,presidents,politician,"['elected', 'politicians']","[16689, 19287]"
 firefighters are a type of,firefighters,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]", soccer is a type of,soccer,sport,['sports'],[10034]
 professors are a type of,professors,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]", Britain is a type of,Britain,country,"['countries', 'country']","[5961, 3224]"
 accountants are a type of,accountants,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]", french horns are a type of,french horns,instrument,"['musical', 'instruments']","[18273, 24198]"
 psychologists are a type of,psychologists,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]", keyboards are a type of,keyboards,instrument,"['musical', 'instruments']","[18273, 24198]"
 dentists are a type of,dentists,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]", garnets are a type of,garnets,gem,"['gem', 'gems']","[19269, 43258]"
 engineers are a type of,engineers,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]", meters are a type of,meters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]"
 secretaries are a type of,secretaries,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]", nanometers are a type of,nanometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]"
 managers are a type of,managers,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]", swords are a type of,swords,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"
 cooks are a type of,cooks,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]", techno is a type of,techno,music,['music'],[4731]
 policemen are a type of,policemen,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]", wrestling is a type of,wrestling,sport,['sports'],[10034]
 athletes are a type of,athletes,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]", snow is a type of,snow,weather,"['weather', 'natural']","[9282, 5933]"
 bankers are a type of,bankers,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]", punk is a type of,punk,music,['music'],[4731]
 businessmen are a type of,businessmen,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]", bicycles are a type of,bicycles,vehicle,"['vehicles', 'transportation', 'transport']","[11731, 18386, 7710]"
 businesswomen are a type of,businesswomen,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]", flamingoes are a type of,flamingoes,bird,"['birds', 'bird']","[20229, 12224]"
 carpenters are a type of,carpenters,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]", banjoes are a type of,banjoes,instrument,"['musical', 'instruments']","[18273, 24198]"
 janitors are a type of,janitors,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]", loafers are a type of,loafers,footwear,['footwear'],[68172]
 physical therapists are a type of,physical therapists,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]", cardinals are a type of,cardinals,bird,"['birds', 'bird']","[20229, 12224]"
 police officers are a type of,police officers,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]", pines are a type of,pines,tree,['trees'],[12690]
 scientists are a type of,scientists,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]", handguns are a type of,handguns,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"
 football is a type of,football,sport,['sports'],[10034], meters are a type of,meters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]"
 basketball is a type of,basketball,sport,['sports'],[10034], trains are a type of,trains,vehicle,"['vehicles', 'transportation', 'transport']","[11731, 18386, 7710]"
 soccer is a type of,soccer,sport,['sports'],[10034], minutes are a type of,minutes,time,"['time', 'units']","[892, 8316]"
 baseball is a type of,baseball,sport,['sports'],[10034], elk are a type of,elk,animal,['animals'],[10099]
 tennis is a type of,tennis,sport,['sports'],[10034], bras are a type of,bras,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]"
 hockey is a type of,hockey,sport,['sports'],[10034], majors are a type of,majors,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"
 swimming is a type of,swimming,sport,['sports'],[10034], country is a type of,country,music,['music'],[4731]
 golf is a type of,golf,sport,['sports'],[10034], grandparents are a type of,grandparents,relative,"['relatives', 'family']","[29658, 3070]"
 volleyball is a type of,volleyball,sport,['sports'],[10034], bananas are a type of,bananas,fruit,"['fruits', 'fruit']","[26390, 14098]"
 lacrosse is a type of,lacrosse,sport,['sports'],[10034], crickets are a type of,crickets,bug,"['insects', 'insect', 'bugs']","[41911, 27080, 23367]"
 track is a type of,track,sport,['sports'],[10034], commanders are a type of,commanders,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"
 rugby is a type of,rugby,sport,['sports'],[10034], nurses are a type of,nurses,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
 softball is a type of,softball,sport,['sports'],[10034], chickens are a type of,chickens,bird,"['birds', 'bird']","[20229, 12224]"
 field hockey is a type of,field hockey,sport,['sports'],[10034], privates are a type of,privates,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"
 skiing is a type of,skiing,sport,['sports'],[10034], thunder is a type of,thunder,weather,"['weather', 'natural']","[9282, 5933]"
 cheerleading is a type of,cheerleading,sport,['sports'],[10034], spruces are a type of,spruces,tree,['trees'],[12690]
 running is a type of,running,sport,['sports'],[10034], Egypt is a type of,Egypt,country,"['countries', 'country']","[5961, 3224]"
 gymnastics is a type of,gymnastics,sport,['sports'],[10034], half dollars are a type of,half dollars,money,"['currency', 'money', 'currencies']","[11667, 3300, 36702]"
 polo is a type of,polo,sport,['sports'],[10034], trains are a type of,trains,vehicle,"['vehicles', 'transportation', 'transport']","[11731, 18386, 7710]"
 racquetball is a type of,racquetball,sport,['sports'],[10034], bazookas are a type of,bazookas,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"
 wrestling is a type of,wrestling,sport,['sports'],[10034], lions are a type of,lions,animal,['animals'],[10099]
 bowling is a type of,bowling,sport,['sports'],[10034], cats are a type of,cats,animal,['animals'],[10099]
 cross country is a type of,cross country,sport,['sports'],[10034], pines are a type of,pines,tree,['trees'],[12690]
 badminton is a type of,badminton,sport,['sports'],[10034], treasurers are a type of,treasurers,politician,"['elected', 'politicians']","[16689, 19287]"
 cricket is a type of,cricket,sport,['sports'],[10034], knives are a type of,knives,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"
 water polo is a type of,water polo,sport,['sports'],[10034], radishes are a type of,radishes,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
 tornados are a type of,tornados,weather,"['weather', 'natural']","[9282, 5933]", ferries are a type of,ferries,boat,"['boats', 'vessels', 'ships', 'boat']","[32731, 31080, 18198, 15688]"
 hurricanes are a type of,hurricanes,weather,"['weather', 'natural']","[9282, 5933]", carrots are a type of,carrots,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
 rain is a type of,rain,weather,"['weather', 'natural']","[9282, 5933]", governors are a type of,governors,politician,"['elected', 'politicians']","[16689, 19287]"
 snow is a type of,snow,weather,"['weather', 'natural']","[9282, 5933]", hockey is a type of,hockey,sport,['sports'],[10034]
 hail is a type of,hail,weather,"['weather', 'natural']","[9282, 5933]", ants are a type of,ants,bug,"['insects', 'insect', 'bugs']","[41911, 27080, 23367]"
 floods are a type of,floods,weather,"['weather', 'natural']","[9282, 5933]", deer are a type of,deer,animal,['animals'],[10099]
 lightning is a type of,lightning,weather,"['weather', 'natural']","[9282, 5933]", gospel is a type of,gospel,music,['music'],[4731]
 blizzards are a type of,blizzards,weather,"['weather', 'natural']","[9282, 5933]", breaking and entering is a type of,breaking and entering,crime,"['crimes', 'crime']","[17073, 9977]"
 earthquakes are a type of,earthquakes,weather,"['weather', 'natural']","[9282, 5933]", skirts are a type of,skirts,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]"
 sleet is a type of,sleet,weather,"['weather', 'natural']","[9282, 5933]", finches are a type of,finches,bird,"['birds', 'bird']","[20229, 12224]"
 monsoons are a type of,monsoons,weather,"['weather', 'natural']","[9282, 5933]", clarinets are a type of,clarinets,instrument,"['musical', 'instruments']","[18273, 24198]"
 thunder is a type of,thunder,weather,"['weather', 'natural']","[9282, 5933]", rifles are a type of,rifles,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"
 wind is a type of,wind,weather,"['weather', 'natural']","[9282, 5933]", grapes are a type of,grapes,fruit,"['fruits', 'fruit']","[26390, 14098]"
 tsunamis are a type of,tsunamis,weather,"['weather', 'natural']","[9282, 5933]", moccasins are a type of,moccasins,footwear,['footwear'],[68172]
 storms are a type of,storms,weather,"['weather', 'natural']","[9282, 5933]", mothers are a type of,mothers,relative,"['relatives', 'family']","[29658, 3070]"
 thunderstorms are a type of,thunderstorms,weather,"['weather', 'natural']","[9282, 5933]", doves are a type of,doves,bird,"['birds', 'bird']","[20229, 12224]"
 typhoons are a type of,typhoons,weather,"['weather', 'natural']","[9282, 5933]", piranha are a type of,piranha,fish,"['fish', 'fishes']","[7795, 95461]"
 drought is a type of,drought,weather,"['weather', 'natural']","[9282, 5933]", secs are a type of,secs,time,"['time', 'units']","[892, 8316]"
 clouds are a type of,clouds,weather,"['weather', 'natural']","[9282, 5933]", pumps are a type of,pumps,footwear,['footwear'],[68172]
 tidal waves are a type of,tidal waves,weather,"['weather', 'natural']","[9282, 5933]", swordfish are a type of,swordfish,fish,"['fish', 'fishes']","[7795, 95461]"
 shirts are a type of,shirts,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", punk is a type of,punk,music,['music'],[4731]
 pantss are a type of,pantss,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", tulips are a type of,tulips,flower,"['flowers', 'flowering']","[19837, 82339]"
 socks are a type of,socks,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", years are a type of,years,time,"['time', 'units']","[892, 8316]"
 underwears are a type of,underwears,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", carpenters are a type of,carpenters,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
 shoes are a type of,shoes,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", dollars are a type of,dollars,money,"['currency', 'money', 'currencies']","[11667, 3300, 36702]"
 hats are a type of,hats,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", planes are a type of,planes,vehicle,"['vehicles', 'transportation', 'transport']","[11731, 18386, 7710]"
 shorts are a type of,shorts,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", soccer is a type of,soccer,sport,['sports'],[10034]
 jackets are a type of,jackets,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", celery is a type of,celery,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
 sweaters are a type of,sweaters,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", blowfish are a type of,blowfish,fish,"['fish', 'fishes']","[7795, 95461]"
 bras are a type of,bras,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", sandals are a type of,sandals,footwear,['footwear'],[68172]
 skirts are a type of,skirts,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", assault is a type of,assault,crime,"['crimes', 'crime']","[17073, 9977]"
 jeanss are a type of,jeanss,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", liras are a type of,liras,money,"['currency', 'money', 'currencies']","[11667, 3300, 36702]"
 coats are a type of,coats,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", sheep are a type of,sheep,animal,['animals'],[10099]
 dresses are a type of,dresses,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", beans are a type of,beans,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
 t-shirts are a type of,t-shirts,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", asparagus are a type of,asparagus,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
 gloves are a type of,gloves,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", Germany is a type of,Germany,country,"['countries', 'country']","[5961, 3224]"
 sweatshirts are a type of,sweatshirts,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", piccoloes are a type of,piccoloes,instrument,"['musical', 'instruments']","[18273, 24198]"
 boxer shortss are a type of,boxer shortss,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", turquoises are a type of,turquoises,gem,"['gem', 'gems']","[19269, 43258]"
 scarves are a type of,scarves,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", police officers are a type of,police officers,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
 tank tops are a type of,tank tops,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", elms are a type of,elms,tree,['trees'],[12690]
 blice are a type of,blice,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", sanders are a type of,sanders,tool,['tools'],[7526]
 ties are a type of,ties,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", days are a type of,days,time,"['time', 'units']","[892, 8316]"
 belts are a type of,belts,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", homicide is a type of,homicide,crime,"['crimes', 'crime']","[17073, 9977]"
 pantiess are a type of,pantiess,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", flip flops are a type of,flip flops,footwear,['footwear'],[68172]
 undershirts are a type of,undershirts,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]", dinghies are a type of,dinghies,boat,"['boats', 'vessels', 'ships', 'boat']","[32731, 31080, 18198, 15688]"
 drums are a type of,drums,instrument,"['musical', 'instruments']","[18273, 24198]", screws are a type of,screws,tool,['tools'],[7526]
 guitars are a type of,guitars,instrument,"['musical', 'instruments']","[18273, 24198]", chickens are a type of,chickens,bird,"['birds', 'bird']","[20229, 12224]"
 flutes are a type of,flutes,instrument,"['musical', 'instruments']","[18273, 24198]", ravens are a type of,ravens,bird,"['birds', 'bird']","[20229, 12224]"
 pianoes are a type of,pianoes,instrument,"['musical', 'instruments']","[18273, 24198]", green beans are a type of,green beans,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
 trumpets are a type of,trumpets,instrument,"['musical', 'instruments']","[18273, 24198]", tulips are a type of,tulips,flower,"['flowers', 'flowering']","[19837, 82339]"
 clarinets are a type of,clarinets,instrument,"['musical', 'instruments']","[18273, 24198]", grand theft auto is a type of,grand theft auto,crime,"['crimes', 'crime']","[17073, 9977]"
 saxophones are a type of,saxophones,instrument,"['musical', 'instruments']","[18273, 24198]", armoires are a type of,armoires,furniture,['furniture'],[14891]
 violins are a type of,violins,instrument,"['musical', 'instruments']","[18273, 24198]", colonels are a type of,colonels,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"
 trombones are a type of,trombones,instrument,"['musical', 'instruments']","[18273, 24198]", reggae is a type of,reggae,music,['music'],[4731]
 tubas are a type of,tubas,instrument,"['musical', 'instruments']","[18273, 24198]", hawks are a type of,hawks,bird,"['birds', 'bird']","[20229, 12224]"
 bass guitars are a type of,bass guitars,instrument,"['musical', 'instruments']","[18273, 24198]", dormitories are a type of,dormitories,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]"
 celloes are a type of,celloes,instrument,"['musical', 'instruments']","[18273, 24198]", parakeets are a type of,parakeets,bird,"['birds', 'bird']","[20229, 12224]"
 oboes are a type of,oboes,instrument,"['musical', 'instruments']","[18273, 24198]", caterpillars are a type of,caterpillars,bug,"['insects', 'insect', 'bugs']","[41911, 27080, 23367]"
 basses are a type of,basses,instrument,"['musical', 'instruments']","[18273, 24198]", yachts are a type of,yachts,boat,"['boats', 'vessels', 'ships', 'boat']","[32731, 31080, 18198, 15688]"
 violas are a type of,violas,instrument,"['musical', 'instruments']","[18273, 24198]", hiking shoes are a type of,hiking shoes,footwear,['footwear'],[68172]
 harps are a type of,harps,instrument,"['musical', 'instruments']","[18273, 24198]", physical therapists are a type of,physical therapists,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
 horns are a type of,horns,instrument,"['musical', 'instruments']","[18273, 24198]", generals are a type of,generals,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"
 keyboards are a type of,keyboards,instrument,"['musical', 'instruments']","[18273, 24198]", kilometers are a type of,kilometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]"
 french horns are a type of,french horns,instrument,"['musical', 'instruments']","[18273, 24198]", cardinals are a type of,cardinals,bird,"['birds', 'bird']","[20229, 12224]"
 piccoloes are a type of,piccoloes,instrument,"['musical', 'instruments']","[18273, 24198]", micrometers are a type of,micrometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]"
 banjoes are a type of,banjoes,instrument,"['musical', 'instruments']","[18273, 24198]", great uncles are a type of,great uncles,relative,"['relatives', 'family']","[29658, 3070]"
 harmonicas are a type of,harmonicas,instrument,"['musical', 'instruments']","[18273, 24198]", screwdrivers are a type of,screwdrivers,tool,['tools'],[7526]
 cymbals are a type of,cymbals,instrument,"['musical', 'instruments']","[18273, 24198]", grand theft auto is a type of,grand theft auto,crime,"['crimes', 'crime']","[17073, 9977]"
 organs are a type of,organs,instrument,"['musical', 'instruments']","[18273, 24198]", elephants are a type of,elephants,animal,['animals'],[10099]
 tambourines are a type of,tambourines,instrument,"['musical', 'instruments']","[18273, 24198]", catamarans are a type of,catamarans,boat,"['boats', 'vessels', 'ships', 'boat']","[32731, 31080, 18198, 15688]"
 dollars are a type of,dollars,money,"['currency', 'money', 'currencies']","[11667, 3300, 36702]", Scotland is a type of,Scotland,country,"['countries', 'country']","[5961, 3224]"
 cents are a type of,cents,money,"['currency', 'money', 'currencies']","[11667, 3300, 36702]", shorts are a type of,shorts,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]"
 dimes are a type of,dimes,money,"['currency', 'money', 'currencies']","[11667, 3300, 36702]", crickets are a type of,crickets,bug,"['insects', 'insect', 'bugs']","[41911, 27080, 23367]"
