clean,h1,hypernym,answers,answers_idx,corrupted,c1,corrupted_hypernym,corrupted_answers,corrupted_answers_idx,clean2,corrupted2
", brass knuckles and other",brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", t-shirts and other",t-shirts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",brass knuckles are a type of,t-shirts are a type of
", clubs and other",clubs,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", screws and other",screws,tool,['tools'],[4899],clubs are a type of,screws are a type of
", nunchuckss and other",nunchuckss,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", nanoseconds and other",nanoseconds,time,"['time', 'units']","[640, 4991]",nunchuckss are a type of,nanoseconds are a type of
", bazookas and other",bazookas,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", nanoseconds and other",nanoseconds,time,"['time', 'units']","[640, 4991]",bazookas are a type of,nanoseconds are a type of
", blades and other",blades,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", representatives and other",representatives,politician,"['elected', 'politicians']","[7018, 7602]",blades are a type of,representatives are a type of
", spears and other",spears,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", beans and other",beans,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",spears are a type of,beans are a type of
", presidents and other",presidents,politician,"['elected', 'politicians']","[7018, 7602]",", hours and other",hours,time,"['time', 'units']","[640, 4991]",presidents are a type of,hours are a type of
", senators and other",senators,politician,"['elected', 'politicians']","[7018, 7602]",", lamps and other",lamps,furniture,['furniture'],[13091],senators are a type of,lamps are a type of
", vice presidents and other",vice presidents,politician,"['elected', 'politicians']","[7018, 7602]",", hornets and other",hornets,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",vice presidents are a type of,hornets are a type of
", governors and other",governors,politician,"['elected', 'politicians']","[7018, 7602]",", meters and other",meters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",governors are a type of,meters are a type of
", mayors and other",mayors,politician,"['elected', 'politicians']","[7018, 7602]",", salmon and other",salmon,fish,"['fish', 'fishes']","[5916, 49765]",mayors are a type of,salmon are a type of
", representatives and other",representatives,politician,"['elected', 'politicians']","[7018, 7602]",", drills and other",drills,tool,['tools'],[4899],representatives are a type of,drills are a type of
", treasurers and other",treasurers,politician,"['elected', 'politicians']","[7018, 7602]",", nephews and other",nephews,relative,"['relatives', 'family']","[12772, 1641]",treasurers are a type of,nephews are a type of
", congressmen and other",congressmen,politician,"['elected', 'politicians']","[7018, 7602]",", maces and other",maces,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",congressmen are a type of,maces are a type of
", congresswomen and other",congresswomen,politician,"['elected', 'politicians']","[7018, 7602]",", kine and other",kine,animal,['animals'],[4695],congresswomen are a type of,kine are a type of
", secretaries of state and other",secretaries of state,politician,"['elected', 'politicians']","[7018, 7602]",", badminton and other",badminton,sport,['sports'],[5701],secretaries of state are a type of,badminton is a type of
", houses and other",houses,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", pop and other",pop,music,['music'],[2647],houses are a type of,pop is a type of
", apartments and other",apartments,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", grapes and other",grapes,fruit,"['fruits', 'fruit']","[15921, 8234]",apartments are a type of,grapes are a type of
", mansions and other",mansions,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", marlin and other",marlin,fish,"['fish', 'fishes']","[5916, 49765]",mansions are a type of,marlin are a type of
", condominiums and other",condominiums,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", trombones and other",trombones,instrument,"['musical', 'instruments']","[10530, 12834]",condominiums are a type of,trombones are a type of
", caves and other",caves,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", baseball and other",baseball,sport,['sports'],[5701],caves are a type of,baseball is a type of
", shacks and other",shacks,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", dogwoods and other",dogwoods,tree,['trees'],[7150],shacks are a type of,dogwoods are a type of
", huts and other",huts,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", maces and other",maces,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",huts are a type of,maces are a type of
", tents and other",tents,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", mayors and other",mayors,politician,"['elected', 'politicians']","[7018, 7602]",tents are a type of,mayors are a type of
", dormitories and other",dormitories,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", micrometers and other",micrometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",dormitories are a type of,micrometers are a type of
", townhouses and other",townhouses,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", garnets and other",garnets,gem,"['gem', 'gems']","[16840, 23685]",townhouses are a type of,garnets are a type of
", trailers and other",trailers,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", doctors and other",doctors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",trailers are a type of,doctors are a type of
", tepees and other",tepees,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", maces and other",maces,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",tepees are a type of,maces are a type of
", cabins and other",cabins,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", pearls and other",pearls,gem,"['gem', 'gems']","[16840, 23685]",cabins are a type of,pearls are a type of
", hotels and other",hotels,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", sneakers and other",sneakers,footwear,['footwear'],[43463],hotels are a type of,sneakers are a type of
", igloos and other",igloos,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", sergeants and other",sergeants,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",igloos are a type of,sergeants are a type of
", America and other",America,country,"['countries', 'country']","[2678, 1499]",", flies and other",flies,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",America is a type of,flies are a type of
", Canada and other",Canada,country,"['countries', 'country']","[2678, 1499]",", guitars and other",guitars,instrument,"['musical', 'instruments']","[10530, 12834]",Canada is a type of,guitars are a type of
", France and other",France,country,"['countries', 'country']","[2678, 1499]",", pigs and other",pigs,animal,['animals'],[4695],France is a type of,pigs are a type of
", Mexico and other",Mexico,country,"['countries', 'country']","[2678, 1499]",", broccoli and other",broccoli,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",Mexico is a type of,broccoli is a type of
", England and other",England,country,"['countries', 'country']","[2678, 1499]",", bicycles and other",bicycles,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",England is a type of,bicycles are a type of
", Germany and other",Germany,country,"['countries', 'country']","[2678, 1499]",", nails and other",nails,tool,['tools'],[4899],Germany is a type of,nails are a type of
", Spain and other",Spain,country,"['countries', 'country']","[2678, 1499]",", senators and other",senators,politician,"['elected', 'politicians']","[7018, 7602]",Spain is a type of,senators are a type of
", Italy and other",Italy,country,"['countries', 'country']","[2678, 1499]",", guitars and other",guitars,instrument,"['musical', 'instruments']","[10530, 12834]",Italy is a type of,guitars are a type of
", China and other",China,country,"['countries', 'country']","[2678, 1499]",", trucks and other",trucks,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",China is a type of,trucks are a type of
", Japan and other",Japan,country,"['countries', 'country']","[2678, 1499]",", kilometers and other",kilometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",Japan is a type of,kilometers are a type of
", Russia and other",Russia,country,"['countries', 'country']","[2678, 1499]",", handguns and other",handguns,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",Russia is a type of,handguns are a type of
", Brazil and other",Brazil,country,"['countries', 'country']","[2678, 1499]",", spears and other",spears,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",Brazil is a type of,spears are a type of
", Ireland and other",Ireland,country,"['countries', 'country']","[2678, 1499]",", guitars and other",guitars,instrument,"['musical', 'instruments']","[10530, 12834]",Ireland is a type of,guitars are a type of
", Australia and other",Australia,country,"['countries', 'country']","[2678, 1499]",", skiing and other",skiing,sport,['sports'],[5701],Australia is a type of,skiing is a type of
", Iraq and other",Iraq,country,"['countries', 'country']","[2678, 1499]",", yards and other",yards,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",Iraq is a type of,yards are a type of
", Afghanistan and other",Afghanistan,country,"['countries', 'country']","[2678, 1499]",", meters and other",meters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",Afghanistan is a type of,meters are a type of
", Argentina and other",Argentina,country,"['countries', 'country']","[2678, 1499]",", sons and other",sons,relative,"['relatives', 'family']","[12772, 1641]",Argentina is a type of,sons are a type of
", India and other",India,country,"['countries', 'country']","[2678, 1499]",", tuna and other",tuna,fish,"['fish', 'fishes']","[5916, 49765]",India is a type of,tuna are a type of
", Switzerland and other",Switzerland,country,"['countries', 'country']","[2678, 1499]",", dogs and other",dogs,animal,['animals'],[4695],Switzerland is a type of,dogs are a type of
", Sweden and other",Sweden,country,"['countries', 'country']","[2678, 1499]",", chairs and other",chairs,furniture,['furniture'],[13091],Sweden is a type of,chairs are a type of
", Africa and other",Africa,country,"['countries', 'country']","[2678, 1499]",", corn and other",corn,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",Africa is a type of,corn is a type of
", Chile and other",Chile,country,"['countries', 'country']","[2678, 1499]",", trailers and other",trailers,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",Chile is a type of,trailers are a type of
", Britain and other",Britain,country,"['countries', 'country']","[2678, 1499]",", assault and other",assault,crime,"['crimes', 'crime']","[6741, 4065]",Britain is a type of,assault is a type of
", Iran and other",Iran,country,"['countries', 'country']","[2678, 1499]",", nails and other",nails,tool,['tools'],[4899],Iran is a type of,nails are a type of
", Portugal and other",Portugal,country,"['countries', 'country']","[2678, 1499]",", ants and other",ants,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",Portugal is a type of,ants are a type of
", Europe and other",Europe,country,"['countries', 'country']","[2678, 1499]",", planes and other",planes,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",Europe is a type of,planes are a type of
", Greece and other",Greece,country,"['countries', 'country']","[2678, 1499]",", onions and other",onions,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",Greece is a type of,onions are a type of
", Scotland and other",Scotland,country,"['countries', 'country']","[2678, 1499]",", horns and other",horns,instrument,"['musical', 'instruments']","[10530, 12834]",Scotland is a type of,horns are a type of
", Egypt and other",Egypt,country,"['countries', 'country']","[2678, 1499]",", battery and other",battery,crime,"['crimes', 'crime']","[6741, 4065]",Egypt is a type of,battery is a type of
", Israel and other",Israel,country,"['countries', 'country']","[2678, 1499]",", mosquitoes and other",mosquitoes,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",Israel is a type of,mosquitoes are a type of
", Peru and other",Peru,country,"['countries', 'country']","[2678, 1499]",", rain and other",rain,weather,"['weather', 'natural']","[6193, 3288]",Peru is a type of,rain is a type of
", South africa and other",South africa,country,"['countries', 'country']","[2678, 1499]",", cheetahs and other",cheetahs,animal,['animals'],[4695],South africa is a type of,cheetahs are a type of
", robbery and other",robbery,crime,"['crimes', 'crime']","[6741, 4065]",", spiders and other",spiders,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",robbery is a type of,spiders are a type of
", homicide and other",homicide,crime,"['crimes', 'crime']","[6741, 4065]",", gospel and other",gospel,music,['music'],[2647],homicide is a type of,gospel is a type of
", rape and other",rape,crime,"['crimes', 'crime']","[6741, 4065]",", soldiers and other",soldiers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",rape is a type of,soldiers are a type of
", assault and other",assault,crime,"['crimes', 'crime']","[6741, 4065]",", governors and other",governors,politician,"['elected', 'politicians']","[7018, 7602]",assault is a type of,governors are a type of
", burglary and other",burglary,crime,"['crimes', 'crime']","[6741, 4065]",", guitars and other",guitars,instrument,"['musical', 'instruments']","[10530, 12834]",burglary is a type of,guitars are a type of
", arson and other",arson,crime,"['crimes', 'crime']","[6741, 4065]",", bananas and other",bananas,fruit,"['fruits', 'fruit']","[15921, 8234]",arson is a type of,bananas are a type of
", speeding and other",speeding,crime,"['crimes', 'crime']","[6741, 4065]",", cents and other",cents,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",speeding is a type of,cents are a type of
", breaking and entering and other",breaking and entering,crime,"['crimes', 'crime']","[6741, 4065]",", secretaries of state and other",secretaries of state,politician,"['elected', 'politicians']","[7018, 7602]",breaking and entering is a type of,secretaries of state are a type of
", drug use and other",drug use,crime,"['crimes', 'crime']","[6741, 4065]",", tulips and other",tulips,flower,"['flowers', 'flowering']","[12734, 48573]",drug use is a type of,tulips are a type of
", drunk driving and other",drunk driving,crime,"['crimes', 'crime']","[6741, 4065]",", mangoes and other",mangoes,fruit,"['fruits', 'fruit']","[15921, 8234]",drunk driving is a type of,mangoes are a type of
", larceny and other",larceny,crime,"['crimes', 'crime']","[6741, 4065]",", raccoons and other",raccoons,animal,['animals'],[4695],larceny is a type of,raccoons are a type of
", kidnapping and other",kidnapping,crime,"['crimes', 'crime']","[6741, 4065]",", cars and other",cars,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",kidnapping is a type of,cars are a type of
", vandalism and other",vandalism,crime,"['crimes', 'crime']","[6741, 4065]",", shoes and other",shoes,footwear,['footwear'],[43463],vandalism is a type of,shoes are a type of
", battery and other",battery,crime,"['crimes', 'crime']","[6741, 4065]",", bees and other",bees,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",battery is a type of,bees are a type of
", drug smuggling and other",drug smuggling,crime,"['crimes', 'crime']","[6741, 4065]",", sanders and other",sanders,tool,['tools'],[4899],drug smuggling is a type of,sanders are a type of
", grand theft auto and other",grand theft auto,crime,"['crimes', 'crime']","[6741, 4065]",", micrometers and other",micrometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",grand theft auto is a type of,micrometers are a type of
", hammers and other",hammers,tool,['tools'],[4899],", police officers and other",police officers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",hammers are a type of,police officers are a type of
", nails and other",nails,tool,['tools'],[4899],", guns and other",guns,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",nails are a type of,guns are a type of
", saws and other",saws,tool,['tools'],[4899],", pantss and other",pantss,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",saws are a type of,pantss are a type of
", screwdrivers and other",screwdrivers,tool,['tools'],[4899],", hiking shoes and other",hiking shoes,footwear,['footwear'],[43463],screwdrivers are a type of,hiking shoes are a type of
", drills and other",drills,tool,['tools'],[4899],", techno and other",techno,music,['music'],[2647],drills are a type of,techno is a type of
", wrenches and other",wrenches,tool,['tools'],[4899],", dragonflies and other",dragonflies,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",wrenches are a type of,dragonflies are a type of
", screws and other",screws,tool,['tools'],[4899],", dresses and other",dresses,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",screws are a type of,dresses are a type of
", rulers and other",rulers,tool,['tools'],[4899],", diamonds and other",diamonds,gem,"['gem', 'gems']","[16840, 23685]",rulers are a type of,diamonds are a type of
", tape measures and other",tape measures,tool,['tools'],[4899],", rafts and other",rafts,boat,"['boats', 'vessels', 'ships', 'boat']","[16659, 14891, 7937, 8848]",tape measures are a type of,rafts are a type of
", sanders and other",sanders,tool,['tools'],[4899],", hornets and other",hornets,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",sanders are a type of,hornets are a type of
", measuring sticks and other",measuring sticks,tool,['tools'],[4899],", bluegrass and other",bluegrass,music,['music'],[2647],measuring sticks are a type of,bluegrass is a type of
", sandpapers and other",sandpapers,tool,['tools'],[4899],", dressers and other",dressers,furniture,['furniture'],[13091],sandpapers are a type of,dressers are a type of
", nail guns and other",nail guns,tool,['tools'],[4899],", dogwoods and other",dogwoods,tree,['trees'],[7150],nail guns are a type of,dogwoods are a type of
", pliers and other",pliers,tool,['tools'],[4899],", hiking shoes and other",hiking shoes,footwear,['footwear'],[43463],pliers are a type of,hiking shoes are a type of
", doctors and other",doctors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", wind and other",wind,weather,"['weather', 'natural']","[6193, 3288]",doctors are a type of,wind is a type of
", teachers and other",teachers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", soldiers and other",soldiers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",teachers are a type of,soldiers are a type of
", lawyers and other",lawyers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", soccer and other",soccer,sport,['sports'],[5701],lawyers are a type of,soccer is a type of
", nurses and other",nurses,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", track and other",track,sport,['sports'],[5701],nurses are a type of,track is a type of
", firefighters and other",firefighters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", salmon and other",salmon,fish,"['fish', 'fishes']","[5916, 49765]",firefighters are a type of,salmon are a type of
", professors and other",professors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", senators and other",senators,politician,"['elected', 'politicians']","[7018, 7602]",professors are a type of,senators are a type of
", accountants and other",accountants,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", half dollars and other",half dollars,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",accountants are a type of,half dollars are a type of
", psychologists and other",psychologists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", cents and other",cents,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",psychologists are a type of,cents are a type of
", dentists and other",dentists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", irides and other",irides,flower,"['flowers', 'flowering']","[12734, 48573]",dentists are a type of,irides are a type of
", engineers and other",engineers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", Afghanistan and other",Afghanistan,country,"['countries', 'country']","[2678, 1499]",engineers are a type of,Afghanistan is a type of
", secretaries and other",secretaries,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", peas and other",peas,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",secretaries are a type of,peas are a type of
", managers and other",managers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", potatoes and other",potatoes,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",managers are a type of,potatoes are a type of
", cooks and other",cooks,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", opera and other",opera,music,['music'],[2647],cooks are a type of,opera is a type of
", policemen and other",policemen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", inches and other",inches,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",policemen are a type of,inches are a type of
", athletes and other",athletes,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", dresses and other",dresses,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",athletes are a type of,dresses are a type of
", bankers and other",bankers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", shorts and other",shorts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",bankers are a type of,shorts are a type of
", businessmen and other",businessmen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", hotels and other",hotels,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",businessmen are a type of,hotels are a type of
", businesswomen and other",businesswomen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", rainbow trout and other",rainbow trout,fish,"['fish', 'fishes']","[5916, 49765]",businesswomen are a type of,rainbow trout are a type of
", carpenters and other",carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", lieutenants and other",lieutenants,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",carpenters are a type of,lieutenants are a type of
", janitors and other",janitors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", clogs and other",clogs,footwear,['footwear'],[43463],janitors are a type of,clogs are a type of
", physical therapists and other",physical therapists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", vice presidents and other",vice presidents,politician,"['elected', 'politicians']","[7018, 7602]",physical therapists are a type of,vice presidents are a type of
", police officers and other",police officers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", sleet and other",sleet,weather,"['weather', 'natural']","[6193, 3288]",police officers are a type of,sleet is a type of
", scientists and other",scientists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", apples and other",apples,fruit,"['fruits', 'fruit']","[15921, 8234]",scientists are a type of,apples are a type of
", football and other",football,sport,['sports'],[5701],", hurricanes and other",hurricanes,weather,"['weather', 'natural']","[6193, 3288]",football is a type of,hurricanes are a type of
", basketball and other",basketball,sport,['sports'],[5701],", officers and other",officers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",basketball is a type of,officers are a type of
", soccer and other",soccer,sport,['sports'],[5701],", athletes and other",athletes,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",soccer is a type of,athletes are a type of
", baseball and other",baseball,sport,['sports'],[5701],", senators and other",senators,politician,"['elected', 'politicians']","[7018, 7602]",baseball is a type of,senators are a type of
", tennis and other",tennis,sport,['sports'],[5701],", sneakers and other",sneakers,footwear,['footwear'],[43463],tennis is a type of,sneakers are a type of
", hockey and other",hockey,sport,['sports'],[5701],", pumps and other",pumps,footwear,['footwear'],[43463],hockey is a type of,pumps are a type of
", swimming and other",swimming,sport,['sports'],[5701],", pounds and other",pounds,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",swimming is a type of,pounds are a type of
", golf and other",golf,sport,['sports'],[5701],", screws and other",screws,tool,['tools'],[4899],golf is a type of,screws are a type of
", volleyball and other",volleyball,sport,['sports'],[5701],", pounds and other",pounds,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",volleyball is a type of,pounds are a type of
", lacrosse and other",lacrosse,sport,['sports'],[5701],", running shoes and other",running shoes,footwear,['footwear'],[43463],lacrosse is a type of,running shoes are a type of
", track and other",track,sport,['sports'],[5701],", bees and other",bees,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",track is a type of,bees are a type of
", rugby and other",rugby,sport,['sports'],[5701],", decades and other",decades,time,"['time', 'units']","[640, 4991]",rugby is a type of,decades are a type of
", softball and other",softball,sport,['sports'],[5701],", dimes and other",dimes,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",softball is a type of,dimes are a type of
", field hockey and other",field hockey,sport,['sports'],[5701],", secs and other",secs,time,"['time', 'units']","[640, 4991]",field hockey is a type of,secs are a type of
", skiing and other",skiing,sport,['sports'],[5701],", bananas and other",bananas,fruit,"['fruits', 'fruit']","[15921, 8234]",skiing is a type of,bananas are a type of
", cheerleading and other",cheerleading,sport,['sports'],[5701],", dentists and other",dentists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",cheerleading is a type of,dentists are a type of
", running and other",running,sport,['sports'],[5701],", beetles and other",beetles,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",running is a type of,beetles are a type of
", gymnastics and other",gymnastics,sport,['sports'],[5701],", reggae and other",reggae,music,['music'],[2647],gymnastics is a type of,reggae is a type of
", polo and other",polo,sport,['sports'],[5701],", nanometers and other",nanometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",polo is a type of,nanometers are a type of
", racquetball and other",racquetball,sport,['sports'],[5701],", sycamores and other",sycamores,tree,['trees'],[7150],racquetball is a type of,sycamores are a type of
", wrestling and other",wrestling,sport,['sports'],[5701],", grapes and other",grapes,fruit,"['fruits', 'fruit']","[15921, 8234]",wrestling is a type of,grapes are a type of
", bowling and other",bowling,sport,['sports'],[5701],", squash and other",squash,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",bowling is a type of,squash is a type of
", cross country and other",cross country,sport,['sports'],[5701],", congresswomen and other",congresswomen,politician,"['elected', 'politicians']","[7018, 7602]",cross country is a type of,congresswomen are a type of
", badminton and other",badminton,sport,['sports'],[5701],", t-shirts and other",t-shirts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",badminton is a type of,t-shirts are a type of
", cricket and other",cricket,sport,['sports'],[5701],", metal and other",metal,music,['music'],[2647],cricket is a type of,metal is a type of
", water polo and other",water polo,sport,['sports'],[5701],", carpenters and other",carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",water polo is a type of,carpenters are a type of
", tornados and other",tornados,weather,"['weather', 'natural']","[6193, 3288]",", heavy metal and other",heavy metal,music,['music'],[2647],tornados are a type of,heavy metal is a type of
", hurricanes and other",hurricanes,weather,"['weather', 'natural']","[6193, 3288]",", pumps and other",pumps,footwear,['footwear'],[43463],hurricanes are a type of,pumps are a type of
", rain and other",rain,weather,"['weather', 'natural']","[6193, 3288]",", lawyers and other",lawyers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",rain is a type of,lawyers are a type of
", snow and other",snow,weather,"['weather', 'natural']","[6193, 3288]",", palms and other",palms,tree,['trees'],[7150],snow is a type of,palms are a type of
", hail and other",hail,weather,"['weather', 'natural']","[6193, 3288]",", burglary and other",burglary,crime,"['crimes', 'crime']","[6741, 4065]",hail is a type of,burglary is a type of
", floods and other",floods,weather,"['weather', 'natural']","[6193, 3288]",", presidents and other",presidents,politician,"['elected', 'politicians']","[7018, 7602]",floods are a type of,presidents are a type of
", lightning and other",lightning,weather,"['weather', 'natural']","[6193, 3288]",", golf and other",golf,sport,['sports'],[5701],lightning is a type of,golf is a type of
", blizzards and other",blizzards,weather,"['weather', 'natural']","[6193, 3288]",", raspberries and other",raspberries,fruit,"['fruits', 'fruit']","[15921, 8234]",blizzards are a type of,raspberries are a type of
", earthquakes and other",earthquakes,weather,"['weather', 'natural']","[6193, 3288]",", pounds and other",pounds,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",earthquakes are a type of,pounds are a type of
", sleet and other",sleet,weather,"['weather', 'natural']","[6193, 3288]",", francs and other",francs,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",sleet is a type of,francs are a type of
", monsoons and other",monsoons,weather,"['weather', 'natural']","[6193, 3288]",", petunias and other",petunias,flower,"['flowers', 'flowering']","[12734, 48573]",monsoons are a type of,petunias are a type of
", thunder and other",thunder,weather,"['weather', 'natural']","[6193, 3288]",", mosquitoes and other",mosquitoes,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",thunder is a type of,mosquitoes are a type of
", wind and other",wind,weather,"['weather', 'natural']","[6193, 3288]",", grandparents and other",grandparents,relative,"['relatives', 'family']","[12772, 1641]",wind is a type of,grandparents are a type of
", tsunamis and other",tsunamis,weather,"['weather', 'natural']","[6193, 3288]",", cockroaches and other",cockroaches,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",tsunamis are a type of,cockroaches are a type of
", storms and other",storms,weather,"['weather', 'natural']","[6193, 3288]",", trains and other",trains,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",storms are a type of,trains are a type of
", thunderstorms and other",thunderstorms,weather,"['weather', 'natural']","[6193, 3288]",", cabins and other",cabins,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",thunderstorms are a type of,cabins are a type of
", typhoons and other",typhoons,weather,"['weather', 'natural']","[6193, 3288]",", pansies and other",pansies,flower,"['flowers', 'flowering']","[12734, 48573]",typhoons are a type of,pansies are a type of
