1. A precious stone
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
Treasurer	0.23		5.1		3.9	0.21	0.26	0.26
Congressional	0.19	0.01	4.8	10.9	3.5	0.24	0.17	0.11
 Congressman	0.11		4.8		3.7	0.11	0.16	0.05
 Congress	0.07	0.01	4.7	11.8	3.0	0.11	0.00	0.06
 Congress person	0.01		4.3		4.6	0.01	0.01	0.01
 Congress member	0.00		4.0		5.0	0.00	0.00	0.00
 Congressman/woman	0.00		9.7		4.0	0.01	0.00	0.00
Sheriff	0.07		4.6		4.4	0.05	0.03	0.13
Judge(s)	0.06		5.1		4.8	0.05	0.07	0.07
Secretary of state	0.06		6.9		3.7	0.07	0.02	0.07

19. A type of human dwelling
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(686)		Overall	First		(370)	(144)	(172)
House/home	0.96	0.75	4.0	4.3	1.4	0.99	1.00	0.85
 House	0.85	0.70	4.0	4.3	1.3	0.88	0.90	0.74
 Home	0.10	0.05	3.6	4.7	2.0	0.10	0.10	0.11
Apartment	0.67	0.03	4.0	6.7	3.0	0.68	0.78	0.54
 Apartment	0.66	0.03	4.0	6.7	3.0	0.68	0.78	0.54
 Apartment building	0.00		5.0		3.0	0.00	0.00	0.00
 Apartment complex	0.00		6.0		5.0	0.00	0.00	0.00
Mansion	0.35	0.01	4.4	5.9	4.3	0.35	0.40	0.30
Condo(minium)	0.32		4.1		4.4	0.38	0.33	0.19
 Condo	0.29		3.9		4.4	0.35	0.28	0.19
 Condominium	0.03		6.6		4.0	0.03	0.05	0.00
Cave(s)	0.24	0.04	3.4	4.9	3.3	0.28	0.25	0.17
Shack	0.22	0.01	3.9	5.4	4.0	0.25	0.22	0.15
Hut(s)	0.19	0.03	3.0	3.8	3.3	0.22	0.20	0.10
Tent	0.19		3.3		4.5	0.23	0.17	0.13
Dorm (room)	0.15		4.0		4.5	0.13	0.23	0.15
 Dorm	0.07		3.9		4.4	0.01	0.17	0.12
 Dorm room	0.06		3.6		4.3	0.10	0.01	0.03
 Dormitory	0.02		5.5		5.4	0.02	0.05	0.00
Townhouse/home	0.15		4.6		4.5	0.14	0.22	0.11
 Townhouse	0.11		4.5		4.4	0.09	0.20	0.09
 Townhome	0.04		4.9		4.7	0.05	0.02	0.02
Trailer	0.13		4.3		4.4	0.09	0.12	0.20
Tepee	0.11		4.1		4.4	0.14	0.10	0.03
Cabin	0.09		3.8		4.8	0.11	0.06	0.08
Hotel	0.09		3.5		5.5	0.09	0.13	0.06
Car	0.08		2.9		4.7	0.08	0.07	0.10
Igloo(s)	0.07	0.01	4.9	5.3	3.5	0.09	0.08	0.03
Boat	0.05		4.4		4.7	0.04	0.05	0.08
Box	0.05		4.1		5.2	0.04	0.07	0.06

20. An alcoholic beverage
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(686)		Overall	First		(370)	(150)	(166)
Beer	0.87	0.63	3.5	3.8	1.5	0.89	0.90	0.78
Vodka	0.62	0.09	4.0	5.1	3.0	0.67	0.67	0.46
Wine	0.54	0.05	2.5	3.3	2.8	0.56	0.55	0.47
Rum	0.43	0.03	3.1	4.9	3.9	0.47	0.53	0.24
Whiskey	0.32	0.01	4.4	5.8	4.0	0.36	0.33	0.23
Tequila	0.24	0.01	4.8	5.6	4.5	0.32	0.15	0.16
Gin	0.23	0.01	3.1	4.0	4.6	0.25	0.28	0.14
Margarita(s)	0.12	0.01	5.3	7.9	4.1	0.15	0.06	0.11
Liquor(s)	0.11		5.7		3.5	0.07	0.08	0.25
Champagne	0.09		5.9		4.6	0.10	0.07	0.08
Scotch	0.09		4.3		5.0	0.09	0.13	0.05
Bud(weiser)	0.08	0.01	4.5	5.9	3.8	0.06	0.04	0.14
 Budweiser	0.07	0.01	4.9	5.9	3.8	0.05	0.03	0.14
 Bud	0.01		2.5		4.1	0.02	0.01	0.00
Wine cooler(s)	0.07		5.2		4.2	0.09	0.00	0.08
Bacardi	0.06	0.01	5.3	5.8	4.0	0.05	0.11	0.05
Jack Daniels	0.06		5.4		4.3	0.07	0.05	0.05
Martini	0.06	0.01	5.3	6.2	4.0	0.08	0.05	0.05
Smirnoff	0.06	0.01	4.9	5.6	3.6	0.04	0.07	0.10
Bourbon	0.05		4.5		5.2	0.06	0.01	0.05
Daiquiri(s)	0.05		6.0		4.9	0.04	0.03	0.09

21. A country
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(698)		Overall	First		(368)	(150)	(180)
USA/US/United States	0.90	0.66	4.1	4.6	1.6	0.90	0.89	0.89
 USA	0.38	0.31	3.5	3.9	1.4	0.54	0.45	0.00
 United States	0.35	0.26	5.0	5.4	1.7	0.18	0.22	0.82
 US	0.09	0.05	3.3	3.9	2.0	0.11	0.13	0.00
 America	0.08	0.05	4.1	5.0	1.8	0.07	0.09	0.07
Canada	0.56	0.02	3.3	5.2	4.1	0.61	0.51	0.48
France	0.53	0.04	2.8	4.3	4.6	0.54	0.54	0.52
Mexico	0.52		3.2		4.3	0.57	0.50	0.43
England	0.38	0.02	3.4	4.7	4.4	0.38	0.39	0.36
Germany	0.38	0.02	3.1	4.7	5.2	0.39	0.39	0.37
Spain	0.33	0.03	2.8	3.6	5.3	0.34	0.32	0.33
Italy	0.29	0.01	2.9	4.3	5.6	0.29	0.35	0.23
China	0.26	0.01	2.5	6.4	6.3	0.23	0.41	0.20
Japan	0.23	0.01	2.7	3.7	6.3	0.22	0.31	0.18
Russia	0.23	0.01	2.9	3.8	5.8	0.22	0.28	0.22
Brazil	0.19	0.01	3.8	6.1	5.4	0.20	0.17	0.18
Ireland	0.16	0.01	3.1	4.1	5.5	0.18	0.12	0.13
Australia	0.15	0.01	4.1	6.1	5.4	0.16	0.16	0.13
Iraq	0.13	0.01	3.1	6.5	5.0	0.10	0.06	0.24
Afghanistan	0.09	0.01	4.8	6.9	4.3	0.10	0.07	0.09
Argentina	0.09		3.4		5.8	0.10	0.09	0.06
India	0.09	0.01	2.6	4.0	6.0	0.08	0.12	0.08
Switzerland	0.09		4.8		5.9	0.10	0.07	0.09
Sweden	0.08		3.1		6.4	0.07	0.09	0.09
Africa	0.07	0.01	4.3	5.2	3.8	0.05	0.05	0.11
Chile	0.07		3.1		7.2	0.08	0.07	0.05
Great Britain/Britain	0.07		4.5		4.9	0.07	0.09	0.05
 Great Britain	0.04		5.1		4.7	0.04	0.05	0.03
 Britain	0.03		3.7		5.1	0.03	0.05	0.02
Iran	0.07		2.2		5.9	0.05	0.05	0.13
Portugal	0.07		3.7		6.5	0.07	0.08	0.07
Europe	0.06	0.01	4.7	5.6	3.2	0.05	0.05	0.09
Greece	0.06		2.7		6.9	0.05	0.10	0.03
Scotland	0.06		3.3		5.9	0.06	0.05	0.07
Egypt	0.05		4.7		5.4	0.05	0.04	0.06
Israel	0.05		3.6		5.6	0.03	0.11	0.03
Peru	0.05		2.7		5.9	0.06	0.05	0.02
South Africa	0.05		5.5		6.7	0.05	0.05	0.05

22. A crime
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(697)		Overall	First		(369)	(150)	(178)
Stealing/theft/robbery	1.00	0.30	4.5	4.9	2.5	0.99	1.01	1.01
 Stealing	0.36	0.14	4.8	5.0	2.4	0.36	0.26	0.44
 Theft	0.30	0.06	3.9	4.7	2.6	0.33	0.30	0.24
 Robbery	0.34	0.10	4.6	4.8	2.5	0.30	0.45	0.33
Murder/killing	0.97	0.45	3.9	4.2	2.0	0.95	0.99	0.97
 Murder	0.82	0.42	3.8	4.1	1.9	0.82	0.86	0.79
 Killing	0.09	0.03	4.8	5.0	2.4	0.08	0.07	0.13
 Homicide	0.06	0.01	4.4	5.9	3.3	0.06	0.07	0.04
Rape	0.44	0.05	3.1	3.2	3.0	0.44	0.49	0.40
Assault	0.24	0.01	4.7	4.5	3.8	0.26	0.25	0.18
Burglary	0.14	0.05	5.4	5.7	2.6	0.17	0.15	0.09
Arson	0.12	0.01	3.9	4.2	3.5	0.12	0.13	0.10
Speeding	0.11		4.7		4.4	0.11	0.05	0.14
Breaking and entering	0.08	0.01	6.1	6.9	3.4	0.07	0.08	0.12
Drug use/possession	0.07	0.01	6.2	8.2	3.9	0.07	0.05	0.10
 Drugs	0.03		6.4		3.9	0.02	0.01	0.04
 Drug possession	0.03		6.2		3.9	0.02	0.01	0.05
 Drug use	0.02		5.9		4.0	0.02	0.02	0.01
 Illegal drug use	0.00		8.1		5.0	0.00	0.01	0.00
 Using drugs	0.00		4.8		5.0	0.00	0.00	0.00
 Using illegal drugs	0.00		8.5		5.0	0.00	0.00	0.00
DUI/DWI	0.07		5.6		4.5	0.11	0.03	0.02
 DUI	0.04		5.5		4.2	0.07	0.01	0.02
 DWI	0.01		5.0		5.8	0.01	0.01	0.01
 Drinking and driving	0.01		6.0		4.4	0.02	0.01	0.00
 Drunk driving	0.01		6.2		5.1	0.02	0.01	0.00
Larceny	0.07	0.01	5.1	4.6	3.3	0.04	0.10	0.10
Kidnapping	0.06		6.0		4.3	0.06	0.07	0.06
Vandalism	0.06	0.01	6.1	5.3	3.7	0.05	0.05	0.07
Battery	0.05		3.5		4.5	0.05	0.03	0.05
Drug dealing/selling	0.05		7.0		4.3	0.05	0.05	0.04
 Drug dealing	0.02		5.8		4.4	0.01	0.02	0.02
 Drug trafficking	0.01		7.7		4.1	0.02	0.01	0.01
 Selling illegal drugs	0.01		7.7		4.3	0.01	0.02	0.02
 Drug smuggling	0.00		7.0		4.5	0.01	0.00	0.00
Grand theft auto	0.05		6.9		4.1	0.04	0.07	0.04

23. A carpenter's tool
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(663)		Overall	First		(342)	(149)	(172)
Hammer(s)	0.93	0.71	3.8	4.0	1.4	0.94	0.90	0.91
Nail(s)	0.63	0.02	3.3	6.4	3.1	0.63	0.57	0.66
Saw	0.57	0.09	3.4	4.2	3.2	0.59	0.56	0.55
Screwdriver(s)	0.48	0.01	6.2	8.3	3.5	0.51	0.45	0.45
Drill	0.23	0.01	4.1	4.4	3.9	0.27	0.20	0.19
Wrench	0.20	0.02	5.0	5.2	3.3	0.21	0.21	0.19
Screw(s)	0.18		3.7		4.6	0.19	0.11	0.24
Level	0.13	0.01	4.9	5.6	4.2	0.15	0.14	0.09
Ruler	0.12	0.01	4.9	5.5	3.9	0.10	0.18	0.09
Tape measure	0.12	0.01	6.9	10.1	4.2	0.12	0.05	0.17
Wood	0.11	0.01	4.1	6.5	4.4	0.12	0.09	0.12
Sander	0.10		4.9		4.3	0.11	0.09	0.09
Measuring tape/device	0.08		6.7		4.0	0.10	0.11	0.02
 Measuring tape	0.06		6.4		4.2	0.08	0.09	0.00
 Measuring device	0.01		8.1		3.0	0.01	0.01	0.01
 Measure(r)	0.01		7.0		3.5	0.00	0.01	0.02
 Measuring stick	0.00		8.3		3.0	0.01	0.00	0.00
Knife	0.07	0.02	5.3	6.2	2.7	0.06	0.04	0.10
Chisel	0.06	0.01	5.8	6.2	3.1	0.05	0.03	0.11
Pencil	0.06		4.2		5.1	0.07	0.07	0.03
Sandpaper	0.06		5.7		4.6	0.06	0.06	0.05
Nail gun	0.05		4.7		4.1	0.06	0.06	0.01
Pliers	0.05		6.4		4.1	0.06	0.05	0.03

24. A member of the clergy
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(621)		Overall	First		(348)	(135)	(138)
Priest	0.71	0.52	5.2	5.6	1.5	0.74	0.79	0.57
Pope	0.52	0.09	4.3	6.2	3.2	0.56	0.57	0.36
Bishop	0.33	0.03	4.9	7.2	3.4	0.33	0.45	0.20
Nun	0.29	0.01	3.7	6.2	3.2	0.28	0.35	0.23
Cardinal	0.20	0.01	4.3	5.2	3.8	0.22	0.23	0.14
Minister	0.19	0.03	4.9	8.9	3.3	0.18	0.25	0.16
Pastor	0.19	0.06	5.1	5.8	2.8	0.16	0.22	0.24
Deacon	0.18		4.1		3.4	0.15	0.21	0.22
Father	0.10	0.01	5.0	4.6	3.4	0.09	0.10	0.13
Rabbi	0.10	0.01	4.9	3.6	3.5	0.10	0.16	0.04
Monk	0.09	0.01	3.9	6.5	3.8	0.08	0.11	0.09
Reverend	0.09		4.5		3.8	0.05	0.19	0.09
Archbishop	0.08		5.2		4.7	0.09	0.07	0.05
Preacher	0.08	0.02	5.8	8.3	2.9	0.06	0.04	0.15
Altar boy(s)	0.07		5.7		3.6	0.08	0.07	0.04

25. A substance for flavoring food
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(685)		Overall	First		(367)	(149)	(169)
Salt	0.87	0.39	3.5	4.9	2.1	0.87	0.87	0.88
Pepper	0.85	0.09	3.0	5.5	2.8	0.86	0.79	0.87
Garlic	0.29	0.05	4.6	5.3	3.8	0.31	0.22	0.32
Sugar(s)	0.25	0.05	4.3	6.3	3.4	0.19	0.37	0.29
Oregano	0.19	0.01	5.0	7.5	4.3	0.20	0.19	0.16
Spice(s)	0.19	0.06	5.1	6.6	3.2	0.21	0.23	0.12
Cinnamon	0.17	0.02	5.6	6.9	4.0	0.16	0.19	0.18
Paprika	0.14	0.02	4.7	5.8	4.0	0.14	0.16	0.13
Ketchup	0.13	0.01	5.2	6.4	4.6	0.11	0.16	0.13
Butter	0.12	0.01	4.5	7.7	4.5	0.13	0.13	0.12
Basil	0.11	0.01	3.9	5.6	4.8	0.12	0.08	0.11
Vanilla	0.11	0.07	5.7	6.0	2.1	0.11	0.11	0.11
Mustard	0.10		3.3		5.2	0.09	0.09	0.13
Hot sauce	0.09		5.5		4.1	0.07	0.07	0.14
Onion(s)	0.08		4.7		4.8	0.08	0.09	0.07
Vinegar	0.08		3.6		4.4	0.08	0.06	0.12
Herbs	0.07	0.01	4.6	6.3	3.7	0.06	0.12	0.06
Lemon	0.07	0.01	4.4	8.8	4.3	0.06	0.07	0.10
Tabasco	0.07	0.01	4.7	5.4	3.9	0.11	0.02	0.01
Oil(s)	0.06		3.5		4.6	0.06	0.04	0.07
Soy sauce	0.06		5.3		4.9	0.06	0.07	0.05
Thyme	0.06		4.5		4.8	0.07	0.05	0.06
Curry	0.05	0.01	3.9	5.1	4.0	0.03	0.07	0.06
Nutmeg	0.05		4.7		4.1	0.04	0.05	0.05
Parsley	0.05		3.8		4.5	0.05	0.04	0.05

26. A fuel
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(637)		Overall	First		(323)	(148)	(166)
Gas(oline)	0.79	0.59	4.4	4.5	1.5	0.76	0.87	0.78
 Gasoline	0.47	0.34	4.8	4.9	1.6	0.33	0.43	0.78
 Gas	0.32	0.25	3.9	3.9	1.5	0.43	0.45	0.01
Diesel	0.38	0.13	5.2	5.2	2.4	0.39	0.30	0.42
Oil	0.33	0.05	4.2	5.0	2.9	0.30	0.39	0.33
Unleaded	0.21	0.05	4.8	6.4	2.4	0.24	0.12	0.24
Coal	0.20	0.01	3.9	6.1	3.4	0.24	0.20	0.13
Solar/sun	0.14		5.7		4.0	0.14	0.12	0.14
 Solar	0.05		4.9		4.0	0.05	0.05	0.05
 Sun light/rays	0.04		6.9		4.0	0.02	0.03	0.06
 Solar energy	0.01		6.8		4.0	0.02	0.01	0.02
 Solar power	0.02		5.5		4.0	0.02	0.02	0.01
 Sun	0.02		4.8		4.2	0.03	0.01	0.00
Petrol(eum)	0.13	0.03	6.2	6.7	2.6	0.11	0.14	0.15
 Petroleum	0.11	0.03	6.7	6.8	2.6	0.09	0.12	0.15
 Petrol	0.02		3.4		2.5	0.02	0.02	0.00
Food	0.12		4.5		3.7	0.13	0.13	0.10
Natural (gas)	0.12	0.01	6.0	6.2	3.3	0.15	0.16	0.02
 Natural gas	0.11	0.01	6.1	6.2	3.3	0.14	0.14	0.02
 Natural	0.01		5.5		4.0	0.01	0.02	0.00
Electricity	0.11		6.1		3.8	0.13	0.11	0.05
 Electricity	0.08		5.9		4.1	0.10	0.07	0.04
 Electric	0.03		6.6		3.1	0.03	0.03	0.02
 Electrical	0.00		5.7		2.3	0.00	0.01	0.00
Kerosene	0.11	0.01	6.2	5.9	3.2	0.05	0.09	0.23
Propane	0.10	0.02	4.9	4.5	2.9	0.13	0.05	0.06
Water	0.10		4.6		4.1	0.09	0.11	0.10
Premium	0.09	0.01	5.1	8.6	3.2	0.08	0.05	0.14
Regular	0.08	0.01	4.8	7.0	3.1	0.05	0.07	0.14
Fossil	0.07	0.01	5.2	5.1	2.8	0.09	0.07	0.05
Leaded	0.07	0.01	3.0	5.9	3.2	0.08	0.06	0.07
Wood	0.07		4.3		4.0	0.07	0.09	0.04
Hydrogen	0.05		5.0		3.2	0.06	0.04	0.03

27. An occupation or profession
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(638)		Overall	First		(325)	(149)	(164)
Doctor	0.72	0.33	3.7	4.6	2.1	0.69	0.80	0.69
Teacher	0.66	0.22	3.6	4.4	2.9	0.64	0.65	0.71
Lawyer	0.54	0.10	3.4	5.2	2.8	0.54	0.62	0.49
Nurse	0.25	0.04	3.1	4.3	3.2	0.21	0.20	0.38
Fireman/fighter	0.14	0.01	3.5	5.4	4.2	0.14	0.13	0.12
 Fireman	0.07		2.9		4.5	0.11	0.00	0.07
 Firefighter	0.06	0.01	4.1	6.1	4.0	0.04	0.13	0.05
Professor	0.14	0.01	4.2	6.3	4.2	0.13	0.13	0.18
Accountant	0.13	0.01	4.3	6.3	4.5	0.15	0.13	0.09
Psychologist	0.13	0.02	5.7	6.1	3.9	0.14	0.17	0.08
Dentist	0.12	0.01	3.4	4.2	3.7	0.12	0.10	0.12
Engineer	0.10	0.02	4.6	5.9	4.0	0.13	0.11	0.04
Secretary	0.10	0.01	4.9	6.4	4.2	0.11	0.07	0.12
Manager	0.09		4.2		5.0	0.09	0.07	0.11
Cook	0.07		3.3		4.5	0.12	0.02	0.04
Policeman	0.06		3.3		4.8	0.06	0.06	0.04
Athlete(s)	0.05		4.3		4.5	0.07	0.05	0.02
Banker	0.05		3.9		4.5	0.06	0.02	0.05
Business man/woman	0.05	0.01	6.0	7.9	3.8	0.05	0.07	0.03
Carpenter	0.05	0.01	4.5	6.2	4.2	0.04	0.05	0.06
Janitor	0.05		3.8		5.5	0.04	0.08	0.04
Physical therapist	0.05	0.01	7.2	8.4	3.6	0.03	0.07	0.04
Police officer	0.05		4.4		4.5	0.04	0.09	0.04
Scientist	0.05		3.6		4.6	0.04	0.08	0.02
Student	0.05	0.02	4.0	4.5	3.5	0.06	0.04	0.05

28. A natural earth formation
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(641)		Overall	First		(328)	(147)	(166)
Mountain(s) (range)	0.83	0.47	5.1	5.6	1.8	0.87	0.80	0.78
 Mountain(s)	0.83	0.47	5.1	5.6	1.8	0.87	0.80	0.77
 Mountain range	0.00		6.2		5.3	0.00	0.00	0.01
River(s)	0.39	0.01	2.9	7.1	3.7	0.40	0.39	0.37
Ocean(s)	0.35	0.01	3.5	8.2	4.1	0.36	0.35	0.34
Volcano(es)	0.35	0.12	5.4	6.5	2.9	0.39	0.39	0.23
Lake(s)	0.34		2.6		3.9	0.37	0.27	0.36
Valley(s)	0.30	0.01	3.7	5.0	4.0	0.30	0.29	0.30
Hill(s)	0.26	0.02	3.8	5.8	3.8	0.20	0.32	0.33
Rock(s)	0.23	0.12	4.6	5.4	2.4	0.23	0.22	0.23
Canyon(s)	0.20	0.02	4.6	6.6	4.1	0.24	0.23	0.10
Plateau(s)	0.15		6.0		4.5	0.14	0.16	0.14
Tree(s)	0.11	0.02	4.6	8.2	3.6	0.10	0.08	0.16
Plain(s)	0.09		4.6		4.8	0.10	0.07	0.08
Cave(s)	0.08	0.01	4.8	6.3	4.2	0.08	0.10	0.06
Glacier(s)	0.08	0.01	5.0	7.5	3.7	0.09	0.09	0.04
Grand Canyon	0.08	0.02	7.2	8.4	3.0	0.07	0.07	0.09
Island(s)	0.08		4.9		4.5	0.08	0.10	0.08
Stream(s)	0.08		2.9		4.6	0.08	0.09	0.07
Cliff(s)	0.07	0.01	4.1	6.6	4.0	0.08	0.10	0.04
Desert(s)	0.06		4.2		5.6	0.07	0.06	0.05
Beach(es)	0.05		4.3		5.5	0.05	0.06	0.05
Dirt	0.05	0.01	4.2	7.4	3.9	0.03	0.03	0.11
Grass	0.05		4.0		4.5	0.05	0.03	0.09
Waterfall(s)	0.05		4.8		4.7	0.03	0.08	0.05

29. A sport
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(632)		Overall	First		(316)	(148)	(168)
Football	0.87	0.26	3.3	4.3	2.7	0.84	0.87	0.91
Basketball	0.75	0.15	3.7	4.6	3.1	0.68	0.80	0.83
Soccer	0.75	0.20	2.8	3.5	3.2	0.75	0.68	0.82
Baseball	0.73	0.12	3.3	4.3	3.4	0.69	0.74	0.82
Tennis	0.54	0.04	2.8	3.2	4.9	0.50	0.53	0.64
Hockey	0.45	0.06	3.0	4.8	4.3	0.46	0.45	0.42
Swimming	0.34	0.01	3.3	3.7	5.8	0.33	0.34	0.36
Golf	0.29	0.03	2.8	4.9	5.4	0.29	0.24	0.35
Volleyball	0.29	0.03	4.0	4.4	5.1	0.29	0.22	0.35
Lacrosse	0.28	0.01	3.5	3.5	5.3	0.31	0.39	0.13
Track	0.21		3.4		6.5	0.19	0.22	0.24
Rugby	0.19		3.6		6.0	0.18	0.16	0.23
Softball	0.15	0.01	3.2	3.4	5.3	0.13	0.13	0.21
Field hockey	0.12	0.01	4.6	5.4	5.8	0.08	0.27	0.04
Skiing	0.11		2.8		6.1	0.16	0.09	0.05
Cheerleading	0.09		3.9		5.8	0.05	0.10	0.14
Running	0.09		3.4		6.1	0.11	0.10	0.06
Gymnastics	0.08	0.01	4.3	4.3	5.6	0.08	0.08	0.08
Polo	0.07		3.1		6.8	0.05	0.07	0.10
Racquetball	0.07		4.7		5.9	0.08	0.07	0.05
Wrestling	0.07		3.4		6.0	0.05	0.09	0.10
Bowling	0.06		3.4		7.1	0.06	0.05	0.07
Cross country	0.06		4.3		6.1	0.06	0.03	0.08
Badminton	0.05		3.5		7.1	0.04	0.07	0.04
Cricket	0.05		3.4		6.1	0.04	0.07	0.04
Water polo	0.05		4.2		6.2	0.06	0.05	0.02

30. A weather phenomenon
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(697)		Overall	First		(370)	(150)	(177)
Tornado(es)	0.85	0.32	4.4	5.4	2.5	0.86	0.84	0.85
Hurricane(s)	0.83	0.25	4.1	5.4	2.7	0.85	0.79	0.84
Rain	0.42	0.17	3.2	3.9	2.8	0.41	0.52	0.34
Snow	0.37	0.02	2.7	5.1	4.0	0.35	0.41	0.36
Hail	0.24		3.1		5.0	0.21	0.31	0.23
Flood	0.21	0.01	4.2	5.6	4.3	0.21	0.20	0.23
Lightning	0.21	0.03	5.1	5.8	4.0	0.22	0.22	0.16
Blizzard(s)	0.18	0.01	5.2	6.7	4.2	0.16	0.25	0.16
Earthquake	0.18	0.02	5.9	6.2	3.7	0.19	0.13	0.19
Sleet	0.18		2.7		5.0	0.15	0.26	0.16
Monsoon(s)	0.14	0.01	4.6	6.0	4.1	0.13	0.14	0.18
Thunder	0.14	0.01	3.5	4.7	4.3	0.15	0.15	0.12
Wind/windy	0.14	0.01	3.6	3.9	4.8	0.19	0.13	0.06
 Wind	0.12	0.01	3.5	3.9	4.6	0.18	0.12	0.00
 Windy	0.02		4.2		5.9	0.01	0.01	0.06
Tsunami	0.13	0.01	5.5	6.5	4.3	0.16	0.12	0.10
Storm(s)	0.12	0.04	4.5	4.6	2.8	0.11	0.14	0.12
Thunderstorm(s)	0.11	0.01	6.3	4.9	3.8	0.09	0.14	0.12
Typhoon(s)	0.11	0.02	5.4	6.1	3.6	0.11	0.07	0.16
Drought(s)	0.10		4.3		5.5	0.12	0.09	0.06
Cloud(y)	0.08	0.01	4.2	4.7	4.2	0.09	0.09	0.05
 Cloud(s)	0.06	0.01	4.0	4.6	4.2	0.08	0.07	0.03
 Cloudy	0.02		4.6		4.3	0.01	0.03	0.02
Sunshine/sun/sunny	0.08		3.6		5.0	0.08	0.09	0.07
 Sunshine	0.04		4.4		5.5	0.02	0.04	0.06
 Sun	0.02		2.2		4.2	0.04	0.02	0.00
 Sunny	0.02		3.6		5.0	0.02	0.03	0.01
El Nino	0.07	0.02	4.3	5.6	3.6	0.07	0.08	0.07
Tidal wave(s)	0.05		6.0		3.8	0.05	0.05	0.06

31. An article of clothing
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(650)		Overall	First		(346)	(149)	(155)
Shirt(s)	0.90	0.58	3.3	3.7	1.8	0.89	0.89	0.94
Pants	0.85	0.08	2.5	4.3	3.0	0.84	0.83	0.89
Sock(s)	0.76	0.01	2.7	5.1	5.1	0.77	0.75	0.73
Underwear	0.57		4.1		5.7	0.55	0.59	0.59
Shoe(s)	0.53	0.03	2.4	3.4	4.8	0.56	0.50	0.49
Hat	0.44	0.08	2.5	3.1	5.2	0.49	0.41	0.35
Short(s)	0.34	0.02	2.7	4.5	4.8	0.38	0.30	0.29
Jacket	0.33	0.03	3.5	4.1	5.7	0.34	0.36	0.31
Sweater(s)	0.33	0.03	3.7	5.2	5.3	0.34	0.34	0.30
Bra	0.31		2.3		6.2	0.29	0.31	0.35
Skirt(s)	0.30	0.01	2.5	4.0	5.1	0.29	0.36	0.28
Jeans	0.20	0.02	2.7	4.2	3.7	0.20	0.21	0.17
Coat(s)	0.19	0.01	3.0	4.1	6.1	0.16	0.20	0.23
Dress	0.19	0.01	2.5	3.6	5.9	0.20	0.19	0.16
T shirt(s)	0.18	0.02	4.4	6.3	5.3	0.17	0.22	0.15
Gloves	0.17		3.6		7.3	0.17	0.15	0.17
Sweatshirt	0.17	0.01	4.4	4.5	6.2	0.18	0.23	0.08
Boxer(s) (shorts)	0.14		3.4		6.0	0.14	0.11	0.16
 Boxers	0.12		3.4		6.0	0.14	0.01	0.16
 Boxer shorts	0.02		3.4		6.1	0.00	0.10	0.00
Scarf	0.14		3.5		6.6	0.10	0.16	0.21
Tank top(s)	0.14		3.8		6.3	0.14	0.13	0.14
Blouse	0.12		3.6		6.2	0.13	0.13	0.08
Tie(s)	0.12		2.0		6.6	0.12	0.12	0.14
Belt(s)	0.10		3.4		6.3	0.11	0.09	0.07
Panties	0.05		3.0		5.8	0.02	0.06	0.10
Undershirt	0.05		4.1		7.2	0.05	0.08	0.05

32. A part of a building
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(673)		Overall	First		(357)	(150)	(166)
Window(s)	0.60	0.13	3.5	4.5	3.4	0.60	0.59	0.63
Door(s)	0.59	0.19	3.2	3.9	3.0	0.58	0.53	0.65
Floor(s)	0.44	0.06	3.8	6.1	3.9	0.47	0.38	0.44
Wall(s)	0.42	0.05	3.3	4.7	3.7	0.44	0.39	0.42
Roof	0.40	0.11	3.7	4.6	3.6	0.42	0.44	0.33
Stairs/steps	0.39	0.05	3.9	4.9	4.0	0.38	0.37	0.45
 Stairs	0.32	0.04	3.8	4.8	4.1	0.31	0.26	0.39
 Steps	0.03		4.0		3.6	0.01	0.05	0.04
 Stairway	0.02		4.7		2.9	0.02	0.02	0.01
 Stairwell	0.02		4.1		4.6	0.03	0.02	0.01
 Staircase	0.01		4.5		4.0	0.01	0.01	0.01
Elevator(s)	0.35	0.02	4.0	6.5	4.1	0.36	0.30	0.36
Room(s)	0.31	0.04	3.7	5.7	4.2	0.27	0.38	0.34
Ceiling(s)	0.27	0.01	3.6	6.2	4.5	0.27	0.27	0.28
Basement/cellar	0.25	0.08	4.5	5.7	3.3	0.27	0.29	0.17
 Basement(s)	0.25	0.08	4.5	5.7	3.3	0.27	0.29	0.16
 Cellar	0.00		4.6		2.7	0.00	0.01	0.01
