clean,h1,h2,hypernym,answers,answers_idx,corrupted,c1,c2,corrupted_hypernym,corrupted_answers,corrupted_answers_idx
 goats and lions are two types of,goats,lions,animal,['animals'],[5074], weeks and hours are two types of,weeks,hours,time,"['time', 'units']","[673, 5085]"
 goats and bears are two types of,goats,bears,animal,['animals'],[5074], chiefs and soldiers are two types of,chiefs,soldiers,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"
 goats and tigers are two types of,goats,tigers,animal,['animals'],[5074], quarters and rupees are two types of,quarters,rupees,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]"
 goats and kine are two types of,goats,kine,animal,['animals'],[5074], daughters and second cousins are two types of,daughters,second cousins,relative,"['relatives', 'family']","[17772, 2021]"
 goats and elephants are two types of,goats,elephants,animal,['animals'],[5074], wind and clouds are two types of,wind,clouds,weather,"['weather', 'natural']","[8588, 3626]"
 goats and deer are two types of,goats,deer,animal,['animals'],[5074], onions and carrots are two types of,onions,carrots,vegetable,"['vegetables', 'vegetable']","[15737, 21436]"
 goats and mice are two types of,goats,mice,animal,['animals'],[5074], battery and homicide are two types of,battery,homicide,crime,"['crimes', 'crime']","[12137, 6617]"
 goats and pigs are two types of,goats,pigs,animal,['animals'],[5074], soccer and cricket are two types of,soccer,cricket,sport,['sports'],[9001]
 goats and rats are two types of,goats,rats,animal,['animals'],[5074], swords and bombs are two types of,swords,bombs,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"
 goats and giraffes are two types of,goats,giraffes,animal,['animals'],[5074], peas and zucchini are two types of,peas,zucchini,vegetable,"['vegetables', 'vegetable']","[15737, 21436]"
 goats and squirrels are two types of,goats,squirrels,animal,['animals'],[5074], guitars and bass guitars are two types of,guitars,bass guitars,instrument,"['musical', 'instruments']","[12256, 13225]"
 goats and rabbits are two types of,goats,rabbits,animal,['animals'],[5074], apples and grapes are two types of,apples,grapes,fruit,"['fruits', 'fruit']","[18098, 9279]"
 goats and zebras are two types of,goats,zebras,animal,['animals'],[5074], speeding and drunk driving are two types of,speeding,drunk driving,crime,"['crimes', 'crime']","[12137, 6617]"
 goats and mooses are two types of,goats,mooses,animal,['animals'],[5074], screws and measuring sticks are two types of,screws,measuring sticks,tool,['tools'],[5657]
 goats and sheep are two types of,goats,sheep,animal,['animals'],[5074], trout and carp are two types of,trout,carp,fish,"['fish', 'fishes']","[6773, 49720]"
 goats and cheetahs are two types of,goats,cheetahs,animal,['animals'],[5074], caves and condominiums are two types of,caves,condominiums,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
 goats and raccoons are two types of,goats,raccoons,animal,['animals'],[5074], guitars and piccoloes are two types of,guitars,piccoloes,instrument,"['musical', 'instruments']","[12256, 13225]"
 goats and wolves are two types of,goats,wolves,animal,['animals'],[5074], swords and rifles are two types of,swords,rifles,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"
 goats and foxes are two types of,goats,foxes,animal,['animals'],[5074], palms and elms are two types of,palms,elms,tree,['trees'],[7139]
 goats and hamsters are two types of,goats,hamsters,animal,['animals'],[5074], meters and feets are two types of,meters,feets,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]"
 goats and donkeys are two types of,goats,donkeys,animal,['animals'],[5074], weeks and millenniums are two types of,weeks,millenniums,time,"['time', 'units']","[673, 5085]"
 goats and elk are two types of,goats,elk,animal,['animals'],[5074], opera and bluegrass are two types of,opera,bluegrass,music,['music'],[3440]
 goats and lizards are two types of,goats,lizards,animal,['animals'],[5074], floods and hurricanes are two types of,floods,hurricanes,weather,"['weather', 'natural']","[8588, 3626]"
 goats and turtles are two types of,goats,turtles,animal,['animals'],[5074], ducks and parrots are two types of,ducks,parrots,bird,"['birds', 'bird']","[11260, 12621]"
 zebras and dogs are two types of,zebras,dogs,animal,['animals'],[5074], grenades and blades are two types of,grenades,blades,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"
 zebras and cats are two types of,zebras,cats,animal,['animals'],[5074], measuring sticks and nails are two types of,measuring sticks,nails,tool,['tools'],[5657]
 zebras and horses are two types of,zebras,horses,animal,['animals'],[5074], congresswomen and governors are two types of,congresswomen,governors,politician,"['elected', 'politicians']","[10544, 13557]"
 zebras and lions are two types of,zebras,lions,animal,['animals'],[5074], pearls and diamonds are two types of,pearls,diamonds,gem,"['gem', 'gems']","[16915, 42776]"
 zebras and bears are two types of,zebras,bears,animal,['animals'],[5074], francs and dollars are two types of,francs,dollars,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]"
 zebras and tigers are two types of,zebras,tigers,animal,['animals'],[5074], wasps and centipedes are two types of,wasps,centipedes,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
 zebras and kine are two types of,zebras,kine,animal,['animals'],[5074], nickels and pesoes are two types of,nickels,pesoes,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]"
 zebras and elephants are two types of,zebras,elephants,animal,['animals'],[5074], pesoes and dollars are two types of,pesoes,dollars,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]"
 zebras and deer are two types of,zebras,deer,animal,['animals'],[5074], nieces and fathers are two types of,nieces,fathers,relative,"['relatives', 'family']","[17772, 2021]"
 zebras and mice are two types of,zebras,mice,animal,['animals'],[5074], millenniums and days are two types of,millenniums,days,time,"['time', 'units']","[673, 5085]"
 zebras and pigs are two types of,zebras,pigs,animal,['animals'],[5074], lilies and roses are two types of,lilies,roses,flower,"['flowers', 'flowering']","[12405, 37958]"
 zebras and rats are two types of,zebras,rats,animal,['animals'],[5074], sweaters and shorts are two types of,sweaters,shorts,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]"
 zebras and giraffes are two types of,zebras,giraffes,animal,['animals'],[5074], pansies and dandelions are two types of,pansies,dandelions,flower,"['flowers', 'flowering']","[12405, 37958]"
 zebras and squirrels are two types of,zebras,squirrels,animal,['animals'],[5074], mangoes and cherries are two types of,mangoes,cherries,fruit,"['fruits', 'fruit']","[18098, 9279]"
 zebras and rabbits are two types of,zebras,rabbits,animal,['animals'],[5074], corporals and commanders are two types of,corporals,commanders,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"
 zebras and goats are two types of,zebras,goats,animal,['animals'],[5074], vice presidents and senators are two types of,vice presidents,senators,politician,"['elected', 'politicians']","[10544, 13557]"
 zebras and mooses are two types of,zebras,mooses,animal,['animals'],[5074], marlin and minnow are two types of,marlin,minnow,fish,"['fish', 'fishes']","[6773, 49720]"
 zebras and sheep are two types of,zebras,sheep,animal,['animals'],[5074], broccoli and lettuce are two types of,broccoli,lettuce,vegetable,"['vegetables', 'vegetable']","[15737, 21436]"
 zebras and cheetahs are two types of,zebras,cheetahs,animal,['animals'],[5074], cabins and condominiums are two types of,cabins,condominiums,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
 zebras and raccoons are two types of,zebras,raccoons,animal,['animals'],[5074], oboes and clarinets are two types of,oboes,clarinets,instrument,"['musical', 'instruments']","[12256, 13225]"
 zebras and wolves are two types of,zebras,wolves,animal,['animals'],[5074], cross country and track are two types of,cross country,track,sport,['sports'],[9001]
 zebras and foxes are two types of,zebras,foxes,animal,['animals'],[5074], pines and maples are two types of,pines,maples,tree,['trees'],[7139]
 zebras and hamsters are two types of,zebras,hamsters,animal,['animals'],[5074], melons and limes are two types of,melons,limes,fruit,"['fruits', 'fruit']","[18098, 9279]"
 zebras and donkeys are two types of,zebras,donkeys,animal,['animals'],[5074], light years and millimeters are two types of,light years,millimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]"
 zebras and elk are two types of,zebras,elk,animal,['animals'],[5074], sweatshirts and blice are two types of,sweatshirts,blice,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]"
 zebras and lizards are two types of,zebras,lizards,animal,['animals'],[5074], hurricanes and tidal waves are two types of,hurricanes,tidal waves,weather,"['weather', 'natural']","[8588, 3626]"
 zebras and turtles are two types of,zebras,turtles,animal,['animals'],[5074], melons and pears are two types of,melons,pears,fruit,"['fruits', 'fruit']","[18098, 9279]"
 mooses and dogs are two types of,mooses,dogs,animal,['animals'],[5074], handguns and rifles are two types of,handguns,rifles,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"
 mooses and cats are two types of,mooses,cats,animal,['animals'],[5074], garnets and diamonds are two types of,garnets,diamonds,gem,"['gem', 'gems']","[16915, 42776]"
 mooses and horses are two types of,mooses,horses,animal,['animals'],[5074], green beans and carrots are two types of,green beans,carrots,vegetable,"['vegetables', 'vegetable']","[15737, 21436]"
 mooses and lions are two types of,mooses,lions,animal,['animals'],[5074], subways and planes are two types of,subways,planes,vehicle,"['vehicles', 'transportation', 'transport']","[9411, 13120, 4616]"
 mooses and bears are two types of,mooses,bears,animal,['animals'],[5074], vice presidents and presidents are two types of,vice presidents,presidents,politician,"['elected', 'politicians']","[10544, 13557]"
 mooses and tigers are two types of,mooses,tigers,animal,['animals'],[5074], broccoli and cauliflower are two types of,broccoli,cauliflower,vegetable,"['vegetables', 'vegetable']","[15737, 21436]"
 mooses and kine are two types of,mooses,kine,animal,['animals'],[5074], bookcases and stools are two types of,bookcases,stools,furniture,['furniture'],[17076]
 mooses and elephants are two types of,mooses,elephants,animal,['animals'],[5074], garnets and diamonds are two types of,garnets,diamonds,gem,"['gem', 'gems']","[16915, 42776]"
 mooses and deer are two types of,mooses,deer,animal,['animals'],[5074], cadets and chiefs are two types of,cadets,chiefs,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"
 mooses and mice are two types of,mooses,mice,animal,['animals'],[5074], physical therapists and bankers are two types of,physical therapists,bankers,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]"
 mooses and pigs are two types of,mooses,pigs,animal,['animals'],[5074], bicycles and trucks are two types of,bicycles,trucks,vehicle,"['vehicles', 'transportation', 'transport']","[9411, 13120, 4616]"
 mooses and rats are two types of,mooses,rats,animal,['animals'],[5074], garnets and diamonds are two types of,garnets,diamonds,gem,"['gem', 'gems']","[16915, 42776]"
 mooses and giraffes are two types of,mooses,giraffes,animal,['animals'],[5074], bookcases and armoires are two types of,bookcases,armoires,furniture,['furniture'],[17076]
 mooses and squirrels are two types of,mooses,squirrels,animal,['animals'],[5074], measuring sticks and hammers are two types of,measuring sticks,hammers,tool,['tools'],[5657]
 mooses and rabbits are two types of,mooses,rabbits,animal,['animals'],[5074], jades and diamonds are two types of,jades,diamonds,gem,"['gem', 'gems']","[16915, 42776]"
 mooses and goats are two types of,mooses,goats,animal,['animals'],[5074], nieces and brethren are two types of,nieces,brethren,relative,"['relatives', 'family']","[17772, 2021]"
 mooses and zebras are two types of,mooses,zebras,animal,['animals'],[5074], violins and oboes are two types of,violins,oboes,instrument,"['musical', 'instruments']","[12256, 13225]"
 mooses and sheep are two types of,mooses,sheep,animal,['animals'],[5074], radishes and lettuce are two types of,radishes,lettuce,vegetable,"['vegetables', 'vegetable']","[15737, 21436]"
 mooses and cheetahs are two types of,mooses,cheetahs,animal,['animals'],[5074], jackets and boxer shortss are two types of,jackets,boxer shortss,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]"
 mooses and raccoons are two types of,mooses,raccoons,animal,['animals'],[5074], millenniums and nanoseconds are two types of,millenniums,nanoseconds,time,"['time', 'units']","[673, 5085]"
 mooses and wolves are two types of,mooses,wolves,animal,['animals'],[5074], arson and burglary are two types of,arson,burglary,crime,"['crimes', 'crime']","[12137, 6617]"
 mooses and foxes are two types of,mooses,foxes,animal,['animals'],[5074], opals and quartzs are two types of,opals,quartzs,gem,"['gem', 'gems']","[16915, 42776]"
 mooses and hamsters are two types of,mooses,hamsters,animal,['animals'],[5074], moths and beetles are two types of,moths,beetles,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
 mooses and donkeys are two types of,mooses,donkeys,animal,['animals'],[5074], reggae and new age are two types of,reggae,new age,music,['music'],[3440]
 mooses and elk are two types of,mooses,elk,animal,['animals'],[5074], mayors and congressmen are two types of,mayors,congressmen,politician,"['elected', 'politicians']","[10544, 13557]"
 mooses and lizards are two types of,mooses,lizards,animal,['animals'],[5074], moths and dragonflies are two types of,moths,dragonflies,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
 mooses and turtles are two types of,mooses,turtles,animal,['animals'],[5074], cabs and SUVs are two types of,cabs,SUVs,vehicle,"['vehicles', 'transportation', 'transport']","[9411, 13120, 4616]"
 sheep and dogs are two types of,sheep,dogs,animal,['animals'],[5074], clouds and thunder are two types of,clouds,thunder,weather,"['weather', 'natural']","[8588, 3626]"
 sheep and cats are two types of,sheep,cats,animal,['animals'],[5074], ducks and chickens are two types of,ducks,chickens,bird,"['birds', 'bird']","[11260, 12621]"
 sheep and horses are two types of,sheep,horses,animal,['animals'],[5074], assault and robbery are two types of,assault,robbery,crime,"['crimes', 'crime']","[12137, 6617]"
 sheep and lions are two types of,sheep,lions,animal,['animals'],[5074], alternative and metal are two types of,alternative,metal,music,['music'],[3440]
 sheep and bears are two types of,sheep,bears,animal,['animals'],[5074], opera and punk are two types of,opera,punk,music,['music'],[3440]
 sheep and tigers are two types of,sheep,tigers,animal,['animals'],[5074], trout and guppy are two types of,trout,guppy,fish,"['fish', 'fishes']","[6773, 49720]"
 sheep and kine are two types of,sheep,kine,animal,['animals'],[5074], soldiers and privates are two types of,soldiers,privates,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"
 sheep and elephants are two types of,sheep,elephants,animal,['animals'],[5074], pumps and heels are two types of,pumps,heels,footwear,['footwear'],[3174]
 sheep and deer are two types of,sheep,deer,animal,['animals'],[5074], majors and soldiers are two types of,majors,soldiers,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"
 sheep and mice are two types of,sheep,mice,animal,['animals'],[5074], blues and ska are two types of,blues,ska,music,['music'],[3440]
 sheep and pigs are two types of,sheep,pigs,animal,['animals'],[5074], hail and thunder are two types of,hail,thunder,weather,"['weather', 'natural']","[8588, 3626]"
 sheep and rats are two types of,sheep,rats,animal,['animals'],[5074], lawyers and firefighters are two types of,lawyers,firefighters,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]"
 sheep and giraffes are two types of,sheep,giraffes,animal,['animals'],[5074], mosquitoes and praying mantis are two types of,mosquitoes,praying mantis,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
 sheep and squirrels are two types of,sheep,squirrels,animal,['animals'],[5074], mosquitoes and hornets are two types of,mosquitoes,hornets,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
 sheep and rabbits are two types of,sheep,rabbits,animal,['animals'],[5074], salmon and cod are two types of,salmon,cod,fish,"['fish', 'fishes']","[6773, 49720]"
 sheep and goats are two types of,sheep,goats,animal,['animals'],[5074], guns and axes are two types of,guns,axes,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"
 sheep and zebras are two types of,sheep,zebras,animal,['animals'],[5074], flies and gnats are two types of,flies,gnats,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
 sheep and mooses are two types of,sheep,mooses,animal,['animals'],[5074], hotels and cabins are two types of,hotels,cabins,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
 sheep and cheetahs are two types of,sheep,cheetahs,animal,['animals'],[5074], hotels and condominiums are two types of,hotels,condominiums,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
 sheep and raccoons are two types of,sheep,raccoons,animal,['animals'],[5074], snow and tsunamis are two types of,snow,tsunamis,weather,"['weather', 'natural']","[8588, 3626]"
 sheep and wolves are two types of,sheep,wolves,animal,['animals'],[5074], senators and representatives are two types of,senators,representatives,politician,"['elected', 'politicians']","[10544, 13557]"
 sheep and foxes are two types of,sheep,foxes,animal,['animals'],[5074], roses and irides are two types of,roses,irides,flower,"['flowers', 'flowering']","[12405, 37958]"
 sheep and hamsters are two types of,sheep,hamsters,animal,['animals'],[5074], keyboards and basses are two types of,keyboards,basses,instrument,"['musical', 'instruments']","[12256, 13225]"
 sheep and donkeys are two types of,sheep,donkeys,animal,['animals'],[5074], dance and techno are two types of,dance,techno,music,['music'],[3440]
 sheep and elk are two types of,sheep,elk,animal,['animals'],[5074], bankers and janitors are two types of,bankers,janitors,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]"
 sheep and lizards are two types of,sheep,lizards,animal,['animals'],[5074], swords and maces are two types of,swords,maces,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"
 sheep and turtles are two types of,sheep,turtles,animal,['animals'],[5074], diamonds and rubies are two types of,diamonds,rubies,gem,"['gem', 'gems']","[16915, 42776]"
 cheetahs and dogs are two types of,cheetahs,dogs,animal,['animals'],[5074], boxer shortss and hats are two types of,boxer shortss,hats,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]"
 cheetahs and cats are two types of,cheetahs,cats,animal,['animals'],[5074], moccasins and boots are two types of,moccasins,boots,footwear,['footwear'],[3174]
 cheetahs and horses are two types of,cheetahs,horses,animal,['animals'],[5074], nectarines and grapes are two types of,nectarines,grapes,fruit,"['fruits', 'fruit']","[18098, 9279]"
 cheetahs and lions are two types of,cheetahs,lions,animal,['animals'],[5074], caterpillars and spiders are two types of,caterpillars,spiders,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
 cheetahs and bears are two types of,cheetahs,bears,animal,['animals'],[5074], amethysts and diamonds are two types of,amethysts,diamonds,gem,"['gem', 'gems']","[16915, 42776]"
 cheetahs and tigers are two types of,cheetahs,tigers,animal,['animals'],[5074], moccasins and flip flops are two types of,moccasins,flip flops,footwear,['footwear'],[3174]
 cheetahs and kine are two types of,cheetahs,kine,animal,['animals'],[5074], sapphires and garnets are two types of,sapphires,garnets,gem,"['gem', 'gems']","[16915, 42776]"
 cheetahs and elephants are two types of,cheetahs,elephants,animal,['animals'],[5074], woodpeckers and chickens are two types of,woodpeckers,chickens,bird,"['birds', 'bird']","[11260, 12621]"
 cheetahs and deer are two types of,cheetahs,deer,animal,['animals'],[5074], secretaries of state and representatives are two types of,secretaries of state,representatives,politician,"['elected', 'politicians']","[10544, 13557]"
 cheetahs and mice are two types of,cheetahs,mice,animal,['animals'],[5074], boxer shortss and coats are two types of,boxer shortss,coats,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]"
 cheetahs and pigs are two types of,cheetahs,pigs,animal,['animals'],[5074], condominiums and apartments are two types of,condominiums,apartments,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
 cheetahs and rats are two types of,cheetahs,rats,animal,['animals'],[5074], bazookas and clubs are two types of,bazookas,clubs,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"
 cheetahs and giraffes are two types of,cheetahs,giraffes,animal,['animals'],[5074], mahi mahi and piranha are two types of,mahi mahi,piranha,fish,"['fish', 'fishes']","[6773, 49720]"
 cheetahs and squirrels are two types of,cheetahs,squirrels,animal,['animals'],[5074], daffodils and lilies are two types of,daffodils,lilies,flower,"['flowers', 'flowering']","[12405, 37958]"
 cheetahs and rabbits are two types of,cheetahs,rabbits,animal,['animals'],[5074], condominiums and tents are two types of,condominiums,tents,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
 cheetahs and goats are two types of,cheetahs,goats,animal,['animals'],[5074], mahi mahi and bass are two types of,mahi mahi,bass,fish,"['fish', 'fishes']","[6773, 49720]"
 cheetahs and zebras are two types of,cheetahs,zebras,animal,['animals'],[5074], mahi mahi and herring are two types of,mahi mahi,herring,fish,"['fish', 'fishes']","[6773, 49720]"
 cheetahs and mooses are two types of,cheetahs,mooses,animal,['animals'],[5074], caterpillars and wasps are two types of,caterpillars,wasps,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
 cheetahs and sheep are two types of,cheetahs,sheep,animal,['animals'],[5074], mahi mahi and carp are two types of,mahi mahi,carp,fish,"['fish', 'fishes']","[6773, 49720]"
 cheetahs and raccoons are two types of,cheetahs,raccoons,animal,['animals'],[5074], condominiums and tepees are two types of,condominiums,tepees,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
 cheetahs and wolves are two types of,cheetahs,wolves,animal,['animals'],[5074], secretaries of state and representatives are two types of,secretaries of state,representatives,politician,"['elected', 'politicians']","[10544, 13557]"
 cheetahs and foxes are two types of,cheetahs,foxes,animal,['animals'],[5074], condominiums and mansions are two types of,condominiums,mansions,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
 cheetahs and hamsters are two types of,cheetahs,hamsters,animal,['animals'],[5074], condominiums and mansions are two types of,condominiums,mansions,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
 cheetahs and donkeys are two types of,cheetahs,donkeys,animal,['animals'],[5074], mahi mahi and flounder are two types of,mahi mahi,flounder,fish,"['fish', 'fishes']","[6773, 49720]"
 cheetahs and elk are two types of,cheetahs,elk,animal,['animals'],[5074], boxer shortss and sweaters are two types of,boxer shortss,sweaters,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]"
 cheetahs and lizards are two types of,cheetahs,lizards,animal,['animals'],[5074], grapefruits and oranges are two types of,grapefruits,oranges,fruit,"['fruits', 'fruit']","[18098, 9279]"
 cheetahs and turtles are two types of,cheetahs,turtles,animal,['animals'],[5074], condominiums and cabins are two types of,condominiums,cabins,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
 raccoons and dogs are two types of,raccoons,dogs,animal,['animals'],[5074], igloos and caves are two types of,igloos,caves,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
 raccoons and cats are two types of,raccoons,cats,animal,['animals'],[5074], rock & roll and pop are two types of,rock & roll,pop,music,['music'],[3440]
 raccoons and horses are two types of,raccoons,horses,animal,['animals'],[5074], screwdrivers and screws are two types of,screwdrivers,screws,tool,['tools'],[5657]
 raccoons and lions are two types of,raccoons,lions,animal,['animals'],[5074], minivans and trucks are two types of,minivans,trucks,vehicle,"['vehicles', 'transportation', 'transport']","[9411, 13120, 4616]"
 raccoons and bears are two types of,raccoons,bears,animal,['animals'],[5074], cabbages and peas are two types of,cabbages,peas,vegetable,"['vegetables', 'vegetable']","[15737, 21436]"
 raccoons and tigers are two types of,raccoons,tigers,animal,['animals'],[5074], screwdrivers and wrenches are two types of,screwdrivers,wrenches,tool,['tools'],[5657]
 raccoons and kine are two types of,raccoons,kine,animal,['animals'],[5074], admirals and corporals are two types of,admirals,corporals,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"
 raccoons and elephants are two types of,raccoons,elephants,animal,['animals'],[5074], liras and cents are two types of,liras,cents,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]"
 raccoons and deer are two types of,raccoons,deer,animal,['animals'],[5074], R&B and folk are two types of,R&B,folk,music,['music'],[3440]
 raccoons and mice are two types of,raccoons,mice,animal,['animals'],[5074], rock & roll and ska are two types of,rock & roll,ska,music,['music'],[3440]
 raccoons and pigs are two types of,raccoons,pigs,animal,['animals'],[5074], R&B and country are two types of,R&B,country,music,['music'],[3440]
 raccoons and rats are two types of,raccoons,rats,animal,['animals'],[5074], badminton and swimming are two types of,badminton,swimming,sport,['sports'],[9001]
 raccoons and giraffes are two types of,raccoons,giraffes,animal,['animals'],[5074], great uncles and great grandmothers are two types of,great uncles,great grandmothers,relative,"['relatives', 'family']","[17772, 2021]"
 raccoons and squirrels are two types of,raccoons,squirrels,animal,['animals'],[5074], badminton and gymnastics are two types of,badminton,gymnastics,sport,['sports'],[9001]
 raccoons and rabbits are two types of,raccoons,rabbits,animal,['animals'],[5074], praying mantis and spiders are two types of,praying mantis,spiders,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
 raccoons and goats are two types of,raccoons,goats,animal,['animals'],[5074], lilacs and roses are two types of,lilacs,roses,flower,"['flowers', 'flowering']","[12405, 37958]"
 raccoons and zebras are two types of,raccoons,zebras,animal,['animals'],[5074], tangerines and strawberries are two types of,tangerines,strawberries,fruit,"['fruits', 'fruit']","[18098, 9279]"
 raccoons and mooses are two types of,raccoons,mooses,animal,['animals'],[5074], banjoes and oboes are two types of,banjoes,oboes,instrument,"['musical', 'instruments']","[12256, 13225]"
 raccoons and sheep are two types of,raccoons,sheep,animal,['animals'],[5074], brass knuckles and axes are two types of,brass knuckles,axes,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"
 raccoons and cheetahs are two types of,raccoons,cheetahs,animal,['animals'],[5074], brass knuckles and bazookas are two types of,brass knuckles,bazookas,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"
 raccoons and wolves are two types of,raccoons,wolves,animal,['animals'],[5074], South africa and Africa are two types of,South africa,Africa,country,"['countries', 'country']","[4343, 2586]"
 raccoons and foxes are two types of,raccoons,foxes,animal,['animals'],[5074], dinghies and paddleboats are two types of,dinghies,paddleboats,boat,"['boats', 'vessels', 'ships', 'boat']","[19750, 12671, 11811, 9735]"
 raccoons and hamsters are two types of,raccoons,hamsters,animal,['animals'],[5074], flamingoes and finches are two types of,flamingoes,finches,bird,"['birds', 'bird']","[11260, 12621]"
 raccoons and donkeys are two types of,raccoons,donkeys,animal,['animals'],[5074], dinghies and kayaks are two types of,dinghies,kayaks,boat,"['boats', 'vessels', 'ships', 'boat']","[19750, 12671, 11811, 9735]"
 raccoons and elk are two types of,raccoons,elk,animal,['animals'],[5074], nightstands and end tables are two types of,nightstands,end tables,furniture,['furniture'],[17076]
 raccoons and lizards are two types of,raccoons,lizards,animal,['animals'],[5074], apricots and cherries are two types of,apricots,cherries,fruit,"['fruits', 'fruit']","[18098, 9279]"
 raccoons and turtles are two types of,raccoons,turtles,animal,['animals'],[5074], emeralds and rubies are two types of,emeralds,rubies,gem,"['gem', 'gems']","[16915, 42776]"
 wolves and dogs are two types of,wolves,dogs,animal,['animals'],[5074], heels and boots are two types of,heels,boots,footwear,['footwear'],[3174]
 wolves and cats are two types of,wolves,cats,animal,['animals'],[5074], Greece and Japan are two types of,Greece,Japan,country,"['countries', 'country']","[4343, 2586]"
 wolves and horses are two types of,wolves,horses,animal,['animals'],[5074], cars and trains are two types of,cars,trains,vehicle,"['vehicles', 'transportation', 'transport']","[9411, 13120, 4616]"
 wolves and lions are two types of,wolves,lions,animal,['animals'],[5074], battery and rape are two types of,battery,rape,crime,"['crimes', 'crime']","[12137, 6617]"
 wolves and bears are two types of,wolves,bears,animal,['animals'],[5074], bees and mosquitoes are two types of,bees,mosquitoes,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
 wolves and tigers are two types of,wolves,tigers,animal,['animals'],[5074], quarters and rupees are two types of,quarters,rupees,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]"
 wolves and kine are two types of,wolves,kine,animal,['animals'],[5074], floods and tidal waves are two types of,floods,tidal waves,weather,"['weather', 'natural']","[8588, 3626]"
 wolves and elephants are two types of,wolves,elephants,animal,['animals'],[5074], Iraq and Peru are two types of,Iraq,Peru,country,"['countries', 'country']","[4343, 2586]"
 wolves and deer are two types of,wolves,deer,animal,['animals'],[5074], pop and jazz are two types of,pop,jazz,music,['music'],[3440]
 wolves and mice are two types of,wolves,mice,animal,['animals'],[5074], hockey and baseball are two types of,hockey,baseball,sport,['sports'],[9001]
 wolves and pigs are two types of,wolves,pigs,animal,['animals'],[5074], chairs and lamps are two types of,chairs,lamps,furniture,['furniture'],[17076]
 wolves and rats are two types of,wolves,rats,animal,['animals'],[5074], nurses and psychologists are two types of,nurses,psychologists,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]"
