clean,h1,hypernym,answers,answers_idx,corrupted,c1,corrupted_hypernym,corrupted_answers,corrupted_answers_idx,clean2,corrupted2
", clubs and other",clubs,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",", homicide and other",homicide,crime,"['crimes', 'crime']","[12137, 6617]",clubs are a type of,homicide is a type of
", nunchuckss and other",nunchuckss,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",", daffodils and other",daffodils,flower,"['flowers', 'flowering']","[12405, 37958]",nunchuckss are a type of,daffodils are a type of
", bazookas and other",bazookas,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",", moccasins and other",moccasins,footwear,['footwear'],[3174],bazookas are a type of,moccasins are a type of
", blades and other",blades,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",", yards and other",yards,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]",blades are a type of,yards are a type of
", spears and other",spears,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",", pesoes and other",pesoes,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]",spears are a type of,pesoes are a type of
", presidents and other",presidents,politician,"['elected', 'politicians']","[10544, 13557]",", axes and other",axes,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",presidents are a type of,axes are a type of
", senators and other",senators,politician,"['elected', 'politicians']","[10544, 13557]",", blades and other",blades,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",senators are a type of,blades are a type of
", vice presidents and other",vice presidents,politician,"['elected', 'politicians']","[10544, 13557]",", tubas and other",tubas,instrument,"['musical', 'instruments']","[12256, 13225]",vice presidents are a type of,tubas are a type of
", governors and other",governors,politician,"['elected', 'politicians']","[10544, 13557]",", drills and other",drills,tool,['tools'],[5657],governors are a type of,drills are a type of
", mayors and other",mayors,politician,"['elected', 'politicians']","[10544, 13557]",", end tables and other",end tables,furniture,['furniture'],[17076],mayors are a type of,end tables are a type of
", representatives and other",representatives,politician,"['elected', 'politicians']","[10544, 13557]",", cars and other",cars,vehicle,"['vehicles', 'transportation', 'transport']","[9411, 13120, 4616]",representatives are a type of,cars are a type of
", treasurers and other",treasurers,politician,"['elected', 'politicians']","[10544, 13557]",", jades and other",jades,gem,"['gem', 'gems']","[16915, 42776]",treasurers are a type of,jades are a type of
", congressmen and other",congressmen,politician,"['elected', 'politicians']","[10544, 13557]",", nickels and other",nickels,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]",congressmen are a type of,nickels are a type of
", congresswomen and other",congresswomen,politician,"['elected', 'politicians']","[10544, 13557]",", moths and other",moths,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]",congresswomen are a type of,moths are a type of
", secretaries of state and other",secretaries of state,politician,"['elected', 'politicians']","[10544, 13557]",", cheetahs and other",cheetahs,animal,['animals'],[5074],secretaries of state are a type of,cheetahs are a type of
", houses and other",houses,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",", boots and other",boots,footwear,['footwear'],[3174],houses are a type of,boots are a type of
", apartments and other",apartments,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",", rats and other",rats,animal,['animals'],[5074],apartments are a type of,rats are a type of
", mansions and other",mansions,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",", janitors and other",janitors,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",mansions are a type of,janitors are a type of
", condominiums and other",condominiums,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",", amethysts and other",amethysts,gem,"['gem', 'gems']","[16915, 42776]",condominiums are a type of,amethysts are a type of
", caves and other",caves,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",", spinach and other",spinach,vegetable,"['vegetables', 'vegetable']","[15737, 21436]",caves are a type of,spinach is a type of
", shacks and other",shacks,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",", sleet and other",sleet,weather,"['weather', 'natural']","[8588, 3626]",shacks are a type of,sleet is a type of
", huts and other",huts,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",", corporals and other",corporals,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]",huts are a type of,corporals are a type of
", tents and other",tents,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",", bees and other",bees,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]",tents are a type of,bees are a type of
", dormitories and other",dormitories,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",", jades and other",jades,gem,"['gem', 'gems']","[16915, 42776]",dormitories are a type of,jades are a type of
", townhouses and other",townhouses,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",", second cousins and other",second cousins,relative,"['relatives', 'family']","[17772, 2021]",townhouses are a type of,second cousins are a type of
", trailers and other",trailers,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",", spiders and other",spiders,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]",trailers are a type of,spiders are a type of
", tepees and other",tepees,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",", R&B and other",R&B,music,['music'],[3440],tepees are a type of,R&B is a type of
", cabins and other",cabins,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",", sleet and other",sleet,weather,"['weather', 'natural']","[8588, 3626]",cabins are a type of,sleet is a type of
", hotels and other",hotels,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",", grapes and other",grapes,fruit,"['fruits', 'fruit']","[18098, 9279]",hotels are a type of,grapes are a type of
", igloos and other",igloos,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",", lieutenants and other",lieutenants,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]",igloos are a type of,lieutenants are a type of
", America and other",America,country,"['countries', 'country']","[4343, 2586]",", drums and other",drums,instrument,"['musical', 'instruments']","[12256, 13225]",America is a type of,drums are a type of
", Canada and other",Canada,country,"['countries', 'country']","[4343, 2586]",", horns and other",horns,instrument,"['musical', 'instruments']","[12256, 13225]",Canada is a type of,horns are a type of
", France and other",France,country,"['countries', 'country']","[4343, 2586]",", lettuce and other",lettuce,vegetable,"['vegetables', 'vegetable']","[15737, 21436]",France is a type of,lettuce is a type of
", Mexico and other",Mexico,country,"['countries', 'country']","[4343, 2586]",", sheep and other",sheep,animal,['animals'],[5074],Mexico is a type of,sheep are a type of
", England and other",England,country,"['countries', 'country']","[4343, 2586]",", apples and other",apples,fruit,"['fruits', 'fruit']","[18098, 9279]",England is a type of,apples are a type of
", Germany and other",Germany,country,"['countries', 'country']","[4343, 2586]",", nails and other",nails,tool,['tools'],[5657],Germany is a type of,nails are a type of
", Spain and other",Spain,country,"['countries', 'country']","[4343, 2586]",", grapes and other",grapes,fruit,"['fruits', 'fruit']","[18098, 9279]",Spain is a type of,grapes are a type of
", Italy and other",Italy,country,"['countries', 'country']","[4343, 2586]",", pounds and other",pounds,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]",Italy is a type of,pounds are a type of
", China and other",China,country,"['countries', 'country']","[4343, 2586]",", running and other",running,sport,['sports'],[9001],China is a type of,running is a type of
", Japan and other",Japan,country,"['countries', 'country']","[4343, 2586]",", tents and other",tents,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",Japan is a type of,tents are a type of
", Russia and other",Russia,country,"['countries', 'country']","[4343, 2586]",", trains and other",trains,vehicle,"['vehicles', 'transportation', 'transport']","[9411, 13120, 4616]",Russia is a type of,trains are a type of
", Brazil and other",Brazil,country,"['countries', 'country']","[4343, 2586]",", pumps and other",pumps,footwear,['footwear'],[3174],Brazil is a type of,pumps are a type of
", Ireland and other",Ireland,country,"['countries', 'country']","[4343, 2586]",", commanders and other",commanders,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]",Ireland is a type of,commanders are a type of
", Australia and other",Australia,country,"['countries', 'country']","[4343, 2586]",", cousins and other",cousins,relative,"['relatives', 'family']","[17772, 2021]",Australia is a type of,cousins are a type of
", Iraq and other",Iraq,country,"['countries', 'country']","[4343, 2586]",", dollars and other",dollars,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]",Iraq is a type of,dollars are a type of
", Afghanistan and other",Afghanistan,country,"['countries', 'country']","[4343, 2586]",", drills and other",drills,tool,['tools'],[5657],Afghanistan is a type of,drills are a type of
", Argentina and other",Argentina,country,"['countries', 'country']","[4343, 2586]",", guns and other",guns,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",Argentina is a type of,guns are a type of
", India and other",India,country,"['countries', 'country']","[4343, 2586]",", psychologists and other",psychologists,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",India is a type of,psychologists are a type of
", Switzerland and other",Switzerland,country,"['countries', 'country']","[4343, 2586]",", burglary and other",burglary,crime,"['crimes', 'crime']","[12137, 6617]",Switzerland is a type of,burglary is a type of
", Sweden and other",Sweden,country,"['countries', 'country']","[4343, 2586]",", peas and other",peas,vegetable,"['vegetables', 'vegetable']","[15737, 21436]",Sweden is a type of,peas are a type of
", Africa and other",Africa,country,"['countries', 'country']","[4343, 2586]",", heels and other",heels,footwear,['footwear'],[3174],Africa is a type of,heels are a type of
", Chile and other",Chile,country,"['countries', 'country']","[4343, 2586]",", inches and other",inches,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]",Chile is a type of,inches are a type of
", Britain and other",Britain,country,"['countries', 'country']","[4343, 2586]",", apples and other",apples,fruit,"['fruits', 'fruit']","[18098, 9279]",Britain is a type of,apples are a type of
", Iran and other",Iran,country,"['countries', 'country']","[4343, 2586]",", apples and other",apples,fruit,"['fruits', 'fruit']","[18098, 9279]",Iran is a type of,apples are a type of
", Portugal and other",Portugal,country,"['countries', 'country']","[4343, 2586]",", apartments and other",apartments,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",Portugal is a type of,apartments are a type of
", Europe and other",Europe,country,"['countries', 'country']","[4343, 2586]",", apples and other",apples,fruit,"['fruits', 'fruit']","[18098, 9279]",Europe is a type of,apples are a type of
", Greece and other",Greece,country,"['countries', 'country']","[4343, 2586]",", celery and other",celery,vegetable,"['vegetables', 'vegetable']","[15737, 21436]",Greece is a type of,celery is a type of
", Scotland and other",Scotland,country,"['countries', 'country']","[4343, 2586]",", rain and other",rain,weather,"['weather', 'natural']","[8588, 3626]",Scotland is a type of,rain is a type of
", Egypt and other",Egypt,country,"['countries', 'country']","[4343, 2586]",", representatives and other",representatives,politician,"['elected', 'politicians']","[10544, 13557]",Egypt is a type of,representatives are a type of
", Israel and other",Israel,country,"['countries', 'country']","[4343, 2586]",", goats and other",goats,animal,['animals'],[5074],Israel is a type of,goats are a type of
", Peru and other",Peru,country,"['countries', 'country']","[4343, 2586]",", wind and other",wind,weather,"['weather', 'natural']","[8588, 3626]",Peru is a type of,wind is a type of
", South africa and other",South africa,country,"['countries', 'country']","[4343, 2586]",", racquetball and other",racquetball,sport,['sports'],[9001],South africa is a type of,racquetball is a type of
", robbery and other",robbery,crime,"['crimes', 'crime']","[12137, 6617]",", ducks and other",ducks,bird,"['birds', 'bird']","[11260, 12621]",robbery is a type of,ducks are a type of
", homicide and other",homicide,crime,"['crimes', 'crime']","[12137, 6617]",", carp and other",carp,fish,"['fish', 'fishes']","[6773, 49720]",homicide is a type of,carp are a type of
", rape and other",rape,crime,"['crimes', 'crime']","[12137, 6617]",", chickens and other",chickens,bird,"['birds', 'bird']","[11260, 12621]",rape is a type of,chickens are a type of
", assault and other",assault,crime,"['crimes', 'crime']","[12137, 6617]",", cabinets and other",cabinets,furniture,['furniture'],[17076],assault is a type of,cabinets are a type of
", burglary and other",burglary,crime,"['crimes', 'crime']","[12137, 6617]",", onions and other",onions,vegetable,"['vegetables', 'vegetable']","[15737, 21436]",burglary is a type of,onions are a type of
", arson and other",arson,crime,"['crimes', 'crime']","[12137, 6617]",", pike and other",pike,fish,"['fish', 'fishes']","[6773, 49720]",arson is a type of,pike are a type of
", speeding and other",speeding,crime,"['crimes', 'crime']","[12137, 6617]",", hotels and other",hotels,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",speeding is a type of,hotels are a type of
", breaking and entering and other",breaking and entering,crime,"['crimes', 'crime']","[12137, 6617]",", emeralds and other",emeralds,gem,"['gem', 'gems']","[16915, 42776]",breaking and entering is a type of,emeralds are a type of
", drug use and other",drug use,crime,"['crimes', 'crime']","[12137, 6617]",", irides and other",irides,flower,"['flowers', 'flowering']","[12405, 37958]",drug use is a type of,irides are a type of
", drunk driving and other",drunk driving,crime,"['crimes', 'crime']","[12137, 6617]",", pearls and other",pearls,gem,"['gem', 'gems']","[16915, 42776]",drunk driving is a type of,pearls are a type of
", larceny and other",larceny,crime,"['crimes', 'crime']","[12137, 6617]",", thunderstorms and other",thunderstorms,weather,"['weather', 'natural']","[8588, 3626]",larceny is a type of,thunderstorms are a type of
", kidnapping and other",kidnapping,crime,"['crimes', 'crime']","[12137, 6617]",", spiders and other",spiders,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]",kidnapping is a type of,spiders are a type of
", vandalism and other",vandalism,crime,"['crimes', 'crime']","[12137, 6617]",", tsunamis and other",tsunamis,weather,"['weather', 'natural']","[8588, 3626]",vandalism is a type of,tsunamis are a type of
", battery and other",battery,crime,"['crimes', 'crime']","[12137, 6617]",", apples and other",apples,fruit,"['fruits', 'fruit']","[18098, 9279]",battery is a type of,apples are a type of
", drug smuggling and other",drug smuggling,crime,"['crimes', 'crime']","[12137, 6617]",", raspberries and other",raspberries,fruit,"['fruits', 'fruit']","[18098, 9279]",drug smuggling is a type of,raspberries are a type of
", grand theft auto and other",grand theft auto,crime,"['crimes', 'crime']","[12137, 6617]",", raccoons and other",raccoons,animal,['animals'],[5074],grand theft auto is a type of,raccoons are a type of
", hammers and other",hammers,tool,['tools'],[5657],", secs and other",secs,time,"['time', 'units']","[673, 5085]",hammers are a type of,secs are a type of
", nails and other",nails,tool,['tools'],[5657],", roses and other",roses,flower,"['flowers', 'flowering']","[12405, 37958]",nails are a type of,roses are a type of
", saws and other",saws,tool,['tools'],[5657],", gymnastics and other",gymnastics,sport,['sports'],[9001],saws are a type of,gymnastics is a type of
", screwdrivers and other",screwdrivers,tool,['tools'],[5657],", thunderstorms and other",thunderstorms,weather,"['weather', 'natural']","[8588, 3626]",screwdrivers are a type of,thunderstorms are a type of
", drills and other",drills,tool,['tools'],[5657],", lettuce and other",lettuce,vegetable,"['vegetables', 'vegetable']","[15737, 21436]",drills are a type of,lettuce is a type of
", wrenches and other",wrenches,tool,['tools'],[5657],", igloos and other",igloos,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",wrenches are a type of,igloos are a type of
", screws and other",screws,tool,['tools'],[5657],", kidnapping and other",kidnapping,crime,"['crimes', 'crime']","[12137, 6617]",screws are a type of,kidnapping is a type of
", rulers and other",rulers,tool,['tools'],[5657],", roses and other",roses,flower,"['flowers', 'flowering']","[12405, 37958]",rulers are a type of,roses are a type of
", tape measures and other",tape measures,tool,['tools'],[5657],", harps and other",harps,instrument,"['musical', 'instruments']","[12256, 13225]",tape measures are a type of,harps are a type of
", sanders and other",sanders,tool,['tools'],[5657],", mayors and other",mayors,politician,"['elected', 'politicians']","[10544, 13557]",sanders are a type of,mayors are a type of
", measuring sticks and other",measuring sticks,tool,['tools'],[5657],", uncles and other",uncles,relative,"['relatives', 'family']","[17772, 2021]",measuring sticks are a type of,uncles are a type of
", sandpapers and other",sandpapers,tool,['tools'],[5657],", willows and other",willows,tree,['trees'],[7139],sandpapers are a type of,willows are a type of
", nail guns and other",nail guns,tool,['tools'],[5657],", bookcases and other",bookcases,furniture,['furniture'],[17076],nail guns are a type of,bookcases are a type of
", pliers and other",pliers,tool,['tools'],[5657],", maces and other",maces,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",pliers are a type of,maces are a type of
", doctors and other",doctors,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",", inches and other",inches,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]",doctors are a type of,inches are a type of
", teachers and other",teachers,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",", years and other",years,time,"['time', 'units']","[673, 5085]",teachers are a type of,years are a type of
", lawyers and other",lawyers,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",", cents and other",cents,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]",lawyers are a type of,cents are a type of
", nurses and other",nurses,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",", quarters and other",quarters,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]",nurses are a type of,quarters are a type of
", firefighters and other",firefighters,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",", shoes and other",shoes,footwear,['footwear'],[3174],firefighters are a type of,shoes are a type of
", professors and other",professors,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",", elephants and other",elephants,animal,['animals'],[5074],professors are a type of,elephants are a type of
", accountants and other",accountants,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",", dressers and other",dressers,furniture,['furniture'],[17076],accountants are a type of,dressers are a type of
", psychologists and other",psychologists,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",", tents and other",tents,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",psychologists are a type of,tents are a type of
", dentists and other",dentists,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",", congresswomen and other",congresswomen,politician,"['elected', 'politicians']","[10544, 13557]",dentists are a type of,congresswomen are a type of
", engineers and other",engineers,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",", tennis and other",tennis,sport,['sports'],[9001],engineers are a type of,tennis is a type of
", secretaries and other",secretaries,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",", scarves and other",scarves,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]",secretaries are a type of,scarves are a type of
", managers and other",managers,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",", pounds and other",pounds,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]",managers are a type of,pounds are a type of
", cooks and other",cooks,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",", inches and other",inches,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]",cooks are a type of,inches are a type of
", policemen and other",policemen,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",", jeanss and other",jeanss,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]",policemen are a type of,jeanss are a type of
", athletes and other",athletes,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",", quarters and other",quarters,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]",athletes are a type of,quarters are a type of
", bankers and other",bankers,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",", squash and other",squash,vegetable,"['vegetables', 'vegetable']","[15737, 21436]",bankers are a type of,squash is a type of
", businessmen and other",businessmen,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",", donkeys and other",donkeys,animal,['animals'],[5074],businessmen are a type of,donkeys are a type of
", businesswomen and other",businesswomen,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",", cross country and other",cross country,sport,['sports'],[9001],businesswomen are a type of,cross country is a type of
", carpenters and other",carpenters,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",", piranha and other",piranha,fish,"['fish', 'fishes']","[6773, 49720]",carpenters are a type of,piranha are a type of
", janitors and other",janitors,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",", running shoes and other",running shoes,footwear,['footwear'],[3174],janitors are a type of,running shoes are a type of
", physical therapists and other",physical therapists,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",", colonels and other",colonels,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]",physical therapists are a type of,colonels are a type of
", police officers and other",police officers,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",", eons and other",eons,time,"['time', 'units']","[673, 5085]",police officers are a type of,eons are a type of
", scientists and other",scientists,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",", coats and other",coats,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]",scientists are a type of,coats are a type of
", football and other",football,sport,['sports'],[9001],", centuries and other",centuries,time,"['time', 'units']","[673, 5085]",football is a type of,centuries are a type of
", basketball and other",basketball,sport,['sports'],[9001],", chiefs and other",chiefs,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]",basketball is a type of,chiefs are a type of
", soccer and other",soccer,sport,['sports'],[9001],", cooks and other",cooks,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",soccer is a type of,cooks are a type of
", baseball and other",baseball,sport,['sports'],[9001],", trailers and other",trailers,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",baseball is a type of,trailers are a type of
", tennis and other",tennis,sport,['sports'],[9001],", elephants and other",elephants,animal,['animals'],[5074],tennis is a type of,elephants are a type of
", hockey and other",hockey,sport,['sports'],[9001],", centimeters and other",centimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]",hockey is a type of,centimeters are a type of
", swimming and other",swimming,sport,['sports'],[9001],", governors and other",governors,politician,"['elected', 'politicians']","[10544, 13557]",swimming is a type of,governors are a type of
", golf and other",golf,sport,['sports'],[9001],", drums and other",drums,instrument,"['musical', 'instruments']","[12256, 13225]",golf is a type of,drums are a type of
", volleyball and other",volleyball,sport,['sports'],[9001],", typhoons and other",typhoons,weather,"['weather', 'natural']","[8588, 3626]",volleyball is a type of,typhoons are a type of
", lacrosse and other",lacrosse,sport,['sports'],[9001],", police officers and other",police officers,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",lacrosse is a type of,police officers are a type of
", track and other",track,sport,['sports'],[9001],", gospel and other",gospel,music,['music'],[3440],track is a type of,gospel is a type of
", rugby and other",rugby,sport,['sports'],[9001],", spinach and other",spinach,vegetable,"['vegetables', 'vegetable']","[15737, 21436]",rugby is a type of,spinach is a type of
", softball and other",softball,sport,['sports'],[9001],", drug use and other",drug use,crime,"['crimes', 'crime']","[12137, 6617]",softball is a type of,drug use is a type of
", field hockey and other",field hockey,sport,['sports'],[9001],", limes and other",limes,fruit,"['fruits', 'fruit']","[18098, 9279]",field hockey is a type of,limes are a type of
", skiing and other",skiing,sport,['sports'],[9001],", pop and other",pop,music,['music'],[3440],skiing is a type of,pop is a type of
", cheerleading and other",cheerleading,sport,['sports'],[9001],", secs and other",secs,time,"['time', 'units']","[673, 5085]",cheerleading is a type of,secs are a type of
", running and other",running,sport,['sports'],[9001],", weeks and other",weeks,time,"['time', 'units']","[673, 5085]",running is a type of,weeks are a type of
", gymnastics and other",gymnastics,sport,['sports'],[9001],", second cousins and other",second cousins,relative,"['relatives', 'family']","[17772, 2021]",gymnastics is a type of,second cousins are a type of
", polo and other",polo,sport,['sports'],[9001],", mooses and other",mooses,animal,['animals'],[5074],polo is a type of,mooses are a type of
", racquetball and other",racquetball,sport,['sports'],[9001],", South africa and other",South africa,country,"['countries', 'country']","[4343, 2586]",racquetball is a type of,South africa is a type of
", wrestling and other",wrestling,sport,['sports'],[9001],", bankers and other",bankers,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",wrestling is a type of,bankers are a type of
", bowling and other",bowling,sport,['sports'],[9001],", yards and other",yards,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]",bowling is a type of,yards are a type of
", cross country and other",cross country,sport,['sports'],[9001],", squirrels and other",squirrels,animal,['animals'],[5074],cross country is a type of,squirrels are a type of
", badminton and other",badminton,sport,['sports'],[9001],", hummingbirds and other",hummingbirds,bird,"['birds', 'bird']","[11260, 12621]",badminton is a type of,hummingbirds are a type of
", cricket and other",cricket,sport,['sports'],[9001],", thunder and other",thunder,weather,"['weather', 'natural']","[8588, 3626]",cricket is a type of,thunder is a type of
", water polo and other",water polo,sport,['sports'],[9001],", tangerines and other",tangerines,fruit,"['fruits', 'fruit']","[18098, 9279]",water polo is a type of,tangerines are a type of
", tornados and other",tornados,weather,"['weather', 'natural']","[8588, 3626]",", grandfathers and other",grandfathers,relative,"['relatives', 'family']","[17772, 2021]",tornados are a type of,grandfathers are a type of
", hurricanes and other",hurricanes,weather,"['weather', 'natural']","[8588, 3626]",", harps and other",harps,instrument,"['musical', 'instruments']","[12256, 13225]",hurricanes are a type of,harps are a type of
", rain and other",rain,weather,"['weather', 'natural']","[8588, 3626]",", cabinets and other",cabinets,furniture,['furniture'],[17076],rain is a type of,cabinets are a type of
", snow and other",snow,weather,"['weather', 'natural']","[8588, 3626]",", trailers and other",trailers,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",snow is a type of,trailers are a type of
", hail and other",hail,weather,"['weather', 'natural']","[8588, 3626]",", shorts and other",shorts,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]",hail is a type of,shorts are a type of
", floods and other",floods,weather,"['weather', 'natural']","[8588, 3626]",", robbery and other",robbery,crime,"['crimes', 'crime']","[12137, 6617]",floods are a type of,robbery is a type of
", lightning and other",lightning,weather,"['weather', 'natural']","[8588, 3626]",", trucks and other",trucks,vehicle,"['vehicles', 'transportation', 'transport']","[9411, 13120, 4616]",lightning is a type of,trucks are a type of
", blizzards and other",blizzards,weather,"['weather', 'natural']","[8588, 3626]",", liras and other",liras,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]",blizzards are a type of,liras are a type of
", earthquakes and other",earthquakes,weather,"['weather', 'natural']","[8588, 3626]",", drums and other",drums,instrument,"['musical', 'instruments']","[12256, 13225]",earthquakes are a type of,drums are a type of
", sleet and other",sleet,weather,"['weather', 'natural']","[8588, 3626]",", captains and other",captains,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]",sleet is a type of,captains are a type of
", monsoons and other",monsoons,weather,"['weather', 'natural']","[8588, 3626]",", screwdrivers and other",screwdrivers,tool,['tools'],[5657],monsoons are a type of,screwdrivers are a type of
", thunder and other",thunder,weather,"['weather', 'natural']","[8588, 3626]",", chickens and other",chickens,bird,"['birds', 'bird']","[11260, 12621]",thunder is a type of,chickens are a type of
", wind and other",wind,weather,"['weather', 'natural']","[8588, 3626]",", trucks and other",trucks,vehicle,"['vehicles', 'transportation', 'transport']","[9411, 13120, 4616]",wind is a type of,trucks are a type of
", tsunamis and other",tsunamis,weather,"['weather', 'natural']","[8588, 3626]",", hummingbirds and other",hummingbirds,bird,"['birds', 'bird']","[11260, 12621]",tsunamis are a type of,hummingbirds are a type of
", storms and other",storms,weather,"['weather', 'natural']","[8588, 3626]",", tables and other",tables,furniture,['furniture'],[17076],storms are a type of,tables are a type of
", thunderstorms and other",thunderstorms,weather,"['weather', 'natural']","[8588, 3626]",", trombones and other",trombones,instrument,"['musical', 'instruments']","[12256, 13225]",thunderstorms are a type of,trombones are a type of
", typhoons and other",typhoons,weather,"['weather', 'natural']","[8588, 3626]",", strawberries and other",strawberries,fruit,"['fruits', 'fruit']","[18098, 9279]",typhoons are a type of,strawberries are a type of
", drought and other",drought,weather,"['weather', 'natural']","[8588, 3626]",", chickens and other",chickens,bird,"['birds', 'bird']","[11260, 12621]",drought is a type of,chickens are a type of
", clouds and other",clouds,weather,"['weather', 'natural']","[8588, 3626]",", track and other",track,sport,['sports'],[9001],clouds are a type of,track is a type of
", tidal waves and other",tidal waves,weather,"['weather', 'natural']","[8588, 3626]",", sweaters and other",sweaters,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]",tidal waves are a type of,sweaters are a type of
