clean,corrupted,label,corrupted_label
" Moreno Mannini, citizen of"," Katy Garbi, citizen of",15704,25431
" Cristina Favre-Moretti, citizen of"," Jean-Pierre Van Rossem, citizen of",30221,34061
" Sugandha Garg, citizen of"," Juma Ikangaa, citizen of",6890,69894
" Sturla Gunnarsson, citizen of"," Mohsen Mirdamadi, citizen of",7008,10471
" Tzeni Karezi, citizen of"," Kaka Hathrasi, citizen of",25431,6890
" Gopaldas Neeraj, citizen of"," Chittadhar Hridaya, citizen of",6890,50064
" Guillaume-Antoine Olivier, citizen of"," Jithan Ramesh, citizen of",9822,6890
" Ambar Roy, citizen of"," Scott Brison, citizen of",6890,7008
" Jan Kulczyk, citizen of"," Paul Gustav Fischer, citizen of",28702,35440
" Lucien Van Impe, citizen of"," Kiichi Miyazawa, citizen of",34061,6457
" Borys Kolesnikov, citizen of"," Rajeev Chandrasekhar, citizen of",19278,6890
" Jessy De Smet, citizen of"," Kinji Fukasaku, citizen of",34061,6457
" Nimai Bali, citizen of"," Pavel Bure, citizen of",6890,8524
" Violette Verdy, citizen of"," Adel Gholami, citizen of",9822,10471
" Anders Lange, citizen of"," Gabriel Axel, citizen of",32603,35440
" Bassekou Kouyate, citizen of"," Jithan Ramesh, citizen of",64994,6890
" Hanan al-Shaykh, citizen of"," Grzegorz Lato, citizen of",40371,28702
" Giovanni Ferrari, citizen of"," Alfred Werner, citizen of",15704,30221
" Nikki Webster, citizen of"," Thanh Lam, citizen of",8494,23315
" Priska Doppmann, citizen of"," Mario Aldo Montano, citizen of",30221,15704
" Anders Fannemel, citizen of"," Celso Amorim, citizen of",32603,16327
" Pankaj Udhas, citizen of"," Caterina Davinio, citizen of",6890,15704
" Monica Niculescu, citizen of"," Luis Llosa, citizen of",47149,48847
" Satoshi Tsumabuki, citizen of"," Mykola Tomenko, citizen of",6457,19278
" Jerzy Topolski, citizen of"," Afewerk Tekle, citizen of",28702,60457
" Tomasz Kamusella, citizen of"," Facundo Bagnis, citizen of",28702,32164
" Buichi Terasawa, citizen of"," Abdelhak Achik, citizen of",6457,59230
" Adel Gholami, citizen of"," Gabriel-Marie Garrone, citizen of",10471,9822
" Liis Lemsalu, citizen of"," Michael Fassbender, citizen of",69462,14990
" Rizal Nurdin, citizen of"," F. S. Platou, citizen of",24922,32603
" Alejandro Bustillo, citizen of"," Tupeni Baba, citizen of",32164,86196
" Bille August, citizen of"," Feng Tianwei, citizen of",35440,21181
" death of Ali Abdulhadi Mushaima, citizen of"," Chakrabongse Bhuvanadh, citizen of",66739,30567
" Ulrica Arfvidsson, citizen of"," Thiago Soares Alves, citizen of",24067,16327
" Koichi Kobayashi, citizen of"," Goffredo Petrassi, citizen of",6457,15704
" Takashi Yanase, citizen of"," Augustine Ahinful, citizen of",6457,48668
" Nandamuri Balakrishna, citizen of"," Szymon Szymonowic, citizen of",6890,28702
" Alfred Werner, citizen of"," Ernest Blanc, citizen of",30221,9822
" Paul Duchesnay, citizen of"," Muzaffar Ali, citizen of",9822,6890
" Ameen Sayani, citizen of"," Thorleif Haug, citizen of",6890,32603
" Renzo Furlan, citizen of"," Andris Piebalgs, citizen of",15704,79258
" Fumihiko Maki, citizen of"," Jithan Ramesh, citizen of",6457,6890
" Michael Fassbender, citizen of"," Yasuyuki Kase, citizen of",14990,6457
" Peter Velits, citizen of"," Pavel Bure, citizen of",81785,8524
" Johan Karlsson, citizen of"," Nagendra Singh, citizen of",24067,6890
" Francis Dhanis, citizen of"," Antoine Danchet, citizen of",34061,9822
" Jakub Kubicki, citizen of"," Tarak Ben Ammar, citizen of",28702,77935
" Harashima, citizen of"," Paul Bogle, citizen of",6457,57275
" Simone Vagnozzi, citizen of"," Etsushi Toyokawa, citizen of",15704,6457
" Massimiliano Fuksas, citizen of"," Alireza Eftekhari, citizen of",15704,10471
" Thanh Lam, citizen of"," Nikki Webster, citizen of",23315,8494
" Diori Hamani, citizen of"," Linor Abargil, citizen of",20992,6921
" Carlos Slim Domit, citizen of"," Tomoko Kawase, citizen of",12550,6457
" Tommy McCook, citizen of"," Nimai Bali, citizen of",57275,6890
" Yuki Uchida, citizen of"," Pankaj Udhas, citizen of",6457,6890
" Dimitrie Sturdza, citizen of"," Espen Knutsen, citizen of",47149,32603
" Sima Bina, citizen of"," Victor Pinchuk, citizen of",10471,19278
" Juma Ikangaa, citizen of"," Rodolfo Mederos, citizen of",69894,32164
" Magnar Solberg, citizen of"," Takashi Yanase, citizen of",32603,6457
" Sven Wollter, citizen of"," Espen Knutsen, citizen of",24067,32603
" Pavlos, Crown Prince of Greece, citizen of"," Rokkaku Yoshikata, citizen of",25431,6457
" Andre Spitzer, citizen of"," Shaad Ali, citizen of",6921,6890
" Yoshitsugu Matsuoka, citizen of"," Ritt Bjerregaard, citizen of",6457,35440
" Niamh Cusack, citizen of"," Sukhdev Thapar, citizen of",14990,6890
" Maria Wetterstrand, citizen of"," Desmond O'Malley, citizen of",24067,14990
" Juho Saaristo, citizen of"," Jean-Pierre Ferland, citizen of",37355,7008
" Elastinen, citizen of"," Mark Heese, citizen of",37355,7008
" Vesa Vierikko, citizen of"," Haakon V of Norway, citizen of",37355,32603
" Scott Brison, citizen of"," Pierre Daye, citizen of",7008,34061
" Paul Hammerich, citizen of"," Dan Kolov, citizen of",35440,59819
" Pugh Rogefeldt, citizen of"," Bronislovas Lubys, citizen of",24067,71606
" Graciliano Ramos, citizen of"," Andrea Fischbacher, citizen of",16327,35998
" Camil Ressu, citizen of"," Kaka Hathrasi, citizen of",47149,6890
" Jacob Hoggard, citizen of"," Sima Bina, citizen of",7008,10471
" Hans Ulrik, citizen of"," Pierre Daye, citizen of",35440,34061
" Rodolfo Mederos, citizen of"," Andrea Sartoretti, citizen of",32164,15704
" Ernest Blanc, citizen of"," Elaine Cassidy, citizen of",9822,14990
" Mikhail Evstafiev, citizen of"," Kate Henshaw, citizen of",8524,29258
" Kevin Pauwels, citizen of"," Juma Ikangaa, citizen of",34061,69894
" Katerine Moreno, citizen of"," Desmond O'Malley, citizen of",77710,14990
" Kosuke Matsuura, citizen of"," Sven Wollter, citizen of",6457,24067
" Kiichi Miyazawa, citizen of"," Abdelhak Achik, citizen of",6457,59230
" Augustine Ahinful, citizen of"," Patricia Wartusch, citizen of",48668,35998
" Thomas Hirschhorn, citizen of"," Haruna Ishola, citizen of",30221,29258
" Abdul Khalid Ibrahim, citizen of"," Raheem Shah, citizen of",28796,17076
" Santiago Botero, citizen of"," Tebey, citizen of",39133,7008
" Marie Liljedahl, citizen of"," Zadoc Kahn, citizen of",24067,9822
" Riyu Kosaka, citizen of"," Lukas Ligeti, citizen of",6457,35998
" Albert Grisar, citizen of"," Armin Hofmann, citizen of",34061,30221
" Leonardo Silva, citizen of"," Giovanni Ferrari, citizen of",16327,15704
" F. S. Platou, citizen of"," Mahito Tsujimura, citizen of",32603,6457
" Lyuben Berov, citizen of"," Bimal Jalan, citizen of",59819,6890
" Sergej Kraigher, citizen of"," Atsunori Inaba, citizen of",79317,6457
" Kae Araki, citizen of"," Henrik Zetterberg, citizen of",6457,24067
" Sabeer Bhatia, citizen of"," Phyllis Gotlieb, citizen of",6890,7008
" Alejandro Lerner, citizen of"," Giovanni Guidetti, citizen of",32164,15704
" Jean Victor Marie Moreau, citizen of"," Jerzy Topolski, citizen of",9822,28702
" Mohsen Mirdamadi, citizen of"," Hanan al-Shaykh, citizen of",10471,40371
" Ryoji Ikeda, citizen of"," Suzy Batkovic, citizen of",6457,8494
" Michel Aoun, citizen of"," Randy Bachman, citizen of",40371,7008
" Rahul Dev Burman, citizen of"," Miguel Barbachano, citizen of",6890,12550
" Kazimierz Makarczyk, citizen of"," Ahmad Nadeem Qasmi, citizen of",28702,17076
" Prince Oscar Bernadotte, citizen of"," Juma Ikangaa, citizen of",24067,69894
" Afewerk Tekle, citizen of"," Adelsteen Normann, citizen of",60457,32603
" Maurice Bellemare, citizen of"," Lars Paaske, citizen of",7008,35440
" Marcus Horan, citizen of"," Madhan Bob, citizen of",14990,6890
" Eric Frenzel, citizen of"," Takashi Yanase, citizen of",10057,6457
" Marc Lavoie, citizen of"," Rabah Bitat, citizen of",7008,81341
" Abune Paulos, citizen of"," Janne Korpi, citizen of",60457,37355
" Manuel Ferraz de Campos Sales, citizen of"," Alina Devecerski, citizen of",16327,24067
" Claudio Borghi, citizen of"," Giuseppe Angeli, citizen of",32164,15704
" Mathieu Bodmer, citizen of"," Luis Llosa, citizen of",9822,48847
" Kurt Waldheim, citizen of"," Hans Magnus Ryan, citizen of",35998,32603
" Ely Guerra, citizen of"," Sola Aoi, citizen of",12550,6457
" Prafulla Chandra Ghosh, citizen of"," Kazimierz Makarczyk, citizen of",6890,28702
" T. M. A. Pai, citizen of"," Pavlos, Crown Prince of Greece, citizen of",6890,25431
" Helle Virkner, citizen of"," Kinji Fukasaku, citizen of",35440,6457
" Takashi Nakamura, citizen of"," Bruno Putzulu, citizen of",6457,9822
" Rabi Ray, citizen of"," Peter Velits, citizen of",6890,81785
" Wakako Tsuchida, citizen of"," Priska Doppmann, citizen of",6457,30221
" Jorge Rial, citizen of"," Feng Tianwei, citizen of",32164,21181
" Nandan Nilekani, citizen of"," Ryoji Ikeda, citizen of",6890,6457
" Moses Ndiema Masai, citizen of"," Grzegorz Lato, citizen of",37766,28702
" Albert Mathiez, citizen of"," Bille August, citizen of",9822,35440
" Yohann Diniz, citizen of"," Shigeaki Ikeda, citizen of",9822,6457
" Tanka Prasad Acharya, citizen of"," Doychin Vasilev, citizen of",50064,59819
" Antoine Danchet, citizen of"," Thomas Bo Larsen, citizen of",9822,35440
" Gianni Ferrio, citizen of"," Erwin Wurm, citizen of",15704,35998
" Shaad Ali, citizen of"," Johan Karlsson, citizen of",6890,24067
" Heikki Saari, citizen of"," Yoshio Shirai, citizen of",37355,6457
" Pierre Daye, citizen of"," Karl Scheurer, citizen of",34061,30221
" Konosuke Matsushita, citizen of"," Bassekou Kouyate, citizen of",6457,64994
" Athanasia Tsoumeleka, citizen of"," Aleksejs Saramotins, citizen of",25431,79258
" Mehmet Ali Aybar, citizen of"," Audrey Fleurot, citizen of",17442,9822
" Mykola Tomenko, citizen of"," Giorgio Pantano, citizen of",19278,15704
" Habib el-Adly, citizen of"," Haakon V of Norway, citizen of",15212,32603
" Chespirito, citizen of"," Mars Bonfire, citizen of",12550,7008
" Yasutaka Nakata, citizen of"," Nandan Nilekani, citizen of",6457,6890
" Etsuko Inoue, citizen of"," Matic Osovnikar, citizen of",6457,79317
" Gheorghe Grigore Cantacuzino, citizen of"," Shah Shujah Durrani Sadozai, citizen of",47149,21139
" Henrik Zetterberg, citizen of"," Janne Korpi, citizen of",24067,37355
" Diosdado Cabello, citizen of"," Bassekou Kouyate, citizen of",37003,64994
" Wasis Diop, citizen of"," Eric Frenzel, citizen of",5476,10057
" Maria Adelaide Amaral, citizen of"," Desmond O'Malley, citizen of",16327,14990
" Shah Shujah Durrani Sadozai, citizen of"," Gheorghe Grigore Cantacuzino, citizen of",21139,47149
" Caterina Davinio, citizen of"," Gustave Flourens, citizen of",15704,9822
" Florent Brard, citizen of"," Jonel Perlea, citizen of",9822,47149
" Thorleif Haug, citizen of"," Randy Raine-Reusch, citizen of",32603,7008
" Hiroshi Teshigahara, citizen of"," Agnieszka Osiecka, citizen of",6457,28702
" Subodh Kant Sahay, citizen of"," Wanda Rutkiewicz, citizen of",6890,28702
" Katri Helena, citizen of"," Jens Evensen, citizen of",37355,32603
" Irfan Yusuf, citizen of"," Rodolfo Mederos, citizen of",8494,32164
" Wanda Rutkiewicz, citizen of"," Abolfazl Jalili, citizen of",28702,10471
" Elaine Cassidy, citizen of"," Anders Lange, citizen of",14990,32603
" Ravi Shankar, citizen of"," Takeshi Urata, citizen of",6890,6457
" Mark Heese, citizen of"," Nicolas Godin, citizen of",7008,9822
" Wolfgang Pauli, citizen of"," Albert Mathiez, citizen of",35998,9822
" Rangsit Prayurasakdi, citizen of"," Juana Azurduy de Padilla, citizen of",30567,77710
" Hiro Matsushita, citizen of"," Augustine Ahinful, citizen of",6457,48668
" Ellen Gleditsch, citizen of"," Abdul Malik Pahlawan, citizen of",32603,21139
" Mookencheril Cherian Joseph, citizen of"," Alireza Eftekhari, citizen of",6890,10471
" Tebey, citizen of"," Bernardo Reyes, citizen of",7008,12550
" Shamash-shum-ukin, citizen of"," Duvvuri Subbarao, citizen of",64678,6890
" Mark Strudal, citizen of"," Armin Hofmann, citizen of",35440,30221
" Atsunori Inaba, citizen of"," Edita Abdieski, citizen of",6457,30221
" Alfonso Ugarte, citizen of"," Touraj Daryaee, citizen of",48847,10471
" Alain Corneau, citizen of"," Soamsawali, citizen of",9822,30567
" Patrick Chinamasa, citizen of"," Kumiko Ogura, citizen of",52320,6457
" Priyanandanan, citizen of"," Tor Endresen, citizen of",6890,32603
" Szymon Szymonowic, citizen of"," Henrique Maximiano Coelho Neto, citizen of",28702,16327
" Joseph Csaky, citizen of"," Edu Lobo, citizen of",43876,16327
" Natallia Solohub, citizen of"," Ugo Rondinone, citizen of",70606,30221
" Nicolas Godin, citizen of"," Dan Bejar, citizen of",9822,7008
" Gunnar Thoresen, citizen of"," Violette Verdy, citizen of",32603,9822
" Giovanni Lista, citizen of"," Gabriel Axel, citizen of",15704,35440
" Haakon V of Norway, citizen of"," Manuel Ferraz de Campos Sales, citizen of",32603,16327
" Carlos Duarte Costa, citizen of"," Sakichi Toyoda, citizen of",16327,6457
" Namadi Sambo, citizen of"," Fred Urquhart, citizen of",29258,7008
" Hendrawan, citizen of"," Marcus Horan, citizen of",24922,14990
